root,time_passes,gvn,instcombine,inline,jump_threading,simplifycfg,sccp,print_used_types,ipsccp,iv_users,licm,MainMemory,Performance
1,1,0,0,0,0,0,0,0,0,1,0,353200@23216@371536,210.34
1,1,1,0,0,0,0,0,0,0,1,0,23216@342240,219.153333333333
1,1,0,1,0,0,0,0,0,0,1,0,"342789,333333333@337952",216.403333333333
1,1,0,0,1,0,0,0,0,0,1,0,341808@680613.333333333,207.746666666667
1,1,0,0,0,1,0,0,0,0,1,0,"651477,333333333@339306.666666667",199.683333333333
1,1,0,0,0,0,1,0,0,0,1,0,"341162,666666667@345621.333333333",200.38
1,1,0,0,0,0,0,1,0,0,1,0,"341290,666666667@371552",200.66
1,1,0,0,0,0,0,0,1,0,1,0,372256@372442.666666667,203.18
1,1,0,0,0,0,0,0,0,1,1,0,"372570,666666667@378645.333333333",202.233333333333
1,1,0,0,0,0,0,0,0,0,1,1,"374426,666666667@378698.666666667@379285.333333333",212.446666666667
1,1,1,0,0,0,0,0,0,0,1,1,378704,228.3
1,1,0,1,0,0,0,0,0,0,1,1,346544,230.74
1,1,0,0,1,0,0,0,0,0,1,1,"343493,333333333",241.776666666667
1,1,0,0,0,1,0,0,0,0,1,1,705216,212.92
1,1,0,0,0,0,1,0,0,0,1,1,"352997,333333333",213.48
1,1,0,0,0,0,0,1,0,0,1,1,344160,214.37
1,1,0,0,0,0,0,0,1,0,1,1,"367365,333333333",216.586666666667
1,1,0,0,0,0,0,0,0,1,1,1,"380069,333333333",215.606666666667
1,1,1,0,0,1,0,0,0,0,0,0,"380581,333333333@604037.333333333",232.2
1,1,1,0,0,0,0,0,0,0,0,1,"345946,666666667@342597.333333333",267.426666666667
1,1,0,0,0,1,0,0,0,0,0,1,344032@341242.666666667,220.08
1,1,1,0,0,1,0,0,0,0,0,1,"343050,666666667",256.223333333333
1,1,1,0,0,1,0,0,0,0,1,0,349008,221.606666666667
1,1,1,0,0,1,0,0,0,0,1,1,"344261,333333333",230.79
1,1,0,0,0,1,1,0,0,0,0,0,"345578,666666667@702821.333333333",205.946666666667
1,1,1,0,0,0,1,0,0,0,0,0,"338821,333333333@341360",230.74
1,1,1,0,0,1,1,0,0,0,0,0,"341322,666666667",229.856666666667
1,1,1,0,0,0,1,0,0,0,1,0,"341493,333333333",222.236666666667
1,1,0,0,0,1,1,0,0,0,1,0,"343077,333333333",200.923333333333
1,1,1,0,0,1,1,0,0,0,1,0,341856@348416,223.013333333333
1,1,0,0,0,0,1,0,0,0,0,1,"344170,666666667@341290.666666667",219.496666666667
1,1,0,0,0,1,1,0,0,0,0,1,"346357,333333333",218.073333333333
1,1,0,0,0,1,1,0,0,0,1,1,343488,214.243333333333
1,1,1,0,0,0,1,0,0,0,0,1,"349157,333333333",238.753333333333
1,1,1,0,0,0,1,0,0,0,1,1,"344741,333333333",231.216666666667
1,1,1,0,0,1,1,0,0,0,0,1,"346378,666666667",255.643333333333
1,1,1,0,0,1,1,0,0,0,1,1,"343701,333333333",232.216666666667
1,1,0,1,0,0,1,0,0,0,0,0,346592@337530.666666667,224.073333333333
1,1,0,1,0,1,0,0,0,0,0,0,"337685,333333333@541306.666666667",234.08
1,1,0,1,0,1,1,0,0,0,0,0,"337541,333333333",233.276666666667
1,1,1,1,0,0,0,0,0,0,0,0,"337834,666666667@377205.333333333",232.7
1,1,1,1,0,1,0,0,0,0,0,0,"340954,666666667",245.936666666667
1,1,1,1,0,0,1,0,0,0,0,0,"346869,333333333",246.756666666667
1,1,1,1,0,1,1,0,0,0,0,0,347440,245.756666666667
1,1,0,1,0,0,0,0,0,0,0,1,347200@341690.666666667,257.333333333333
1,1,0,1,0,0,1,0,0,0,0,1,"343813,333333333",237.103333333333
1,1,1,1,0,0,0,0,0,0,0,1,348272,238.23
1,1,1,1,0,0,1,0,0,0,0,1,350384,255.213333333333
1,1,0,1,0,1,0,0,0,0,0,1,349472@339173.333333333,237.696666666667
1,1,1,1,0,1,0,0,0,0,0,1,"343802,666666667",254.34
1,1,0,1,0,1,1,0,0,0,0,1,348368,235.91
1,1,1,1,0,1,1,0,0,0,0,1,353104@351744,254.073333333333
1,1,0,1,0,0,1,0,0,0,1,0,350640,217.696666666667
1,1,0,1,0,1,0,0,0,0,1,0,342736,217.093333333333
1,1,0,1,0,1,1,0,0,0,1,0,"342053,333333333",218.123333333333
1,1,0,1,0,1,0,0,0,0,1,1,"342629,333333333",231.323333333333
1,1,0,1,0,0,1,0,0,0,1,1,"345082,666666667",231.62
