root,time_passes,gvn,instcombine,inline,jump_threading,simplifycfg,sccp,print_used_types,ipsccp,iv_users,licm,MainMemory,Performance
1,1,0,0,0,0,0,0,0,0,1,0,353200@23216@371536,214.2360819332961
1,1,1,0,0,0,0,0,0,0,1,0,23216@342240,225.11467473421968
1,1,0,1,0,0,0,0,0,0,1,0,"342789,333333333@337952",224.7407727034928
1,1,0,0,1,0,0,0,0,0,1,0,341808@680613.333333333,212.29590926699564
1,1,0,0,0,1,0,0,0,0,1,0,"651477,333333333@339306.666666667",205.83134516101669
1,1,0,0,0,0,1,0,0,0,1,0,"341162,666666667@345621.333333333",204.93001434846843
1,1,0,0,0,0,0,1,0,0,1,0,"341290,666666667@371552",205.82370378120117
1,1,0,0,0,0,0,0,1,0,1,0,372256@372442.666666667,208.52847387933662
1,1,0,0,0,0,0,0,0,1,1,0,"372570,666666667@378645.333333333",207.3436330092581
1,1,0,0,0,0,0,0,0,0,1,1,"374426,666666667@378698.666666667@379285.333333333",217.04242921783867
1,1,1,0,0,0,0,0,0,0,1,1,378704,233.1908032287109
1,1,0,1,0,0,0,0,0,0,1,1,346544,236.36948470238724
1,1,0,0,1,0,0,0,0,0,1,1,"343493,333333333",248.01380191293637
1,1,0,0,0,1,0,0,0,0,1,1,705216,217.51334064768488
1,1,0,0,0,0,1,0,0,0,1,1,"352997,333333333",219.0340731121523
1,1,0,0,0,0,0,1,0,0,1,1,344160,218.78065303842098
1,1,0,0,0,0,0,0,1,0,1,1,"367365,333333333",223.50251191094327
1,1,0,0,0,0,0,0,0,1,1,1,"380069,333333333",220.28736389510678
1,1,1,0,0,1,0,0,0,0,0,0,"380581,333333333@604037.333333333",236.61456477231846
1,1,1,0,0,0,0,0,0,0,0,1,"345946,666666667@342597.333333333",275.81784297861617
1,1,0,0,0,1,0,0,0,0,0,1,344032@341242.666666667,226.15345981363552
1,1,1,0,0,1,0,0,0,0,0,1,"343050,666666667",262.4050169871037
1,1,1,0,0,1,0,0,0,0,1,0,349008,226.2597901329126
1,1,1,0,0,1,0,0,0,0,1,1,"344261,333333333",237.96738103540477
1,1,0,0,0,1,1,0,0,0,0,0,"345578,666666667@702821.333333333",210.81498327358577
1,1,1,0,0,0,1,0,0,0,0,0,"338821,333333333@341360",237.62818662260713
1,1,1,0,0,1,1,0,0,0,0,0,"341322,666666667",234.01547793195186
1,1,1,0,0,0,1,0,0,0,1,0,"341493,333333333",226.70866942951085
1,1,0,0,0,1,1,0,0,0,1,0,"343077,333333333",208.81206100769506
1,1,1,0,0,1,1,0,0,0,1,0,341856@348416,228.39169387676296
1,1,0,0,0,0,1,0,0,0,0,1,"344170,666666667@341290.666666667",223.64007815160682
1,1,0,0,0,1,1,0,0,0,0,1,"346357,333333333",223.0490075483345
1,1,0,0,0,1,1,0,0,0,1,1,343488,220.38869565322867
1,1,1,0,0,0,1,0,0,0,0,1,"349157,333333333",244.29250789183993
1,1,1,0,0,0,1,0,0,0,1,1,"344741,333333333",236.47091447946028
1,1,1,0,0,1,1,0,0,0,0,1,"346378,666666667",262.0639602203551
1,1,1,0,0,1,1,0,0,0,1,1,"343701,333333333",237.98769185151485
1,1,0,1,0,0,1,0,0,0,0,0,346592@337530.666666667,231.3402398534029
1,1,0,1,0,1,0,0,0,0,0,0,"337685,333333333@541306.666666667",237.95078730208675
1,1,0,1,0,1,1,0,0,0,0,0,"337541,333333333",240.629679548379
1,1,1,1,0,0,0,0,0,0,0,0,"337834,666666667@377205.333333333",239.24970089228762
1,1,1,1,0,1,0,0,0,0,0,0,"340954,666666667",251.71390535395264
1,1,1,1,0,0,1,0,0,0,0,0,"346869,333333333",252.17599368480518
1,1,1,1,0,1,1,0,0,0,0,0,347440,250.91249245520757
1,1,0,1,0,0,0,0,0,0,0,1,347200@341690.666666667,262.09235857716726
1,1,0,1,0,0,1,0,0,0,0,1,"343813,333333333",242.02338171046304
1,1,1,1,0,0,0,0,0,0,0,1,348272,243.36368658812984
1,1,1,1,0,0,1,0,0,0,0,1,350384,262.245016377672
1,1,0,1,0,1,0,0,0,0,0,1,349472@339173.333333333,245.01026120457374
1,1,1,1,0,1,0,0,0,0,0,1,"343802,666666667",262.2573758053349
1,1,0,1,0,1,1,0,0,0,0,1,348368,241.55853915966406
1,1,1,1,0,1,1,0,0,0,0,1,353104@351744,261.487634157126
1,1,0,1,0,0,1,0,0,0,1,0,350640,224.08749606477116
1,1,0,1,0,1,0,0,0,0,1,0,342736,222.67696370126006
1,1,0,1,0,1,1,0,0,0,1,0,"342053,333333333",222.6661014499296
1,1,0,1,0,1,0,0,0,0,1,1,"342629,333333333",237.1084997285045
1,1,0,1,0,0,1,0,0,0,1,1,"345082,666666667",238.16171451488125
1,1,0,1,0,1,1,0,0,0,1,1,343680@542293.333333333,240.2224742913668
1,1,1,1,0,0,0,0,0,0,1,0,"345562,666666667@649296",241.7452792661921
1,1,1,1,0,0,1,0,0,0,1,0,343728,244.0606650669266
1,1,1,1,0,0,0,0,0,0,1,1,349408,252.50277070020852
1,1,1,1,0,0,1,0,0,0,1,1,351728,253.79099028671294
1,1,1,1,0,1,0,0,0,0,1,0,"352826,666666667",244.37737518940682
1,1,1,1,0,1,0,0,0,0,1,1,349264,254.69217585961312
1,1,1,1,0,1,1,0,0,0,1,0,"352090,666666667",245.5418234524541
1,1,1,1,0,1,1,0,0,0,1,1,"349978,666666667",254.37354000183677
1,1,0,1,0,0,0,1,0,0,0,0,"353098,666666667@337685.333333333",227.69478868751827
1,1,0,0,0,0,1,1,0,0,0,0,"339850,666666667@347253.333333333",211.23031589592324
1,1,0,1,0,0,1,1,0,0,0,0,338880,230.37285360338186
1,1,0,0,0,1,0,1,0,0,0,0,"337829,333333333@658229.333333333",212.7600499223875
1,1,0,0,0,1,1,1,0,0,0,0,"338805,333333333@378869.333333333",212.21761948753456
1,1,0,1,0,1,0,1,0,0,0,0,"339173,333333333",227.55082293336974
1,1,0,1,0,1,1,1,0,0,0,0,337728,239.91359691521544
1,1,1,0,0,0,0,1,0,0,0,0,338000@340917.333333333,235.91115243499092
1,1,1,1,0,0,0,1,0,0,0,0,341328,251.32695068203986
1,1,1,0,0,1,0,1,0,0,0,0,"339674,666666667",236.74974391393695
1,1,1,1,0,1,0,1,0,0,0,0,344000@375386.666666667,251.14480301041658
1,1,1,0,0,0,1,1,0,0,0,0,"347802,666666667",235.90166604298724
1,1,1,0,0,1,1,1,0,0,0,0,"343765,333333333",237.19689240403392
1,1,1,1,0,0,1,1,0,0,0,0,"343269,333333333",252.44180347045182
1,1,1,1,0,1,1,1,0,0,0,0,347664,252.9959682125915
1,1,0,1,0,0,0,1,0,0,1,0,"348325,333333333",224.62388675961694
1,1,0,0,0,0,1,1,0,0,1,0,"340853,333333333",212.29923947539174
1,1,0,1,0,0,1,1,0,0,1,0,"341189,333333333",228.1819935629411
1,1,1,0,0,0,0,1,0,0,1,0,342272,226.14920499790648
1,1,1,0,0,0,1,1,0,0,1,0,"343498,666666667",232.8752956714863
1,1,1,1,0,0,0,1,0,0,1,0,"345002,666666667",243.89815598018845
1,1,1,1,0,0,1,1,0,0,1,0,342880,247.92938750166866
1,1,0,0,0,1,0,1,0,0,1,0,"348997,333333333",205.82948674448275
1,1,0,1,0,1,0,1,0,0,1,0,"341354,666666667",223.62817062550405
1,1,1,0,0,1,0,1,0,0,1,0,"342058,666666667",227.92515173683395
1,1,1,1,0,1,0,1,0,0,1,0,"350282,666666667",246.96121314010557
1,1,0,0,0,1,1,1,0,0,1,0,"349253,333333333@820912",211.822746063463
1,1,1,0,0,1,1,1,0,0,1,0,341968,232.0186861031805
1,1,0,1,0,1,1,1,0,0,1,0,"345658,666666667",224.32636279304242
1,1,1,1,0,1,1,1,0,0,1,0,342864,248.54312716870896
1,1,0,0,0,0,0,1,0,0,0,1,"348586,666666667@372261.333333333",222.89760598063842
1,1,0,1,0,0,0,1,0,0,0,1,377280@345456,238.8041005538839
1,1,0,0,0,0,1,1,0,0,0,1,"348378,666666667",222.6989102675809
1,1,0,1,0,0,1,1,0,0,0,1,347696@624981.333333333,239.86466054586097
1,1,0,0,0,1,0,1,0,0,0,1,"353034,666666667@511381.333333333",223.66818645954334
1,1,0,0,0,1,1,1,0,0,0,1,"343349,333333333",225.34073353884642
1,1,0,1,0,1,0,1,0,0,0,1,343776@536666.666666667,241.3974370957773
1,1,0,1,0,1,1,1,0,0,0,1,"343786,666666667",242.51617756563667
1,1,0,1,0,0,0,1,0,0,1,1,"353210,666666667",238.3329272445021
1,1,0,0,0,1,0,1,0,0,1,1,345200,220.90644370499396
1,1,0,1,0,1,0,1,0,0,1,1,"345194,666666667@382026.666666667",238.43210527443173
1,1,0,0,0,0,1,1,0,0,1,1,345584,222.91585045299382
1,1,0,0,0,1,1,1,0,0,1,1,"344378,666666667",222.81271767190398
1,1,0,1,0,0,1,1,0,0,1,1,"349354,666666667",240.11832712509857
1,1,0,1,0,1,1,1,0,0,1,1,"354442,666666667",241.47820862069284
1,1,1,0,0,0,0,1,0,0,0,1,345600,242.72876527974572
1,1,1,1,0,0,0,1,0,0,0,1,"344330,666666667",259.7007193225663
1,1,1,0,0,0,1,1,0,0,0,1,350896,245.92537286920324
1,1,1,1,0,0,1,1,0,0,0,1,23216,263.3975627293326
1,1,1,0,0,0,0,1,0,0,1,1,351280,236.2822010710992
