root,time_passes,gvn,instcombine,inline,jump_threading,simplifycfg,sccp,print_used_types,ipsccp,iv_users,licm,MainMemory,Performance
1,1,1,1,1,0,1,0,1,0,0,0,0,253.256666666667
1,1,0,1,1,1,0,1,0,0,1,0,0,230.573333333333
1,1,1,1,0,0,0,0,1,1,1,0,0,241.7
1,1,0,0,0,1,1,0,0,0,0,1,"346357,333333333",218.073333333333
1,1,0,0,0,0,1,1,0,1,1,1,0,216.23
1,1,1,1,1,1,1,0,0,1,0,0,0,253.653333333333
1,1,1,1,0,0,0,1,0,1,0,0,0,243.366666666667
1,1,1,0,0,0,1,0,1,1,0,1,0,237.47
1,1,1,1,0,1,0,1,0,0,0,0,344000@375386.666666667,244.49
1,1,0,0,1,1,1,1,1,1,1,1,0,266.54
1,1,0,1,0,1,1,0,1,0,0,0,0,222.896666666667
1,1,0,0,0,1,1,1,0,0,0,0,"338805,333333333@378869.333333333",206.616666666667
1,1,0,0,1,1,0,0,1,0,1,1,0,257.676666666667
1,1,0,0,0,1,1,1,0,0,0,1,"343349,333333333",218.96
1,1,0,0,0,0,1,1,1,0,0,1,0,215.483333333333
1,1,0,0,0,1,1,1,1,1,1,1,0,219.946666666667
1,1,0,0,1,1,1,1,1,0,0,0,0,214.48
1,1,1,0,0,1,1,0,0,1,0,0,0,227.906666666667
1,1,1,0,0,0,1,1,0,1,0,0,0,224.336666666667
1,1,1,0,1,0,1,0,1,1,0,1,0,248.07
1,1,0,0,0,0,0,1,0,0,0,1,"348586,666666667@372261.333333333",217.396666666667
1,1,1,1,0,0,1,0,1,1,1,1,0,251.433333333333
1,1,0,0,1,0,1,0,1,1,1,0,0,212.053333333333
1,1,0,1,1,0,0,0,0,1,1,0,0,227.4
1,1,1,1,1,0,1,0,0,1,1,0,0,250.68
1,1,0,0,1,1,1,0,0,1,0,1,0,261.43
1,1,0,0,0,0,1,1,0,1,0,0,0,202.063333333333
1,1,0,1,0,0,0,0,1,1,1,0,0,219.386666666667
1,1,1,1,0,1,0,0,0,1,1,1,0,249.576666666667
1,1,0,1,1,1,0,1,1,1,0,1,0,250.45
1,1,0,0,0,0,0,1,1,0,1,1,0,215.293333333333
1,1,0,0,1,1,1,0,1,0,1,1,0,260.77
1,1,1,1,1,1,0,1,0,0,1,1,0,263.786666666667
1,1,0,1,1,0,0,1,0,1,1,0,0,229.643333333333
1,1,1,0,0,0,1,0,1,1,0,0,0,229.313333333333
1,1,0,1,0,0,0,0,0,1,1,0,0,219.283333333333
1,1,1,0,0,1,0,1,1,0,1,0,"348570,666666667",224.296666666667
1,1,0,0,0,1,0,0,1,0,0,1,0,217.063333333333
1,1,1,0,0,1,1,1,0,1,1,0,0,229.816666666667
1,1,1,0,1,1,1,0,0,1,0,0,"796138,666666667",240.073333333333
1,1,0,0,0,1,1,0,0,1,1,1,0,218.4
1,1,1,1,1,0,1,0,1,0,0,1,0,266.45
1,1,0,1,0,0,0,1,0,1,0,1,0,233.85
1,1,1,0,1,1,1,1,0,0,0,0,0,256.97
1,1,1,1,0,1,1,1,0,1,1,0,0,246.16
1,1,1,0,0,0,0,0,1,0,1,0,0,224.733333333333
1,1,0,0,1,1,0,1,1,0,0,0,0,211.59
1,1,0,0,1,0,1,0,1,0,0,0,0,214.886666666667
1,1,0,0,0,0,0,1,0,1,1,1,0,218.433333333333
1,1,0,1,0,0,0,1,1,0,0,0,0,220.423333333333
1,1,1,1,0,0,1,0,0,1,0,1,0,251.933333333333
