Case Study,Sampling Strategy,Sample Set Size,Area
7z,random,10,-0.01290733333333279
7z,random,20,-0.010906787878783448
7z,random,30,-0.0017573333333183512
7z,random,40,-0.00032847619044065664
7z,random,50,0.0004654358975053146
7z,random,60,-0.0010769677418155166
7z,random,70,0.00019088888907940583
7z,random,80,0.0004537886181705788
7z,random,90,0.0009468985511295862
7z,random,100,0.0009812549025162804
7z,random,110,0.0010839047626441374
7z,random,120,0.0007493879791019966
7z,random,130,0.0008104242436447053
7z,random,140,0.0007309201893177627
7z,random,150,0.0004462807036292574
7z,random,160,0.0003401728417815756
7z,random,170,0.0002799534911013556
7z,random,180,3.783883107861033e-05
7z,random,190,9.766667047696148e-05
7z,random,200,1.1617206157483049e-06
7z,random,210,0.0002176478038867623
7z,random,220,9.250451041960923e-05
7z,random,230,3.701150101177851e-05
7z,random,240,-0.00013443525402863281
7z,random,250,0.00011692064360042362
7z,random,260,-3.187276377336106e-05
7z,random,270,7.847059916921785e-05
7z,random,280,-1.190069702557071e-05
7z,random,290,-0.00012000911887213548
7z,random,300,-0.00021674170685604636
7z,divDistBased,10,0.026400666666667218
7z,divDistBased,20,0.02131854545454989
7z,divDistBased,30,0.013994666666681652
7z,divDistBased,40,0.007774190476226009
7z,divDistBased,50,0.004185435897505314
7z,divDistBased,60,0.0023930322581844836
7z,divDistBased,70,0.0001715555557460723
7z,divDistBased,80,-0.0008675447151627552
7z,divDistBased,90,-0.0020571014488704143
7z,divDistBased,100,-0.002259411764150387
7z,divDistBased,110,-0.002970095237355863
7z,divDistBased,120,-0.0030259453542313365
7z,divDistBased,130,-0.0028382424230219624
7z,divDistBased,140,-0.002824413144015571
7z,divDistBased,150,-0.0026970526297040768
7z,divDistBased,160,-0.0028411604915517586
7z,divDistBased,170,-0.002607379842231978
7z,divDistBased,180,-0.002711494502254723
7z,divDistBased,190,-0.002696333329523039
7z,divDistBased,200,-0.0025921716127175858
7z,divDistBased,210,-0.002232352196113238
7z,divDistBased,220,-0.002077495489580391
7z,divDistBased,230,-0.0018369884989882213
7z,divDistBased,240,-0.0019597685873619657
7z,divDistBased,250,-0.00207241268973291
7z,divDistBased,260,-0.0021398727637733607
7z,divDistBased,270,-0.0020788627341641157
7z,divDistBased,280,-0.002115900697025571
7z,divDistBased,290,-0.0021473424522054684
7z,divDistBased,300,-0.0020274083735227133
7z,solverBased,10,-0.6117439999999995
7z,solverBased,20,-0.5382974545454501
7z,solverBased,30,-0.09220333333331833
7z,solverBased,40,-0.061639809523774014
7z,solverBased,50,-0.058583897435828036
7z,solverBased,60,-0.03853230107514886
7z,solverBased,70,-0.0387031111109206
7z,solverBased,80,-0.039378211381829425
7z,solverBased,90,-0.04068443478220376
7z,solverBased,100,-0.03711741176415039
7z,solverBased,110,-0.03695142857068919
7z,solverBased,120,-0.037026612020898
7z,solverBased,130,-0.037440909089688626
7z,solverBased,140,-0.0363377464773489
7z,solverBased,150,-0.036157719296370745
7z,solverBased,160,-0.03530382715821842
7z,solverBased,170,-0.03362004650889864
7z,solverBased,180,-0.03377416116892139
7z,solverBased,190,-0.03354766666285637
7z,solverBased,200,-0.03324683827938425
7z,solverBased,210,-0.0320090188627799
7z,solverBased,220,-0.0318714954895804
7z,solverBased,230,-0.03130165516565489
7z,solverBased,240,-0.03104376858736197
7z,solverBased,250,-0.03038441268973291
7z,solverBased,260,-0.030197872763773358
7z,solverBased,270,-0.030332862734164117
7z,solverBased,280,-0.0304192340303589
7z,solverBased,290,-0.030540675785538797
7z,solverBased,300,-0.030420075040189377
7z,SRSSampling,10,-0.02030666666666612
7z,SRSSampling,20,-0.0069534545454501126
7z,SRSSampling,30,-8.39999999850178e-05
7z,SRSSampling,40,0.00287419047622601
7z,SRSSampling,50,0.002768769230838648
7z,SRSSampling,60,0.0029823655915178168
7z,SRSSampling,70,0.002058888889079405
7z,SRSSampling,80,0.002208455284837245
7z,SRSSampling,90,0.0014988985511295873
7z,SRSSampling,100,0.0006685882358496143
7z,SRSSampling,110,-8.761904022527669e-06
7z,SRSSampling,120,-0.000658612020898003
7z,SRSSampling,130,-0.0009635757563552939
7z,SRSSampling,140,-0.0014377464773489034
7z,SRSSampling,150,-0.0014583859630374076
7z,SRSSampling,160,-0.0011651604915517567
7z,SRSSampling,170,-0.0009753798422319787
7z,SRSSampling,180,-0.00125416116892139
7z,SRSSampling,190,-0.0007149999961897063
7z,SRSSampling,200,0.00014116172061574684
7z,SRSSampling,210,9.16478038867606e-05
7z,SRSSampling,220,0.0004971711770862741
7z,SRSSampling,230,0.0012990115010117777
7z,SRSSampling,240,0.0014442314126380334
7z,SRSSampling,250,0.0013142539769337564
7z,SRSSampling,260,0.0013681272362266383
7z,SRSSampling,270,0.0013471372658358837
7z,SRSSampling,280,0.0013707659696410952
7z,SRSSampling,290,0.0012786575477945305
7z,SRSSampling,300,0.0013459249598106195
BerkeleyDBC,random,10,-0.006793333333332784
BerkeleyDBC,random,20,-0.0034967878787834452
BerkeleyDBC,random,30,-0.001665999999985016
BerkeleyDBC,random,40,-0.00247580952377399
BerkeleyDBC,random,50,-0.0031025641024946845
BerkeleyDBC,random,60,-0.002298301075148851
BerkeleyDBC,random,70,-0.003249111110920595
BerkeleyDBC,random,80,-0.0033135447151627553
BerkeleyDBC,random,90,-0.0016737681155370803
BerkeleyDBC,random,100,-0.0015674117641503867
BerkeleyDBC,random,110,-0.0009174285706891959
BerkeleyDBC,random,120,-0.00038061202089800333
BerkeleyDBC,random,130,0.00020242424364470512
BerkeleyDBC,random,140,0.0001535868559844294
BerkeleyDBC,random,150,0.00042761403696259096
BerkeleyDBC,random,160,0.0006568395084482423
BerkeleyDBC,random,170,0.0005552868244346889
BerkeleyDBC,random,180,0.0004938388310786103
BerkeleyDBC,random,190,0.0005023333371436282
BerkeleyDBC,random,200,0.0003471617206157484
BerkeleyDBC,random,210,0.00024898113722009564
BerkeleyDBC,random,220,0.00021317117708627605
BerkeleyDBC,random,230,9.034483434511191e-05
BerkeleyDBC,random,240,6.23141263803395e-06
BerkeleyDBC,random,250,0.0001622539769337569
BerkeleyDBC,random,260,0.00013146056955997223
BerkeleyDBC,random,270,2.1803932502551225e-05
BerkeleyDBC,random,280,-5.4567363692237365e-05
BerkeleyDBC,random,290,-0.0001600091188721355
BerkeleyDBC,random,300,-0.00011207504018937959
BerkeleyDBC,divDistBased,10,-0.011501333333332786
BerkeleyDBC,divDistBased,20,-0.026606121212116775
BerkeleyDBC,divDistBased,30,-0.022991999999985014
BerkeleyDBC,divDistBased,40,-0.02099780952377399
BerkeleyDBC,divDistBased,50,-0.018067230769161356
BerkeleyDBC,divDistBased,60,-0.018041634408482186
BerkeleyDBC,divDistBased,70,-0.014757111110920594
BerkeleyDBC,divDistBased,80,-0.01137687804849609
BerkeleyDBC,divDistBased,90,-0.007853101448870414
BerkeleyDBC,divDistBased,100,-0.004846078430817053
BerkeleyDBC,divDistBased,110,-0.0031414285706891955
BerkeleyDBC,divDistBased,120,-0.0008552786875646697
BerkeleyDBC,divDistBased,130,-0.000610909089688628
BerkeleyDBC,divDistBased,140,-0.00011507981068223647
BerkeleyDBC,divDistBased,150,0.0004509473702959244
BerkeleyDBC,divDistBased,160,0.00015350617511490928
BerkeleyDBC,divDistBased,170,0.0001532868244346892
BerkeleyDBC,divDistBased,180,-0.0001661611689213894
BerkeleyDBC,divDistBased,190,-0.0002843333295230386
BerkeleyDBC,divDistBased,200,0.00013782838728241477
BerkeleyDBC,divDistBased,210,-9.568552944657147e-05
BerkeleyDBC,divDistBased,220,-0.00030016215624705786
BerkeleyDBC,divDistBased,230,-0.00026498849898822175
BerkeleyDBC,divDistBased,240,-0.0004431019206952997
BerkeleyDBC,divDistBased,250,-0.0005517460230662432
BerkeleyDBC,divDistBased,260,-0.0007032060971066945
BerkeleyDBC,divDistBased,270,-0.0008435294008307822
BerkeleyDBC,divDistBased,280,-0.0009739006970255708
BerkeleyDBC,divDistBased,290,-0.0009700091188721357
BerkeleyDBC,divDistBased,300,-0.0010834083735227135
BerkeleyDBC,solverBased,10,-0.3433919999999994
BerkeleyDBC,solverBased,20,-0.2976081212121168
BerkeleyDBC,solverBased,30,-0.13960866666665167
BerkeleyDBC,solverBased,40,-0.07496114285710732
BerkeleyDBC,solverBased,50,-0.04605656410249469
BerkeleyDBC,solverBased,60,-0.04385496774181552
BerkeleyDBC,solverBased,70,-0.03316844444425394
BerkeleyDBC,solverBased,80,-0.021807544715162757
BerkeleyDBC,solverBased,90,-0.016787768115537085
BerkeleyDBC,solverBased,100,-0.014799411764150392
BerkeleyDBC,solverBased,110,-0.0132734285706892
BerkeleyDBC,solverBased,120,-0.013235278687564673
BerkeleyDBC,solverBased,130,-0.013629575756355298
BerkeleyDBC,solverBased,140,-0.009010413144015574
BerkeleyDBC,solverBased,150,-0.008883719296370746
BerkeleyDBC,solverBased,160,-0.009289827158218427
BerkeleyDBC,solverBased,170,-0.008908713175565313
BerkeleyDBC,solverBased,180,-0.009212161168921392
BerkeleyDBC,solverBased,190,-0.007747666662856373
BerkeleyDBC,solverBased,200,-0.007818171612717585
BerkeleyDBC,solverBased,210,-0.0071456855294465705
BerkeleyDBC,solverBased,220,-0.006582828822913724
BerkeleyDBC,solverBased,230,-0.0067423218323215545
BerkeleyDBC,solverBased,240,-0.005365768587361966
BerkeleyDBC,solverBased,250,-0.005529746023066244
BerkeleyDBC,solverBased,260,-0.005681206097106695
BerkeleyDBC,solverBased,270,-0.005106862734164117
BerkeleyDBC,solverBased,280,-0.004987234030358906
BerkeleyDBC,solverBased,290,-0.004546009118872136
BerkeleyDBC,solverBased,300,-0.004616741706856047
BerkeleyDBC,SRSSampling,10,-0.0019119999999994532
BerkeleyDBC,SRSSampling,20,0.0015225454545498875
BerkeleyDBC,SRSSampling,30,0.0034180000000149815
BerkeleyDBC,SRSSampling,40,0.004886857142892675
BerkeleyDBC,SRSSampling,50,0.0056834358975053146
BerkeleyDBC,SRSSampling,60,0.007712365591517814
BerkeleyDBC,SRSSampling,70,0.00666155555574607
BerkeleyDBC,SRSSampling,80,0.007778455284837246
BerkeleyDBC,SRSSampling,90,0.008016231884462918
BerkeleyDBC,SRSSampling,100,0.007182588235849613
BerkeleyDBC,SRSSampling,110,0.006470571429310804
BerkeleyDBC,SRSSampling,120,0.00655672131243533
BerkeleyDBC,SRSSampling,130,0.005949757576978038
BerkeleyDBC,SRSSampling,140,0.00557158685598443
BerkeleyDBC,SRSSampling,150,0.005108280703629257
BerkeleyDBC,SRSSampling,160,0.005038172841781575
BerkeleyDBC,SRSSampling,170,0.004823286824434689
BerkeleyDBC,SRSSampling,180,0.004503838831078611
BerkeleyDBC,SRSSampling,190,0.004229000003810295
BerkeleyDBC,SRSSampling,200,0.004038495053949083
BerkeleyDBC,SRSSampling,210,0.003856981137220095
BerkeleyDBC,SRSSampling,220,0.003644504510419609
BerkeleyDBC,SRSSampling,230,0.0034503448343451114
BerkeleyDBC,SRSSampling,240,0.003272231412638034
BerkeleyDBC,SRSSampling,250,0.003108253976933756
BerkeleyDBC,SRSSampling,260,0.0029721272362266396
BerkeleyDBC,SRSSampling,270,0.0028784705991692183
BerkeleyDBC,SRSSampling,280,0.0028774326363077618
BerkeleyDBC,SRSSampling,290,0.002755990881127865
BerkeleyDBC,SRSSampling,300,0.002642591626477287
Dune,random,10,-0.004996666666666119
Dune,random,20,-0.006829454545450114
Dune,random,30,-0.0018526666666516848
Dune,random,40,0.00011619047622600957
Dune,random,50,-5.897435828019289e-06
Dune,random,60,-4.967741815516863e-06
Dune,random,70,0.00027955555574607185
Dune,random,80,3.245528483724535e-05
Dune,random,90,3.289855112958565e-05
Dune,random,100,0.00023658823584961342
Dune,random,110,0.00011590476264413765
Dune,random,120,5.4054645768663635e-05
Dune,random,130,0.0003864242436447054
Dune,random,140,-4.241314401557069e-05
Dune,random,150,6.361403696259084e-05
Dune,random,160,0.0003395061751149092
Dune,random,170,0.00024195349110135586
Dune,random,180,0.00040517216441194367
Dune,random,190,0.0004236666704769614
Dune,random,200,0.0005424950539490817
Dune,random,210,0.00042164780388676215
Dune,random,220,0.0005598378437529424
Dune,random,230,0.000491678167678445
Dune,random,240,0.0005702314126380336
Dune,random,250,0.0005635873102670902
Dune,random,260,0.00048346056955997217
Dune,random,270,0.0004124705991692179
Dune,random,280,0.0005287659696410961
Dune,random,290,0.0004673242144611979
Dune,random,300,0.00042659162647728697
Dune,divDistBased,10,0.07392733333333389
Dune,divDistBased,20,0.03693454545454988
Dune,divDistBased,30,0.02273000000001498
Dune,divDistBased,40,0.016306857142892678
Dune,divDistBased,50,0.011792769230838647
Dune,divDistBased,60,0.008832365591517819
Dune,divDistBased,70,0.006661555555746074
Dune,divDistBased,80,0.005538455284837245
Dune,divDistBased,90,0.0045355652177962525
Dune,divDistBased,100,0.004301921569182947
