Case Study,Sampling Strategy,Sample Set Size,Area
Polly,solverBased,10,-0.3438366666666661
Polly,solverBased,20,-0.26186745454545013
Polly,solverBased,30,-0.24868866666665168
Polly,solverBased,40,-0.242557809523774
Polly,solverBased,50,-0.24177656410249468
Polly,solverBased,60,-0.2407269677418155
Polly,solverBased,70,-0.23970177777758728
Polly,solverBased,80,-0.24035021138182944
Polly,solverBased,90,-0.23989910144887044
Polly,solverBased,100,-0.23966607843081705
Polly,solverBased,110,-0.23932009523735587
Polly,solverBased,120,-0.23961127868756465
Polly,solverBased,130,-0.23963224242302195
Polly,solverBased,140,-0.23894241314401557
Polly,solverBased,150,-0.23923171929637077
Polly,solverBased,160,-0.23871982715821843
Polly,solverBased,170,-0.23713071317556533
Polly,solverBased,180,-0.2368501611689214
Polly,solverBased,190,-0.2357249999961897
Polly,solverBased,200,-0.23555283827938425
Polly,solverBased,210,-0.2346250188627799
Polly,solverBased,220,-0.23456816215624707
Polly,solverBased,230,-0.2346916551656549
Polly,solverBased,240,-0.234831768587362
Polly,solverBased,250,-0.2347924126897329
Polly,solverBased,260,-0.2347952060971067
Polly,solverBased,270,-0.23473619606749746
Polly,solverBased,280,-0.23373656736369225
Polly,solverBased,290,-0.23355734245220547
Polly,solverBased,300,-0.2336180750401894
Polly,solverBased,310,-0.23228153844498994
Polly,solverBased,320,-0.23237840991968609
Polly,solverBased,330,-0.23228728512059996
Polly,solverBased,340,-0.23228802336998045
Polly,solverBased,350,-0.23227775755194172
Polly,solverBased,360,-0.23227890236819096
Polly,solverBased,370,-0.2320918279288534
Polly,solverBased,380,-0.2320801989224005
Polly,solverBased,390,-0.2320716462255545
Polly,solverBased,400,-0.23205777110872994
Polly,solverBased,410,-0.23198881549569894
Polly,solverBased,420,-0.23197233171240328
Polly,solverBased,430,-0.23200385180769115
Polly,solverBased,440,-0.2319568898471059
Polly,solverBased,450,-0.231696277235523
Polly,solverBased,460,-0.23160616444810267
Polly,solverBased,470,-0.23157402254120588
Polly,solverBased,480,-0.23156864447522976
Polly,solverBased,490,-0.23134747960945495
Polly,solverBased,500,-0.23135530139139965
Polly,solverBased,510,-0.2292995415929945
Polly,solverBased,520,-0.2292736244429824
Polly,solverBased,530,-0.2281789673358646
Polly,solverBased,540,-0.2274163147956992
Polly,solverBased,550,-0.22668040570470416
Polly,solverBased,560,-0.22669930713853362
Polly,solverBased,570,-0.22667241481556966
Polly,solverBased,580,-0.22666112016656184
Polly,solverBased,590,-0.22664281069675857
Polly,solverBased,600,-0.22664553697861164
Polly,solverBased,610,-0.2265373462791839
Polly,solverBased,620,-0.22656361615918866
Polly,solverBased,630,-0.2265770547134711
Polly,solverBased,640,-0.22660170078901465
Polly,solverBased,650,-0.226599590849552
Polly,solverBased,660,-0.22661675915556895
Polly,solverBased,670,-0.22661323792823648
Polly,solverBased,680,-0.2266177241655873
Polly,solverBased,690,-0.22553424644572903
Polly,solverBased,700,-0.22447283171838706
Polly,solverBased,710,-0.2224355054192569
Polly,solverBased,720,-0.22236495824152086
Polly,solverBased,730,-0.2223838795654367
Polly,solverBased,740,-0.22209762421347623
Polly,solverBased,750,-0.220717545865072
Polly,solverBased,760,-0.22073499713161945
Polly,solverBased,770,-0.2197199962923173
Polly,solverBased,780,-0.21973656069136677
Polly,solverBased,790,-0.2174700401303324
Polly,solverBased,800,-0.21645711692275377
Polly,solverBased,810,-0.21645780594472175
Polly,solverBased,820,-0.216421454681763
Polly,solverBased,830,-0.21642007660567672
Polly,solverBased,840,-0.21584968454827153
Polly,solverBased,850,-0.21227362407225697
Polly,solverBased,860,-0.2096119068395205
Polly,solverBased,870,-0.20962521064366726
Polly,solverBased,880,-0.20950821277367912
Polly,solverBased,890,-0.20943692337553413
Polly,solverBased,900,-0.20690468547861102
Polly,solverBased,910,-0.2042121750203565
Polly,solverBased,920,-0.2017560675360143
Polly,solverBased,930,-0.20176770484686882
Polly,solverBased,940,-0.20175842841378192
Polly,solverBased,950,-0.2004575793561224
Polly,solverBased,960,-0.20043849846951542
Polly,solverBased,970,-0.1984231929091623
Polly,solverBased,980,-0.1983430028721434
Polly,solverBased,990,-0.19797860161210834
Polly,solverBased,1000,-0.19798866211975308
Polly,solverBased,1010,-0.19799852380247862
Polly,solverBased,1020,-0.1965541924966198
Polly,solverBased,1030,-0.1964163404789635
Polly,solverBased,1040,-0.19642563981093683
Polly,solverBased,1050,-0.19538076234884275
Polly,solverBased,1060,-0.1953810464201842
Polly,solverBased,1070,-0.1953898301661145
Polly,solverBased,1080,-0.19539845155004848
Polly,solverBased,1090,-0.19181824836580086
Polly,solverBased,1100,-0.18897922491194785
Polly,solverBased,1110,-0.18701671866577405
Polly,solverBased,1120,-0.18609206695682928
Polly,solverBased,1130,-0.17749194030678764
Polly,solverBased,1140,-0.17549567576896316
Polly,solverBased,1150,-0.1750959436008372
Polly,solverBased,1160,-0.17406541393628283
Polly,solverBased,1170,-0.17400209012417167
Polly,solverBased,1180,-0.17363130873337962
Polly,solverBased,1190,-0.17256507289087392
Polly,solverBased,1200,-0.1716060522862294
Polly,solverBased,1210,-0.17149091650925502
Polly,solverBased,1220,-0.168795668387409
Polly,solverBased,1230,-0.1684823106563489
Polly,solverBased,1240,-0.1658108459636271
Polly,solverBased,1250,-0.1655426102055432
Polly,solverBased,1260,-0.1655349391971613
Polly,solverBased,1270,-0.1652698353421704
Polly,solverBased,1280,-0.16462863430259464
Polly,solverBased,1290,-0.15969600500169556
Polly,solverBased,1300,-0.1597019496267411
Polly,solverBased,1310,-0.158612470298314
Polly,solverBased,1320,-0.15861823573950065
Polly,solverBased,1330,-0.15855658127829975
Polly,solverBased,1340,-0.15721817551658968
Polly,solverBased,1350,-0.15617702033232728
Polly,solverBased,1360,-0.15209445088164972
Polly,solverBased,1370,-0.14964513560088444
Polly,solverBased,1380,-0.1479624095418052
Polly,solverBased,1390,-0.14454694104013843
Polly,solverBased,1400,-0.14382739838399117
Polly,solverBased,1410,-0.14189644981553723
Polly,solverBased,1420,-0.13971143019929888
Polly,solverBased,1430,-0.1380796743570276
Polly,solverBased,1440,-0.13529051706918727
Polly,solverBased,1450,-0.13366262640970916
