Case Study,Sampling Strategy,Sample Set Size,Area
Polly,random,10,-0.7709393333333328
Polly,random,20,-0.1965394545454501
Polly,random,30,-0.029389999999985022
Polly,random,40,-0.013344476190440659
Polly,random,50,-0.00939989743582802
Polly,random,60,-0.0038403010751488498
Polly,random,70,-0.0015104444442539278
Polly,random,80,0.00020178861817057872
Polly,random,90,-0.00018310144887041376
Polly,random,100,-0.00017074509748372019
Polly,random,110,0.00026323809597747077
Polly,random,120,-0.00031861202089800334
Polly,random,130,-0.0005442424230219614
Polly,random,140,-0.0005637464773489042
Polly,random,150,-0.0006077192963707426
Polly,random,160,-0.0006558271582184244
Polly,random,170,0.00016328682443468904
Polly,random,180,0.0002718388310786105
Polly,random,190,0.000209000003810295
Polly,random,200,0.0001304950539490817
Polly,random,210,-4.235219611323782e-05
Polly,random,220,-0.00024882882291372423
Polly,random,230,-0.0004016551656548882
Polly,random,240,-6.643525402863286e-05
Polly,random,250,-4.3746023066243066e-05
Polly,random,260,-3.7206097106694535e-05
Polly,random,270,-0.00011286273416411556
Polly,random,280,-8.723403035890399e-05
Polly,random,290,-0.00011067578553880212
Polly,random,300,-0.00010807504018937963
Polly,random,310,-0.00021420511165660182
Polly,random,320,-0.0002577432530194438
Polly,random,330,-0.00023395178726664213
Polly,random,340,-0.00015135670331378642
Polly,random,350,-6.842421860840974e-05
Polly,random,360,-0.0001429023681909508
Polly,random,370,6.150540447991874e-05
Polly,random,380,1.0467744266154574e-05
Polly,random,390,4.3687107778831904e-05
Polly,random,400,2.02288912700463e-05
Polly,random,410,-4.014882903226028e-05
Polly,random,420,-5.899837906993493e-05
Polly,random,430,-7.385180769113637e-05
Polly,random,440,-0.00012622318043921374
Polly,random,450,-0.00015761056885633595
Polly,random,460,-0.00013149778143599946
Polly,random,470,-0.00010002254120586974
Polly,random,480,-0.00013397780856310096
Polly,random,490,-0.00011347960945494444
Polly,random,500,-0.00011130139139965533
Polly,random,510,-0.00015020825966119877
Polly,random,520,-0.00018762444298242012
Polly,random,530,-0.0001663006691979314
Polly,random,540,-0.00019098146236586863
Polly,random,550,-0.00017573903803749823
Polly,random,560,-0.00020797380520029744
Polly,random,570,-0.0002390814822363262
Polly,random,580,-0.0001891201665618689
Polly,random,590,-0.00020147736342521894
Polly,random,600,-0.00014153697861166078
Polly,random,610,-6.401294585058082e-05
Polly,random,620,2.038384081133921e-05
Polly,random,630,4.4278619862226196e-05
Polly,random,640,7.696587765200514e-05
Polly,random,650,6.640915044798597e-05
Polly,random,660,0.00012457417776436767
Polly,random,670,0.00011009540509684293
Polly,random,680,0.0001022758344127146
Polly,random,690,8.442022093762896e-05
Polly,random,700,7.383494827962502e-05
Polly,random,710,5.382791407643796e-05
Polly,random,720,6.370842514579808e-05
Polly,random,730,6.0787101229965775e-05
Polly,random,740,4.437578652372876e-05
Polly,random,750,3.778746826133409e-05
Polly,random,760,5.2336201713900074e-05
Polly,random,770,4.4670374349376466e-05
Polly,random,780,7.010597529992491e-05
Polly,random,790,8.795986966763038e-05
Polly,random,800,9.421641057957549e-05
Polly,random,810,9.619405527825578e-05
Polly,random,820,9.054531823702474e-05
Polly,random,830,8.792339432330409e-05
Polly,random,840,7.364878506180086e-05
Polly,random,850,8.37092610763737e-05
Polly,random,860,9.409316047948565e-05
Polly,random,870,8.078935633272102e-05
Polly,random,880,6.778722632086988e-05
Polly,random,890,7.907662446587494e-05
Polly,random,900,6.73145213889996e-05
Polly,random,910,6.249164631013408e-05
Polly,random,920,5.05991306523524e-05
Polly,random,930,3.896181979782238e-05
Polly,random,940,2.9571586218072405e-05
Polly,random,950,2.0420643877561976e-05
Polly,random,960,1.6834863817901583e-05
Polly,random,970,6.14042417103159e-06
Polly,random,980,-3.002872143409769e-06
Polly,random,990,-1.1268278774991364e-05
Polly,random,1000,-2.1328786419742823e-05
Polly,random,1010,-3.119046914526215e-05
Polly,random,1020,-4.085916328643245e-05
Polly,random,1030,-5.034047896347966e-05
Polly,random,1040,-2.2973144270135784e-05
Polly,random,1050,-3.0095682176038998e-05
Polly,random,1060,-3.904642018417668e-05
Polly,random,1070,-4.58301661144672e-05
Polly,random,1080,-2.5784883381782037e-05
Polly,random,1090,-2.8248365800816485e-05
Polly,random,1100,-3.522491194786457e-05
Polly,random,1110,-4.1385332440723114e-05
Polly,random,1120,-3.540029016262932e-05
Polly,random,1130,-4.3273640120972535e-05
Polly,random,1140,-1.3675768963165826e-05
Polly,random,1150,-6.610267503844963e-06
Polly,random,1160,-1.4080602949456011e-05
Polly,random,1170,-2.1423457504976796e-05
Polly,random,1180,-2.0642066712951413e-05
Polly,random,1190,-2.7739557540562285e-05
Polly,random,1200,-3.0718952896075156e-05
Polly,random,1210,-3.758317592169939e-05
Polly,random,1220,-4.4335054075668586e-05
Polly,random,1230,-2.4310656348852217e-05
Polly,random,1240,-1.8179296960436066e-05
Polly,random,1250,-2.4610205543159478e-05
Polly,random,1260,-3.093919716126839e-05
Polly,random,1270,-2.9168675503720688e-05
Polly,random,1280,-3.530096926127767e-05
Polly,random,1290,-4.133833502891123e-05
Polly,random,1300,-4.7282960074459493e-05
Polly,random,1310,-5.313696498066691e-05
Polly,random,1320,-5.8902406167312944e-05
Polly,random,1330,-5.9914611633066015e-05
Polly,random,1340,-5.484218325631942e-05
Polly,random,1350,-3.568699899391909e-05
Polly,random,1360,-4.111754831636557e-05
Polly,random,1370,-3.580226755109596e-05
Polly,random,1380,-4.107620847183863e-05
Polly,random,1390,-4.4274373471757606e-05
Polly,random,1400,-4.8731717324529025e-05
Polly,random,1410,-5.378314887058403e-05
