Case Study,Sampling Strategy,Robustness,Posterior Confidence,Prior Confidence
BerkeleyDBC,RandomSampling,0.0,0.0,0.0
BerkeleyDBC,RandomSampling,0.001,0.12,0.09339555059192428
BerkeleyDBC,RandomSampling,0.002,0.2,0.17814907903138177
BerkeleyDBC,RandomSampling,0.003,0.27,0.2550527615546916
BerkeleyDBC,RandomSampling,0.004,0.35,0.32482684626795744
BerkeleyDBC,RandomSampling,0.005,0.37,0.38812612157195225
BerkeleyDBC,RandomSampling,0.006,0.45,0.44554580852083614
BerkeleyDBC,RandomSampling,0.007,0.46,0.4976269279154968
BerkeleyDBC,RandomSampling,0.008,0.5,0.5448611884968069
BerkeleyDBC,RandomSampling,0.009,0.59,0.5876954385519864
BerkeleyDBC,RandomSampling,0.01,0.6,0.6265357195457308
BerkeleyDBC,RandomSampling,0.011,0.66,0.6617509570068023
BerkeleyDBC,RandomSampling,0.012,0.67,0.6936763208128897
BerkeleyDBC,RandomSampling,0.013,0.69,0.7226162841965951
BerkeleyDBC,RandomSampling,0.014,0.71,0.7488474082203623
BerkeleyDBC,RandomSampling,0.015,0.76,0.7726208761169963
BerkeleyDBC,RandomSampling,0.016,0.77,0.7941647997458495
BerkeleyDBC,RandomSampling,0.017,0.79,0.813686318455154
BerkeleyDBC,RandomSampling,0.018,0.82,0.8313735088522378
BerkeleyDBC,RandomSampling,0.019,0.84,0.8473971223507297
BerkeleyDBC,RandomSampling,0.02,0.87,0.8619121658738516
BerkeleyDBC,RandomSampling,0.021,0.88,0.8750593397331726
BerkeleyDBC,RandomSampling,0.022,0.89,0.8869663454614984
BerkeleyDBC,RandomSampling,0.023,0.9,0.8977490752465626
BerkeleyDBC,RandomSampling,0.024,0.91,0.9075126935794554
BerkeleyDBC,RandomSampling,0.025,0.91,0.916352620789658
BerkeleyDBC,RandomSampling,0.026,0.92,0.924355427279247
BerkeleyDBC,RandomSampling,0.027,0.92,0.9315996464851302
BerkeleyDBC,RandomSampling,0.028,0.93,0.9381565138834471
BerkeleyDBC,RandomSampling,0.029,0.93,0.9440906386985503
BerkeleyDBC,RandomSampling,0.03,0.94,0.9494606143847321
BerkeleyDBC,RandomSampling,0.031,0.94,0.9543195734071039
BerkeleyDBC,RandomSampling,0.032,0.94,0.9587156913541482
BerkeleyDBC,RandomSampling,0.033,0.96,0.962692644964275
BerkeleyDBC,RandomSampling,0.034,0.96,0.9662900282384002
BerkeleyDBC,RandomSampling,0.035,0.96,0.9695437304366151
BerkeleyDBC,RandomSampling,0.036,0.96,0.9724862794162552
BerkeleyDBC,RandomSampling,0.037,0.96,0.9751471534581799
BerkeleyDBC,RandomSampling,0.038,0.96,0.9775530644451877
BerkeleyDBC,RandomSampling,0.039,0.96,0.9797282149987743
BerkeleyDBC,RandomSampling,0.04,0.96,0.9816945319456927
BerkeleyDBC,RandomSampling,0.041,0.97,0.9834718782719496
BerkeleyDBC,RandomSampling,0.042,0.97,0.9850782455271389
BerkeleyDBC,RandomSampling,0.043,0.97,0.9865299284646818
BerkeleyDBC,RandomSampling,0.044,0.97,0.9878416835420655
BerkeleyDBC,RandomSampling,0.045,0.97,0.9890268727581581
BerkeleyDBC,RandomSampling,0.046,0.97,0.9900975941708334
BerkeleyDBC,RandomSampling,0.047,0.97,0.9910648003163058
BerkeleyDBC,RandomSampling,0.048,0.97,0.9919384056406798
BerkeleyDBC,RandomSampling,0.049,0.98,0.9927273839532917
