Case Study,Sampling Strategy,Robustness,Confidence Difference
Polly,solverBased,0.0,0.0
Polly,solverBased,0.001,-0.015880558184360072
Polly,solverBased,0.002,-0.03152445101926493
Polly,solverBased,0.003,-0.046934973635611166
Polly,solverBased,0.004,-0.06211537852021787
Polly,solverBased,0.005,-0.07706887602576384
Polly,solverBased,0.006,-0.09179863487512785
Polly,solverBased,0.007,-0.10630778266019048
Polly,solverBased,0.008,-0.12059940633515198
Polly,solverBased,0.009,-0.13467655270442014
Polly,solverBased,0.01,-0.14854222890512447
Polly,solverBased,0.011,-0.1621994028843089
Polly,solverBased,0.012,-0.17565100387085686
Polly,solverBased,0.013,-0.18889992284220247
Polly,solverBased,0.014,-0.20194901298587897
Polly,solverBased,0.015,-0.21480109015595727
Polly,solverBased,0.016,-0.22745893332442524
Polly,solverBased,0.017,-0.23992528502756072
Polly,solverBased,0.018,-0.2522028518073456
Polly,solverBased,0.019,-0.2642943046479743
Polly,solverBased,0.02,-0.2762022794075044
Polly,solverBased,0.021,-0.28792937724469847
Polly,solverBased,0.022,-0.2994781650411077
Polly,solverBased,0.023,-0.31085117581844346
Polly,solverBased,0.024,-0.3220509091512853
Polly,solverBased,0.025,-0.3330798315751746
Polly,solverBased,0.026,-0.343940376990137
Polly,solverBased,0.027,-0.3546349470596849
Polly,solverBased,0.028,-0.36516591160534173
Polly,solverBased,0.029,-0.37553560899673677
Polly,solverBased,0.03,-0.38574634653731454
Polly,solverBased,0.031,-0.3958004008457039
Polly,solverBased,0.032,-0.3957000182327902
Polly,solverBased,0.033,-0.4054474150745375
Polly,solverBased,0.034,-0.41504477818060015
Polly,solverBased,0.035,-0.4244942651587713
Polly,solverBased,0.036,-0.43379800477530817
Polly,solverBased,0.037,-0.4429580973111773
Polly,solverBased,0.038,-0.45197661491426333
Polly,solverBased,0.039,-0.46085560194758
Polly,solverBased,0.04,-0.46959707533352757
Polly,solverBased,0.041,-0.47820302489423583
Polly,solverBased,0.042,-0.48667541368803324
Polly,solverBased,0.043,-0.49501617834208345
Polly,solverBased,0.044,-0.5032272293812279
Polly,solverBased,0.045,-0.5113104515530736
Polly,solverBased,0.046,-0.5192677041493668
Polly,solverBased,0.047,-0.5271008213236892
Polly,solverBased,0.048,-0.5348116124055158
Polly,solverBased,0.049,-0.5424018622106734
Polly,solverBased,0.05,-0.5498733313482347
Polly,solverBased,0.051,-0.5572277565238879
Polly,solverBased,0.052,-0.5644668508398173
