Case Study,Sampling Strategy,Robustness,Confidence Difference
7z,RandomSampling,0.0,0.0
7z,RandomSampling,0.001,0.01996632512394314
7z,RandomSampling,0.002,-0.032614955583173455
7z,RandomSampling,0.003,-0.05519799789514779
7z,RandomSampling,0.004,0.009268402610865256
7z,RandomSampling,0.005,0.0011807388415432385
7z,RandomSampling,0.006,0.00341868202809803
7z,RandomSampling,0.007,0.010704593308076604
7z,RandomSampling,0.008,0.0291278270337878
7z,RandomSampling,0.009,0.0057915321082118165
7z,RandomSampling,0.01,-0.0014495148694271265
7z,RandomSampling,0.011,0.005816551672959358
7z,RandomSampling,0.012,0.01641437388873468
7z,RandomSampling,0.013,0.019474349216357156
7z,RandomSampling,0.014,0.014353287940759296
7z,RandomSampling,0.015,0.010575608854384133
7z,RandomSampling,0.016,0.007789769872812324
7z,RandomSampling,0.017,0.005735996365434648
7z,RandomSampling,0.018,0.0042223849399344315
7z,RandomSampling,0.019,0.0031072144032051607
7z,RandomSampling,0.02,0.0022858555545923753
7z,RandomSampling,0.021,0.001681087166507389
7z,RandomSampling,0.022,0.0012359340324894497
7z,RandomSampling,0.023,0.0009083718754513415
7z,RandomSampling,0.024,0.0006674137007711689
7z,RandomSampling,0.025,0.0004902180806736212
7z,RandomSampling,0.026,0.0003599531847900961
7z,RandomSampling,0.027,0.00026421953309152535
7z,RandomSampling,0.028,0.0001938856838609171
7z,RandomSampling,0.029,0.00014222901498206486
7z,RandomSampling,0.03,0.00010430185061760522
7z,RandomSampling,0.031,7.64639787144139e-05
7z,RandomSampling,0.032,5.603799005615695e-05
7z,RandomSampling,0.033,4.105524980491104e-05
7z,RandomSampling,0.034,3.0068727624121827e-05
7z,RandomSampling,0.035,2.201513315081005e-05
7z,RandomSampling,0.036,1.6113400614803375e-05
7z,RandomSampling,0.037,1.1789962519936914e-05
7z,RandomSampling,0.038,8.62376043331281e-06
7z,RandomSampling,0.039,6.3057926827925215e-06
7z,RandomSampling,0.04,4.609365478858152e-06
7z,RandomSampling,0.041,3.3682223892217422e-06
7z,RandomSampling,0.042,2.4604708980247025e-06
7z,RandomSampling,0.043,1.7967732398593839e-06
7z,RandomSampling,0.044,1.3116729884465883e-06
7z,RandomSampling,0.045,9.5722679427368e-07
7z,RandomSampling,0.046,6.983301388263641e-07
7z,RandomSampling,0.047,5.092875882128922e-07
7z,RandomSampling,0.048,3.712970201297239e-07
7z,RandomSampling,0.049,2.706048637390879e-07
7z,RandomSampling,0.05,1.9715381804896737e-07
7z,RandomSampling,0.051,1.4359189948187634e-07
7z,RandomSampling,0.052,1.0454650978264368e-07
7z,RandomSampling,0.053,7.609282015597074e-08
7z,RandomSampling,0.054,5.5364586026840357e-08
7z,RandomSampling,0.055,4.026932609590972e-08
7z,RandomSampling,0.056,2.927994680046453e-08
7z,RandomSampling,0.057,2.1282346662765406e-08
7z,RandomSampling,0.058,1.546399641672025e-08
7z,RandomSampling,0.059,1.1232505814362526e-08
7z,RandomSampling,0.06,8.156126107827788e-09
7z,RandomSampling,0.061,5.920293921768405e-09
7z,RandomSampling,0.062,4.295901856465889e-09
7z,RandomSampling,0.063,3.1161392355372186e-09
7z,RandomSampling,0.064,2.2595942894554355e-09
7z,RandomSampling,0.065,1.637928237485653e-09
7z,RandomSampling,0.066,1.1868880323007147e-09
7z,RandomSampling,0.067,8.597551559574867e-10
7z,RandomSampling,0.068,6.225719939578767e-10
7z,RandomSampling,0.069,4.506651718472199e-10
7z,RandomSampling,0.07,3.2611258138359744e-10
7z,RandomSampling,0.071,2.3590107645077296e-10
7z,RandomSampling,0.072,1.7058499057753806e-10
7z,RandomSampling,0.073,1.233104729436718e-10
7z,RandomSampling,0.074,8.910605586720521e-11
7z,RandomSampling,0.075,6.436673416487793e-11
7z,RandomSampling,0.076,4.6479708970537104e-11
7z,RandomSampling,0.077,3.355149491568454e-11
7z,RandomSampling,0.078,2.421074452030325e-11
7z,RandomSampling,0.079,1.7464252266563562e-11
7z,RandomSampling,0.08,1.2593148746020688e-11
7z,RandomSampling,0.081,9.077516516242667e-12
7z,RandomSampling,0.082,6.540989971881572e-12
7z,RandomSampling,0.083,4.711564471904239e-12
7z,RandomSampling,0.084,3.3926195186495534e-12
