Case Study,Sampling Strategy,Robustness,Confidence Difference
7z,solverBased,0.0,0.0
7z,solverBased,0.001,-0.21190173942198887
7z,solverBased,0.002,-0.37976915145169216
7z,solverBased,0.003,-0.4956422658895719
7z,solverBased,0.004,-0.5100787381513464
7z,solverBased,0.005,-0.5408332470005117
7z,solverBased,0.006,-0.5031331331631784
7z,solverBased,0.007,-0.49532769501946816
7z,solverBased,0.008,-0.5019921677905597
7z,solverBased,0.009,-0.5056321637768457
7z,solverBased,0.01,-0.497619040801602
7z,solverBased,0.011,-0.49870290659884553
7z,solverBased,0.012,-0.4992938065304313
7z,solverBased,0.013,-0.49961575453150897
7z,solverBased,0.014,-0.4997910579363992
7z,solverBased,0.015,-0.49988645329681125
7z,solverBased,0.016,-0.4999383328102933
7z,solverBased,0.017,-0.4999665293445531
7z,solverBased,0.018,-0.4999818446694695
7z,solverBased,0.019,-0.4999901582249261
7z,solverBased,0.02,-0.49999466822896277
7z,solverBased,0.021,-0.49999711332578
7z,solverBased,0.022,-0.4999984381053858
7z,solverBased,0.023,-0.4999991554355536
7z,solverBased,0.024,-0.4999995436054836
7z,solverBased,0.025,-0.4999997535243419
7z,solverBased,0.026,-0.4999998669750563
7z,solverBased,0.027,-0.4999999282508102
7z,solverBased,0.028,-0.4999999613254543
7z,solverBased,0.029,-0.4999999791667429
7z,solverBased,0.03,-0.4999999887846639
7z,solverBased,0.031,-0.49999999396621253
7z,solverBased,0.032,-0.49999999675593354
7z,solverBased,0.033,-0.49999999825694563
7z,solverBased,0.034,-0.47999999906404933
7z,solverBased,0.035,-0.4799999994977553
7z,solverBased,0.036,-0.4699999997306621
7z,solverBased,0.037,-0.469999999855656
7z,solverBased,0.038,-0.46999999992269303
7z,solverBased,0.039,-0.4599999999586233
7z,solverBased,0.04,-0.45999999997786845
7z,solverBased,0.041,-0.45999999998817
7z,solverBased,0.042,-0.4599999999936807
7z,solverBased,0.043,-0.45999999999662655
