Case Study,Sampling Strategy,Robustness,Confidence Difference
BerkeleyDBC,RandomSampling,0.0,0.0
BerkeleyDBC,RandomSampling,0.001,0.11370369886131687
BerkeleyDBC,RandomSampling,0.002,0.1635466605784427
BerkeleyDBC,RandomSampling,0.003,0.13207472937757947
BerkeleyDBC,RandomSampling,0.004,0.15785426119672386
BerkeleyDBC,RandomSampling,0.005,0.12017063783144222
BerkeleyDBC,RandomSampling,0.006,0.08261060122001729
BerkeleyDBC,RandomSampling,0.007,0.06009853270201604
BerkeleyDBC,RandomSampling,0.008,0.04872378662974741
BerkeleyDBC,RandomSampling,0.009,0.035488501805181594
BerkeleyDBC,RandomSampling,0.01,0.028348464928552697
BerkeleyDBC,RandomSampling,0.011,0.02571554157194933
BerkeleyDBC,RandomSampling,0.012,0.016313363787724633
BerkeleyDBC,RandomSampling,0.013,0.009373339115347101
BerkeleyDBC,RandomSampling,0.014,0.004252277839749241
BerkeleyDBC,RandomSampling,0.015,0.0004745987533740781
BerkeleyDBC,RandomSampling,0.016,-0.0023112402281977307
BerkeleyDBC,RandomSampling,0.017,0.005735996365434648
BerkeleyDBC,RandomSampling,0.018,0.0042223849399344315
BerkeleyDBC,RandomSampling,0.019,0.0031072144032051607
BerkeleyDBC,RandomSampling,0.02,0.0022858555545923753
BerkeleyDBC,RandomSampling,0.021,0.001681087166507389
BerkeleyDBC,RandomSampling,0.022,0.0012359340324894497
BerkeleyDBC,RandomSampling,0.023,0.0009083718754513415
BerkeleyDBC,RandomSampling,0.024,0.0006674137007711689
BerkeleyDBC,RandomSampling,0.025,0.0004902180806736212
BerkeleyDBC,RandomSampling,0.026,0.0003599531847900961
BerkeleyDBC,RandomSampling,0.027,0.00026421953309152535
BerkeleyDBC,RandomSampling,0.028,0.0001938856838609171
BerkeleyDBC,RandomSampling,0.029,0.00014222901498206486
BerkeleyDBC,RandomSampling,0.03,0.00010430185061760522
BerkeleyDBC,RandomSampling,0.031,7.64639787144139e-05
BerkeleyDBC,RandomSampling,0.032,5.603799005615695e-05
BerkeleyDBC,RandomSampling,0.033,4.105524980491104e-05
BerkeleyDBC,RandomSampling,0.034,3.0068727624121827e-05
BerkeleyDBC,RandomSampling,0.035,2.201513315081005e-05
BerkeleyDBC,RandomSampling,0.036,1.6113400614803375e-05
BerkeleyDBC,RandomSampling,0.037,1.1789962519936914e-05
BerkeleyDBC,RandomSampling,0.038,8.62376043331281e-06
BerkeleyDBC,RandomSampling,0.039,6.3057926827925215e-06
BerkeleyDBC,RandomSampling,0.04,4.609365478858152e-06
BerkeleyDBC,RandomSampling,0.041,3.3682223892217422e-06
BerkeleyDBC,RandomSampling,0.042,2.4604708980247025e-06
BerkeleyDBC,RandomSampling,0.043,1.7967732398593839e-06
BerkeleyDBC,RandomSampling,0.044,1.3116729884465883e-06
BerkeleyDBC,RandomSampling,0.045,9.5722679427368e-07
