Case Study,Sampling Strategy,Robustness,Confidence Difference
BerkeleyDBC,RandomSampling,0.0,0.0
BerkeleyDBC,RandomSampling,0.001,0.026604449408075714
BerkeleyDBC,RandomSampling,0.002,0.021850920968618237
BerkeleyDBC,RandomSampling,0.003,0.01494723844530843
BerkeleyDBC,RandomSampling,0.004,0.02517315373204254
BerkeleyDBC,RandomSampling,0.005,-0.01812612157195226
BerkeleyDBC,RandomSampling,0.006,0.0044541914791638715
BerkeleyDBC,RandomSampling,0.007,-0.037626927915496766
BerkeleyDBC,RandomSampling,0.008,-0.04486118849680687
BerkeleyDBC,RandomSampling,0.009,0.002304561448013609
BerkeleyDBC,RandomSampling,0.01,-0.026535719545730863
BerkeleyDBC,RandomSampling,0.011,-0.0017509570068022784
BerkeleyDBC,RandomSampling,0.012,-0.023676320812889617
BerkeleyDBC,RandomSampling,0.013,-0.032616284196595124
BerkeleyDBC,RandomSampling,0.014,-0.03884740822036237
BerkeleyDBC,RandomSampling,0.015,-0.012620876116996249
BerkeleyDBC,RandomSampling,0.016,-0.024164799745849508
BerkeleyDBC,RandomSampling,0.017,-0.02368631845515401
BerkeleyDBC,RandomSampling,0.018,-0.011373508852237868
BerkeleyDBC,RandomSampling,0.019,-0.007397122350729757
BerkeleyDBC,RandomSampling,0.02,0.008087834126148441
BerkeleyDBC,RandomSampling,0.021,0.004940660266827379
BerkeleyDBC,RandomSampling,0.022,0.0030336545385015734
BerkeleyDBC,RandomSampling,0.023,0.0022509247534374666
BerkeleyDBC,RandomSampling,0.024,0.0024873064205446216
BerkeleyDBC,RandomSampling,0.025,-0.006352620789657926
BerkeleyDBC,RandomSampling,0.026,-0.004355427279246982
BerkeleyDBC,RandomSampling,0.027,-0.011599646485130122
BerkeleyDBC,RandomSampling,0.028,-0.00815651388344707
BerkeleyDBC,RandomSampling,0.029,-0.014090638698550206
BerkeleyDBC,RandomSampling,0.03,-0.009460614384732113
BerkeleyDBC,RandomSampling,0.031,-0.014319573407103992
BerkeleyDBC,RandomSampling,0.032,-0.0187156913541483
BerkeleyDBC,RandomSampling,0.033,-0.002692644964275015
BerkeleyDBC,RandomSampling,0.034,-0.0062900282384001915
BerkeleyDBC,RandomSampling,0.035,-0.009543730436615161
BerkeleyDBC,RandomSampling,0.036,-0.012486279416255242
BerkeleyDBC,RandomSampling,0.037,-0.015147153458179963
BerkeleyDBC,RandomSampling,0.038,-0.017553064445187783
