Sample Set Size,Epsilon Value,1 - Beta
15,0.0,0.0
15,0.0001,0.00159880055981787
15,0.0002,0.0031952044770890975
15,0.0003,0.004789215105268085
15,0.0004,0.006380835793451944
15,0.0005,0.007970069886385489
15,0.0006,0.00955692072446801
15,0.0007,0.011141391643751719
15,0.0008,0.012723485975957627
15,0.0009,0.01430320704847321
15,0.001,0.015880558184360072
15,0.0011,0.017455542702358384
15,0.0012,0.01902816391689277
15,0.0013,0.02059842513807697
15,0.0014,0.022166329671719276
15,0.0015,0.023731880819327644
15,0.0016,0.025295081878116465
15,0.0017,0.02685593614100512
15,0.0018,0.028414446896633083
15,0.0019,0.02997061742935847
15,0.002,0.03152445101926493
15,0.0021,0.03307595094216664
15,0.0022,0.03462512046961319
15,0.0023,0.036171962868895347
15,0.0024,0.03771648140304962
15,0.0025,0.03925867933086358
15,0.0026,0.04079855990688264
15,0.0027,0.04233612638140827
15,0.0028,0.04387138200051366
15,0.0029,0.04540433000604149
15,0.003,0.046934973635611166
15,0.0031,0.048463316122623445
15,0.0032,0.049989360696265916
15,0.0033,0.051513110581517974
15,0.0034,0.05303456899915571
15,0.0035,0.05455373916575723
15,0.0036,0.056070624293708904
15,0.0037,0.057585227591204435
15,0.0038,0.05909755226225932
15,0.0039,0.06060760150670941
15,0.004,0.06211537852021787
15,0.0041,0.06362088649427966
15,0.0042,0.06512412861622707
15,0.0043,0.06662510806923438
15,0.0044,0.06812382803232298
15,0.0045,0.06962029168036654
15,0.0046,0.07111450218409732
15,0.0047,0.07260646271010507
15,0.0048,0.07409617642085109
15,0.0049,0.07558364647466775
15,0.005,0.07706887602576384
15,0.0051,0.07855186822423055
15,0.0052,0.08003262621604612
15,0.0053,0.08151115314308044
15,0.0054,0.08298745214310044
15,0.0055,0.0844615263497751
15,0.0056,0.0859333788926816
15,0.0057,0.08740301289730379
15,0.0058,0.08887043148504747
15,0.0059,0.09033563777323816
15,0.006,0.09179863487512785
15,0.0061,0.0932594258999
15,0.0062,0.09471801395267432
15,0.0063,0.096174402134512
15,0.0064,0.09762859354242004
15,0.0065,0.09908059126935664
15,0.0066,0.1005303984042375
15,0.0067,0.10197801803193407
15,0.0068,0.1034234532332885
15,0.0069,0.10486670708511181
15,0.007,0.10630778266019048
15,0.0071,0.10774668302729118
15,0.0072,0.10918341125116549
15,0.0073,0.11061797039255539
15,0.0074,0.1120503635081973
15,0.0075,0.11348059365082741
15,0.0076,0.11490866386918797
15,0.0077,0.11633457720802565
15,0.0078,0.11775833670810631
15,0.0079,0.1191799454062128
15,0.008,0.12059940633515198
15,0.0081,0.12201672252375917
15,0.0082,0.12343189699690293
15,0.0083,0.12484493277549036
15,0.0084,0.12625583287647102
15,0.0085,0.12766460031284244
15,0.0086,0.1290712380936564
15,0.0087,0.13047574922401695
15,0.0088,0.13187813670509496
15,0.0089,0.1332784035341268
15,0.009,0.13467655270442014
15,0.0091,0.13607258720535909
15,0.0092,0.13746651002240884
15,0.0093,0.1388583241371203
15,0.0094,0.14024803252713514
15,0.0095,0.14163563816619007
15,0.0096,0.1430211440241237
15,0.0097,0.14440455306687439
15,0.0098,0.14578586825649476
15,0.0099,0.14716509255115007
15,0.01,0.14854222890512447
15,0.0101,0.14991728026882556
15,0.0102,0.15129024958878934
15,0.0103,0.1526611398076846
15,0.0104,0.15402995386431795
15,0.0105,0.15539669469363837
15,0.0106,0.15676136522674322
15,0.0107,0.15812396839087683
15,0.0108,0.15948450710944484
15,0.0109,0.16084298430201205
15,0.011,0.1621994028843089
15,0.0111,0.16355376576823621
15,0.0112,0.1649060758618699
15,0.0113,0.1662563360694651
15,0.0114,0.1676045492914615
15,0.0115,0.1689507184244875
15,0.0116,0.17029484636136638
15,0.0117,0.17163693599111518
15,0.0118,0.17297699019895785
15,0.0119,0.17431501186632448
15,0.012,0.17565100387085686
15,0.0121,0.17698496908641326
15,0.0122,0.1783169103830733
15,0.0123,0.17964683062714182
15,0.0124,0.1809747326811545
15,0.0125,0.18230061940388131
15,0.0126,0.18362449365033195
15,0.0127,0.18494635827176165
15,0.0128,0.1862662161156694
15,0.0129,0.187584070025812
15,0.013,0.18889992284220247
15,0.0131,0.19021377740111578
15,0.0132,0.1915256365350937
15,0.0133,0.1928355030729495
15,0.0134,0.19414337983977192
15,0.0135,0.19544926965693044
15,0.0136,0.1967531753420788
15,0.0137,0.19805509970916224
15,0.0138,0.1993550455684151
15,0.0139,0.2006530157263745
15,0.014,0.20194901298587897
15,0.0141,0.20324304014607475
15,0.0142,0.2045351000024196
15,0.0143,0.20582519534668764
15,0.0144,0.2071133289669741
15,0.0145,0.20839950364769932
15,0.0146,0.2096837221696135
15,0.0147,0.21096598730980254
15,0.0148,0.21224630184168658
15,0.0149,0.2135246685350335
15,0.015,0.21480109015595727
15,0.0151,0.21607556946692374
15,0.0152,0.21734810922675563
15,0.0153,0.21861871219063633
15,0.0154,0.21988738111011474
15,0.0155,0.22115411873310942
15,0.0156,0.22241892780391337
15,0.0157,0.2236818110631994
15,0.0158,0.2249427712480193
15,0.0159,0.2262018110918167
15,0.016,0.22745893332442524
15,0.0161,0.2287141406720753
15,0.0162,0.22996743585739754
15,0.0163,0.23121882159942797
15,0.0164,0.23246830061361168
15,0.0165,0.23371587561180784
15,0.0166,0.23496154930229374
15,0.0167,0.2362053243897705
15,0.0168,0.23744720357536198
15,0.0169,0.2386871895566275
15,0.017,0.23992528502756072
15,0.0171,0.241161492678595
15,0.0172,0.24239581519660836
15,0.0173,0.24362825526492704
15,0.0174,0.24485881556333045
15,0.0175,0.24608749876805547
15,0.0176,0.2473143075518004
15,0.0177,0.24853924458373078
15,0.0178,0.24976231252947856
15,0.0179,0.25098351405115416
15,0.018,0.2522028518073456
15,0.0181,0.253420328453124
15,0.0182,0.25463594664004796
15,0.0183,0.255849709016168
15,0.0184,0.25706161822603035
15,0.0185,0.25827167691068176
15,0.0186,0.25947988770767383
15,0.0187,0.26068625325106776
15,0.0188,0.2618907761714344
15,0.0189,0.2630934590958658
15,0.019,0.2642943046479743
15,0.0191,0.2654933154478982
15,0.0192,0.26669049411230605
15,0.0193,0.26788584325440046
15,0.0194,0.2690793654839231
15,0.0195,0.270271063407158
15,0.0196,0.27146093962693685
15,0.0197,0.27264899674264353
15,0.0198,0.27383523735021376
15,0.0199,0.2750196640421467
15,0.02,0.2762022794075044
15,0.0201,0.27738308603191686
15,0.0202,0.2785620864975866
15,0.0203,0.2797392833832927
15,0.0204,0.28091467926439484
15,0.0205,0.28208827671283765
15,0.0206,0.28326007829715494
15,0.0207,0.28443008658247504
15,0.0208,0.28559830413052
15,0.0209,0.2867647334996172
15,0.021,0.28792937724469847
15,0.0211,0.28909223791730576
15,0.0212,0.29025331806559507
15,0.0213,0.29141262023434045
15,0.0214,0.29257014696493866
15,0.0215,0.2937259007954127
15,0.0216,0.29487988426041634
15,0.0217,0.29603209989123946
15,0.0218,0.29718255021580686
15,0.0219,0.2983312377586904
15,0.022,0.2994781650411077
15,0.0221,0.3006233345809277
15,0.0222,0.3017667488926745
15,0.0223,0.3029084104875319
15,0.0224,0.3040483218733473
15,0.0225,0.30518648555463557
15,0.0226,0.3063229040325832
15,0.0227,0.30745757980505417
15,0.0228,0.3085905153665883
15,0.0229,0.30972171320841324
15,0.023,0.31085117581844346
15,0.0231,0.3119789056812854
15,0.0232,0.31310490527824175
