Case Study,Sampling Strategy,Sample Set Size,Area
7z,SRSSampling,10,-0.0203066666666661
7z,SRSSampling,20,-0.0069534545454501
7z,SRSSampling,30,-8.39999999850178e-05
7z,SRSSampling,40,0.002874190476226
7z,SRSSampling,50,0.0027687692308386
7z,SRSSampling,60,0.0029823655915178
7z,SRSSampling,70,0.0020588888890794
7z,SRSSampling,80,0.0022084552848372
7z,SRSSampling,90,0.0014988985511295
7z,SRSSampling,100,0.0006685882358496
7z,SRSSampling,110,-8.761904022527669e-06
7z,SRSSampling,120,-0.000658612020898
7z,SRSSampling,130,-0.0009635757563552
7z,SRSSampling,140,-0.0014377464773489
7z,SRSSampling,150,-0.0014583859630374
7z,SRSSampling,160,-0.0011651604915517
7z,SRSSampling,170,-0.0009753798422319
7z,SRSSampling,180,-0.0012541611689213
7z,SRSSampling,190,-0.0007149999961897
7z,SRSSampling,200,0.0001411617206157
7z,SRSSampling,210,9.16478038867606e-05
7z,SRSSampling,220,0.0004971711770862
7z,SRSSampling,230,0.0012990115010117
7z,SRSSampling,240,0.001444231412638
7z,SRSSampling,250,0.0013142539769337
7z,SRSSampling,260,0.0013681272362266
7z,SRSSampling,270,0.0013471372658358
7z,SRSSampling,280,0.001370765969641
7z,SRSSampling,290,0.0012786575477945
7z,SRSSampling,300,0.0013459249598106
