Case Study,Sampling Strategy,Sample Set Size,Area
7z,divDistBased,10,0.0264006666666672
7z,divDistBased,20,0.0213185454545498
7z,divDistBased,30,0.0139946666666816
7z,divDistBased,40,0.007774190476226
7z,divDistBased,50,0.0041854358975053
7z,divDistBased,60,0.0023930322581844
7z,divDistBased,70,0.000171555555746
7z,divDistBased,80,-0.0008675447151627
7z,divDistBased,90,-0.0020571014488704
7z,divDistBased,100,-0.0022594117641503
7z,divDistBased,110,-0.0029700952373558
7z,divDistBased,120,-0.0030259453542313
7z,divDistBased,130,-0.0028382424230219
7z,divDistBased,140,-0.0028244131440155
7z,divDistBased,150,-0.002697052629704
7z,divDistBased,160,-0.0028411604915517
7z,divDistBased,170,-0.0026073798422319
7z,divDistBased,180,-0.0027114945022547
7z,divDistBased,190,-0.002696333329523
7z,divDistBased,200,-0.0025921716127175
7z,divDistBased,210,-0.0022323521961132
7z,divDistBased,220,-0.0020774954895803
7z,divDistBased,230,-0.0018369884989882
7z,divDistBased,240,-0.0019597685873619
7z,divDistBased,250,-0.0020724126897329
7z,divDistBased,260,-0.0021398727637733
7z,divDistBased,270,-0.0020788627341641
7z,divDistBased,280,-0.0021159006970255
7z,divDistBased,290,-0.0021473424522054
7z,divDistBased,300,-0.0020274083735227
