Case Study,Sampling Strategy,Sample Set Size,Area
7z,random,10,-0.0129073333333327
7z,random,20,-0.0109067878787834
7z,random,30,-0.0017573333333183
7z,random,40,-0.0003284761904406
7z,random,50,0.0004654358975053
7z,random,60,-0.0010769677418155
7z,random,70,0.0001908888890794
7z,random,80,0.0004537886181705
7z,random,90,0.0009468985511295
7z,random,100,0.0009812549025162
7z,random,110,0.0010839047626441
7z,random,120,0.0007493879791019
7z,random,130,0.0008104242436447
7z,random,140,0.0007309201893177
7z,random,150,0.0004462807036292
7z,random,160,0.0003401728417815
7z,random,170,0.0002799534911013
7z,random,180,3.783883107861033e-05
7z,random,190,9.766667047696148e-05
7z,random,200,1.1617206157483049e-06
7z,random,210,0.0002176478038867
7z,random,220,9.250451041960924e-05
7z,random,230,3.701150101177851e-05
7z,random,240,-0.0001344352540286
7z,random,250,0.0001169206436004
7z,random,260,-3.187276377336106e-05
7z,random,270,7.847059916921785e-05
7z,random,280,-1.190069702557071e-05
7z,random,290,-0.0001200091188721
7z,random,300,-0.000216741706856
