Case Study,Sampling Strategy,Sample Set Size,Area
7z,solverBased,10,-0.6117439999999995
7z,solverBased,20,-0.5382974545454501
7z,solverBased,30,-0.0922033333333183
7z,solverBased,40,-0.061639809523774
7z,solverBased,50,-0.058583897435828
7z,solverBased,60,-0.0385323010751488
7z,solverBased,70,-0.0387031111109206
7z,solverBased,80,-0.0393782113818294
7z,solverBased,90,-0.0406844347822037
7z,solverBased,100,-0.0371174117641503
7z,solverBased,110,-0.0369514285706891
7z,solverBased,120,-0.037026612020898
7z,solverBased,130,-0.0374409090896886
7z,solverBased,140,-0.0363377464773489
7z,solverBased,150,-0.0361577192963707
7z,solverBased,160,-0.0353038271582184
7z,solverBased,170,-0.0336200465088986
7z,solverBased,180,-0.0337741611689213
7z,solverBased,190,-0.0335476666628563
7z,solverBased,200,-0.0332468382793842
7z,solverBased,210,-0.0320090188627799
7z,solverBased,220,-0.0318714954895804
7z,solverBased,230,-0.0313016551656548
7z,solverBased,240,-0.0310437685873619
7z,solverBased,250,-0.0303844126897329
7z,solverBased,260,-0.0301978727637733
7z,solverBased,270,-0.0303328627341641
7z,solverBased,280,-0.0304192340303589
7z,solverBased,290,-0.0305406757855387
7z,solverBased,300,-0.0304200750401893
