Case Study,Sampling Strategy,Sample Set Size,Area
BerkeleyDBC,SRSSampling,10,-0.0019119999999994
BerkeleyDBC,SRSSampling,20,0.0015225454545498
BerkeleyDBC,SRSSampling,30,0.0034180000000149
BerkeleyDBC,SRSSampling,40,0.0048868571428926
BerkeleyDBC,SRSSampling,50,0.0056834358975053
BerkeleyDBC,SRSSampling,60,0.0077123655915178
BerkeleyDBC,SRSSampling,70,0.006661555555746
BerkeleyDBC,SRSSampling,80,0.0077824552848372
BerkeleyDBC,SRSSampling,90,0.0080162318844629
BerkeleyDBC,SRSSampling,100,0.0071825882358496
BerkeleyDBC,SRSSampling,110,0.0064705714293108
BerkeleyDBC,SRSSampling,120,0.0065567213124353
BerkeleyDBC,SRSSampling,130,0.005953757576978
BerkeleyDBC,SRSSampling,140,0.0055715868559844
BerkeleyDBC,SRSSampling,150,0.0051082807036292
BerkeleyDBC,SRSSampling,160,0.0050381728417815
BerkeleyDBC,SRSSampling,170,0.0048232868244346
BerkeleyDBC,SRSSampling,180,0.0045038388310786
BerkeleyDBC,SRSSampling,190,0.0042290000038102
BerkeleyDBC,SRSSampling,200,0.004038495053949
BerkeleyDBC,SRSSampling,210,0.00385698113722
BerkeleyDBC,SRSSampling,220,0.0036445045104196
BerkeleyDBC,SRSSampling,230,0.0034503448343451
BerkeleyDBC,SRSSampling,240,0.003272231412638
BerkeleyDBC,SRSSampling,250,0.0031082539769337
BerkeleyDBC,SRSSampling,260,0.0029721272362266
BerkeleyDBC,SRSSampling,270,0.0028784705991692
BerkeleyDBC,SRSSampling,280,0.0028774326363077
BerkeleyDBC,SRSSampling,290,0.0027559908811278
BerkeleyDBC,SRSSampling,300,0.0026425916264772
