Case Study,Sampling Strategy,Sample Set Size,Area
BerkeleyDBC,divDistBased,10,-0.0115013333333327
BerkeleyDBC,divDistBased,20,-0.0266061212121167
BerkeleyDBC,divDistBased,30,-0.022991999999985
BerkeleyDBC,divDistBased,40,-0.0209978095237739
BerkeleyDBC,divDistBased,50,-0.0180672307691613
BerkeleyDBC,divDistBased,60,-0.0180416344084821
BerkeleyDBC,divDistBased,70,-0.0147571111109205
BerkeleyDBC,divDistBased,80,-0.011376878048496
BerkeleyDBC,divDistBased,90,-0.0078531014488704
BerkeleyDBC,divDistBased,100,-0.004846078430817
BerkeleyDBC,divDistBased,110,-0.0031414285706891
BerkeleyDBC,divDistBased,120,-0.0008552786875646
BerkeleyDBC,divDistBased,130,-0.0006109090896886
BerkeleyDBC,divDistBased,140,-0.0001150798106822
BerkeleyDBC,divDistBased,150,0.0004509473702959
BerkeleyDBC,divDistBased,160,0.0001535061751149
BerkeleyDBC,divDistBased,170,0.0001532868244346
BerkeleyDBC,divDistBased,180,-0.0001661611689213
BerkeleyDBC,divDistBased,190,-0.000284333329523
BerkeleyDBC,divDistBased,200,0.0001378283872824
BerkeleyDBC,divDistBased,210,-9.568552944657148e-05
BerkeleyDBC,divDistBased,220,-0.000300162156247
BerkeleyDBC,divDistBased,230,-0.0002649884989882
BerkeleyDBC,divDistBased,240,-0.0004431019206952
BerkeleyDBC,divDistBased,250,-0.0005517460230662
BerkeleyDBC,divDistBased,260,-0.0007032060971066
BerkeleyDBC,divDistBased,270,-0.0008435294008307
BerkeleyDBC,divDistBased,280,-0.0009739006970255
BerkeleyDBC,divDistBased,290,-0.0009700091188721
BerkeleyDBC,divDistBased,300,-0.0010834083735227
