Case Study,Sampling Strategy,Sample Set Size,Area
BerkeleyDBC,random,10,-0.0067933333333327
BerkeleyDBC,random,20,-0.0034967878787834
BerkeleyDBC,random,30,-0.001665999999985
BerkeleyDBC,random,40,-0.0024758095237739
BerkeleyDBC,random,50,-0.0031025641024946
BerkeleyDBC,random,60,-0.0022983010751488
BerkeleyDBC,random,70,-0.0032491111109205
BerkeleyDBC,random,80,-0.0033135447151627
BerkeleyDBC,random,90,-0.001673768115537
BerkeleyDBC,random,100,-0.0015674117641503
BerkeleyDBC,random,110,-0.0009174285706891
BerkeleyDBC,random,120,-0.000380612020898
BerkeleyDBC,random,130,0.0002024242436447
BerkeleyDBC,random,140,0.0001535868559844
BerkeleyDBC,random,150,0.0004276140369625
BerkeleyDBC,random,160,0.0006568395084482
BerkeleyDBC,random,170,0.0005552868244346
BerkeleyDBC,random,180,0.0004938388310786
BerkeleyDBC,random,190,0.0005023333371436
BerkeleyDBC,random,200,0.0003471617206157
BerkeleyDBC,random,210,0.00024898113722
BerkeleyDBC,random,220,0.0002131711770862
BerkeleyDBC,random,230,9.034483434511192e-05
BerkeleyDBC,random,240,6.23141263803395e-06
BerkeleyDBC,random,250,0.0001622539769337
BerkeleyDBC,random,260,0.0001314605695599
BerkeleyDBC,random,270,2.1803932502551225e-05
BerkeleyDBC,random,280,-5.4567363692237365e-05
BerkeleyDBC,random,290,-0.0001600091188721
BerkeleyDBC,random,300,-0.0001120750401893
