Case Study,Sampling Strategy,Sample Set Size,Area
BerkeleyDBC,solverBased,10,-0.3433919999999994
BerkeleyDBC,solverBased,20,-0.2976081212121168
BerkeleyDBC,solverBased,30,-0.1396086666666516
BerkeleyDBC,solverBased,40,-0.0749611428571073
BerkeleyDBC,solverBased,50,-0.0460565641024946
BerkeleyDBC,solverBased,60,-0.0438549677418155
BerkeleyDBC,solverBased,70,-0.0331684444442539
BerkeleyDBC,solverBased,80,-0.0218075447151627
BerkeleyDBC,solverBased,90,-0.016787768115537
BerkeleyDBC,solverBased,100,-0.0147994117641503
BerkeleyDBC,solverBased,110,-0.0132734285706892
BerkeleyDBC,solverBased,120,-0.0132352786875646
BerkeleyDBC,solverBased,130,-0.0136295757563552
BerkeleyDBC,solverBased,140,-0.0090104131440155
BerkeleyDBC,solverBased,150,-0.0088837192963707
BerkeleyDBC,solverBased,160,-0.0092898271582184
BerkeleyDBC,solverBased,170,-0.0089087131755653
BerkeleyDBC,solverBased,180,-0.0092121611689213
BerkeleyDBC,solverBased,190,-0.0077476666628563
BerkeleyDBC,solverBased,200,-0.0078181716127175
BerkeleyDBC,solverBased,210,-0.0071456855294465
BerkeleyDBC,solverBased,220,-0.0065828288229137
BerkeleyDBC,solverBased,230,-0.0067423218323215
BerkeleyDBC,solverBased,240,-0.0053657685873619
BerkeleyDBC,solverBased,250,-0.0055297460230662
BerkeleyDBC,solverBased,260,-0.0056812060971066
BerkeleyDBC,solverBased,270,-0.0051068627341641
BerkeleyDBC,solverBased,280,-0.0049872340303589
BerkeleyDBC,solverBased,290,-0.0045460091188721
BerkeleyDBC,solverBased,300,-0.004616741706856
