Case Study,Sampling Strategy,Sample Set Size,Area
Dune,divDistBased,10,0.0739273333333338
Dune,divDistBased,20,0.0369345454545498
Dune,divDistBased,30,0.0227300000000149
Dune,divDistBased,40,0.0163068571428926
Dune,divDistBased,50,0.0117927692308386
Dune,divDistBased,60,0.0088323655915178
Dune,divDistBased,70,0.006661555555746
Dune,divDistBased,80,0.0055384552848372
Dune,divDistBased,90,0.0045355652177962
Dune,divDistBased,100,0.0043019215691829
Dune,divDistBased,110,0.0036392380959774
Dune,divDistBased,120,0.0030767213124353
Dune,divDistBased,130,0.0030604242436447
Dune,divDistBased,140,0.0026489201893177
Dune,divDistBased,150,0.0022076140369625
Dune,divDistBased,160,0.0019921728417815
Dune,divDistBased,170,0.001766620157768
Dune,divDistBased,180,0.0015125054977452
Dune,divDistBased,190,0.0014216666704769
Dune,divDistBased,200,0.0013411617206157
Dune,divDistBased,210,0.0011856478038867
Dune,divDistBased,220,0.0010598378437529
Dune,divDistBased,230,0.0010270115010117
Dune,divDistBased,240,0.000936231412638
Dune,divDistBased,250,0.0007762539769337
Dune,divDistBased,260,0.0006247939028933
Dune,divDistBased,270,0.0005751372658358
Dune,divDistBased,280,0.000484765969641
Dune,divDistBased,290,0.0003673242144611
Dune,divDistBased,300,0.0003152582931439
