Case Study,Sampling Strategy,Sample Set Size,Area
Hipacc,SRSSampling,10,-0.0155226666666661
Hipacc,SRSSampling,20,-0.0019821212121167
Hipacc,SRSSampling,30,0.0075240000000149
Hipacc,SRSSampling,40,0.0091975238095593
Hipacc,SRSSampling,50,0.0094307692308386
Hipacc,SRSSampling,60,0.0093470322581844
Hipacc,SRSSampling,70,0.0078182222224127
Hipacc,SRSSampling,80,0.0072824552848372
Hipacc,SRSSampling,90,0.0072955652177962
Hipacc,SRSSampling,100,0.0065699215691829
Hipacc,SRSSampling,110,0.0063059047626441
Hipacc,SRSSampling,120,0.0058927213124353
Hipacc,SRSSampling,130,0.0056210909103113
Hipacc,SRSSampling,140,0.005288253522651
Hipacc,SRSSampling,150,0.0051322807036292
Hipacc,SRSSampling,160,0.0048435061751149
Hipacc,SRSSampling,170,0.004518620157768
Hipacc,SRSSampling,180,0.0042851721644119
Hipacc,SRSSampling,190,0.0040003333371436
Hipacc,SRSSampling,200,0.0037598283872824
Hipacc,SRSSampling,210,0.00363498113722
Hipacc,SRSSampling,220,0.0034225045104196
Hipacc,SRSSampling,230,0.0032830115010117
Hipacc,SRSSampling,240,0.0031048980793047
Hipacc,SRSSampling,250,0.0030109206436004
Hipacc,SRSSampling,260,0.0028787939028933
Hipacc,SRSSampling,270,0.0027644705991692
Hipacc,SRSSampling,280,0.0026354326363077
Hipacc,SRSSampling,290,0.0025619908811278
Hipacc,SRSSampling,300,0.0024485916264772
