Case Study,Sampling Strategy,Sample Set Size,Area
Hipacc,divDistBased,10,0.0788500000000005
Hipacc,divDistBased,20,0.0423945454545498
Hipacc,divDistBased,30,0.0292433333333483
Hipacc,divDistBased,40,0.0222835238095593
Hipacc,divDistBased,50,0.0179734358975053
Hipacc,divDistBased,60,0.0148716989248511
Hipacc,divDistBased,70,0.0126482222224127
Hipacc,divDistBased,80,0.0109791219515039
Hipacc,divDistBased,90,0.0096535652177962
Hipacc,divDistBased,100,0.0085879215691829
Hipacc,divDistBased,110,0.0077339047626441
Hipacc,divDistBased,120,0.0072320546457686
Hipacc,divDistBased,130,0.0066244242436447
Hipacc,divDistBased,140,0.006164253522651
Hipacc,divDistBased,150,0.0057089473702959
Hipacc,divDistBased,160,0.0053195061751149
Hipacc,divDistBased,170,0.0049919534911013
Hipacc,divDistBased,180,0.0047178388310786
Hipacc,divDistBased,190,0.0044316666704769
Hipacc,divDistBased,200,0.004186495053949
Hipacc,divDistBased,210,0.00397898113722
Hipacc,divDistBased,220,0.0038038378437529
Hipacc,divDistBased,230,0.0036170115010117
Hipacc,divDistBased,240,0.003448231412638
Hipacc,divDistBased,250,0.0032942539769337
Hipacc,divDistBased,260,0.0031921272362266
Hipacc,divDistBased,270,0.0030711372658358
Hipacc,divDistBased,280,0.0029480993029744
Hipacc,divDistBased,290,0.0028513242144611
Hipacc,divDistBased,300,0.0027379249598106
