Case Study,Sampling Strategy,Sample Set Size,Area
Hipacc,random,10,-5.733333333278728e-05
Hipacc,random,20,-0.0025634545454501
Hipacc,random,30,-0.001897999999985
Hipacc,random,40,-0.0030038095237739
Hipacc,random,50,-0.003247897435828
Hipacc,random,60,-0.0022949677418155
Hipacc,random,70,-0.0018904444442539
Hipacc,random,80,-0.0001655447151627
Hipacc,random,90,-0.000603768115537
Hipacc,random,100,-0.0003367450974837
Hipacc,random,110,-0.0003040952373558
Hipacc,random,120,-0.0008632786875646
Hipacc,random,130,-0.0008715757563552
Hipacc,random,140,-0.0012357464773489
Hipacc,random,150,-0.000611052629704
Hipacc,random,160,-0.0007551604915517
Hipacc,random,170,-0.0007127131755653
Hipacc,random,180,-0.000724827835588
Hipacc,random,190,-0.000958333329523
Hipacc,random,200,-0.0007108382793842
Hipacc,random,210,-0.0005423521961132
Hipacc,random,220,-0.0007488288229137
Hipacc,random,230,-0.0008376551656548
Hipacc,random,240,-0.0008857685873619
Hipacc,random,250,-0.0008884126897329
Hipacc,random,260,-0.00084053943044
Hipacc,random,270,-0.0006421960674974
Hipacc,random,280,-0.0005799006970255
Hipacc,random,290,-0.0005886757855388
Hipacc,random,300,-0.0006454083735227
