Case Study,Sampling Strategy,Sample Set Size,Area
Hipacc,solverBased,10,0.0766326666666672
Hipacc,solverBased,20,0.0393418787878832
Hipacc,solverBased,30,0.0255980000000149
Hipacc,solverBased,40,0.0184848571428926
Hipacc,solverBased,50,0.0142054358975053
Hipacc,solverBased,60,0.0112856989248511
Hipacc,solverBased,70,0.009309555555746
Hipacc,solverBased,80,0.0076651219515039
Hipacc,solverBased,90,0.0066915652177962
Hipacc,solverBased,100,0.0057005882358496
Hipacc,solverBased,110,0.0050585714293108
Hipacc,solverBased,120,0.0046440546457686
Hipacc,solverBased,130,0.0042384242436447
Hipacc,solverBased,140,0.0040715868559844
Hipacc,solverBased,150,0.0036176140369625
Hipacc,solverBased,160,0.0033368395084482
Hipacc,solverBased,170,0.0030612868244346
Hipacc,solverBased,180,0.0028025054977452
Hipacc,solverBased,190,0.0026023333371436
Hipacc,solverBased,200,0.0025078283872824
Hipacc,solverBased,210,0.00236498113722
Hipacc,solverBased,220,0.0021705045104196
Hipacc,solverBased,230,0.0020143448343451
Hipacc,solverBased,240,0.001844231412638
Hipacc,solverBased,250,0.001681587310267
Hipacc,solverBased,260,0.0016061272362266
Hipacc,solverBased,270,0.0014718039325025
Hipacc,solverBased,280,0.001404765969641
Hipacc,solverBased,290,0.0012973242144611
Hipacc,solverBased,300,0.0011952582931439
