Case Study,Sampling Strategy,Sample Set Size,Area
JavaGC,divDistBased,10,-0.0561733333333327
JavaGC,divDistBased,20,-0.0638841212121167
JavaGC,divDistBased,30,-0.063207999999985
JavaGC,divDistBased,40,-0.0524251428571073
JavaGC,divDistBased,50,-0.0475525641024946
JavaGC,divDistBased,60,-0.0263163010751488
JavaGC,divDistBased,70,-0.0130844444442539
JavaGC,divDistBased,80,-0.008420878048496
JavaGC,divDistBased,90,-0.0024271014488704
JavaGC,divDistBased,100,-0.000626078430817
JavaGC,divDistBased,110,3.72380959774703e-05
JavaGC,divDistBased,120,0.0006387213124353
JavaGC,divDistBased,130,0.000777757576978
JavaGC,divDistBased,140,0.0006049201893177
JavaGC,divDistBased,150,0.0003582807036292
JavaGC,divDistBased,160,0.0008415061751149
JavaGC,divDistBased,170,0.0009652868244346
JavaGC,divDistBased,180,0.0008871721644119
JavaGC,divDistBased,190,0.0009883333371436
JavaGC,divDistBased,200,0.0008538283872824
JavaGC,divDistBased,210,0.0007116478038867
JavaGC,divDistBased,220,0.0005965045104196
JavaGC,divDistBased,230,0.0004683448343451
JavaGC,divDistBased,240,0.0003075647459713
JavaGC,divDistBased,250,0.000363587310267
JavaGC,divDistBased,260,0.0002481272362266
JavaGC,divDistBased,270,0.0001671372658358
JavaGC,divDistBased,280,0.0001360993029744
JavaGC,divDistBased,290,0.0002079908811278
JavaGC,divDistBased,300,0.0001079249598106
