Case Study,Sampling Strategy,Sample Set Size,Area
JavaGC,random,10,-0.0134446666666661
JavaGC,random,20,0.0004092121212165
JavaGC,random,30,0.0034473333333483
JavaGC,random,40,0.0035008571428926
JavaGC,random,50,0.0030907692308386
JavaGC,random,60,0.0023410322581844
JavaGC,random,70,0.0018928888890794
JavaGC,random,80,0.0017437886181705
JavaGC,random,90,0.0015915652177962
JavaGC,random,100,0.0011532549025162
JavaGC,random,110,0.0008579047626441
JavaGC,random,120,0.0003440546457686
JavaGC,random,130,-2.242423021961365e-06
JavaGC,random,140,-0.0002224131440155
JavaGC,random,150,-0.0001817192963707
JavaGC,random,160,-0.0004558271582184
JavaGC,random,170,-0.0001727131755653
JavaGC,random,180,8.183883107861012e-05
JavaGC,random,190,1.1666670476961164e-05
JavaGC,random,200,8.849505394908147e-05
JavaGC,random,210,-3.635219611323803e-05
JavaGC,random,220,0.0001471711770862
JavaGC,random,230,3.767816767844517e-05
JavaGC,random,240,-0.0001071019206952
JavaGC,random,250,4.958731026709026e-05
JavaGC,random,260,0.0001894605695599
JavaGC,random,270,0.0002144705991692
JavaGC,random,280,0.0002440993029744
JavaGC,random,290,0.0001706575477945
JavaGC,random,300,0.0001245916264772
