Case Study,Sampling Strategy,Sample Set Size,Area
JavaGC,solverBased,10,-0.2746133333333328
JavaGC,solverBased,20,-0.2947354545454501
JavaGC,solverBased,30,-0.194119999999985
JavaGC,solverBased,40,-0.1629404761904406
JavaGC,solverBased,50,-0.1634325641024946
JavaGC,solverBased,60,-0.0916343010751488
JavaGC,solverBased,70,-0.0785724444442539
JavaGC,solverBased,80,-0.0672482113818294
JavaGC,solverBased,90,-0.0667384347822037
JavaGC,solverBased,100,-0.0645454117641503
JavaGC,solverBased,110,-0.0618507619040225
JavaGC,solverBased,120,-0.055208612020898
JavaGC,solverBased,130,-0.0513102424230219
JavaGC,solverBased,140,-0.0440844131440155
JavaGC,solverBased,150,-0.0423823859630374
JavaGC,solverBased,160,-0.0404898271582184
JavaGC,solverBased,170,-0.0370247131755653
JavaGC,solverBased,180,-0.035826827835588
JavaGC,solverBased,190,-0.0350109999961897
JavaGC,solverBased,200,-0.0303575049460509
JavaGC,solverBased,210,-0.0262663521961132
JavaGC,solverBased,220,-0.024696162156247
JavaGC,solverBased,230,-0.0242396551656548
JavaGC,solverBased,240,-0.0242224352540286
JavaGC,solverBased,250,-0.0240917460230662
JavaGC,solverBased,260,-0.0239952060971067
JavaGC,solverBased,270,-0.0234148627341641
JavaGC,solverBased,280,-0.0233919006970255
JavaGC,solverBased,290,-0.0222766757855388
JavaGC,solverBased,300,-0.0207454083735227
