Case Study,Sampling Strategy,Sample Set Size,Area
LLVM,SRSSampling,10,0.0016886666666672
LLVM,SRSSampling,20,-5.878787878344666e-05
LLVM,SRSSampling,30,0.0060540000000149
LLVM,SRSSampling,40,0.0079888571428926
LLVM,SRSSampling,50,0.0082461025641719
LLVM,SRSSampling,60,0.0077530322581844
LLVM,SRSSampling,70,0.0072048888890794
LLVM,SRSSampling,80,0.0062704552848372
LLVM,SRSSampling,90,0.0057262318844629
LLVM,SRSSampling,100,0.0049045882358496
LLVM,SRSSampling,110,0.0052512380959774
LLVM,SRSSampling,120,0.0045193879791019
LLVM,SRSSampling,130,0.004239757576978
LLVM,SRSSampling,140,0.003930253522651
LLVM,SRSSampling,150,0.0040049473702959
LLVM,SRSSampling,160,0.0036861728417815
LLVM,SRSSampling,170,0.003426620157768
LLVM,SRSSampling,180,0.0032331721644119
LLVM,SRSSampling,190,0.0030450000038102
LLVM,SRSSampling,200,0.002844495053949
LLVM,SRSSampling,210,0.00268898113722
LLVM,SRSSampling,220,0.0025351711770862
LLVM,SRSSampling,230,0.0023510115010117
LLVM,SRSSampling,240,0.0022008980793047
LLVM,SRSSampling,250,0.002055587310267
LLVM,SRSSampling,260,0.0019907939028933
LLVM,SRSSampling,270,0.0018978039325025
LLVM,SRSSampling,280,0.0017674326363077
LLVM,SRSSampling,290,0.0017139908811278
LLVM,SRSSampling,300,0.0016105916264772
