Case Study,Sampling Strategy,Sample Set Size,Area
Polly,divDistBased,10,-0.0663033333333327
Polly,divDistBased,20,-0.0565327878787834
Polly,divDistBased,30,-0.055249999999985
Polly,divDistBased,40,-0.0470604761904406
Polly,divDistBased,50,-0.0345945641024946
Polly,divDistBased,60,-0.0223036344084821
Polly,divDistBased,70,-0.0194164444442539
Polly,divDistBased,80,-0.009052878048496
Polly,divDistBased,90,-0.0064571014488704
Polly,divDistBased,100,-0.0063127450974837
Polly,divDistBased,110,-0.0048620952373558
Polly,divDistBased,120,-0.003338612020898
Polly,divDistBased,130,-0.0035202424230219
Polly,divDistBased,140,-0.0032817464773489
Polly,divDistBased,150,-0.002669052629704
Polly,divDistBased,160,-0.0025251604915517
Polly,divDistBased,170,-0.0027500465088986
Polly,divDistBased,180,-0.002406827835588
Polly,divDistBased,190,-0.002464333329523
Polly,divDistBased,200,-0.0022328382793842
Polly,divDistBased,210,-0.0016323521961132
Polly,divDistBased,220,-0.0016054954895803
Polly,divDistBased,230,-0.0011803218323215
Polly,divDistBased,240,-0.0007024352540286
Polly,divDistBased,250,-0.0004777460230662
Polly,divDistBased,260,-0.0003158727637733
Polly,divDistBased,270,-6.819606749744886e-05
Polly,divDistBased,280,-0.0001505673636922
Polly,divDistBased,290,5.332421446119811e-05
Polly,divDistBased,300,-5.007504018937949e-05
