Case Study,Sampling Strategy,Sample Set Size,Area
Polly,random,10,0.0063966666666672
Polly,random,20,0.0040538787878832
Polly,random,30,0.0032033333333483
Polly,random,40,0.003344190476226
Polly,random,50,0.0034207692308386
Polly,random,60,0.0020256989248511
Polly,random,70,0.002099555555746
Polly,random,80,0.0007917886181705
Polly,random,90,0.0005908985511295
Polly,random,100,0.0003592549025162
Polly,random,110,-0.0004340952373558
Polly,random,120,-0.000730612020898
Polly,random,130,-0.0009275757563552
Polly,random,140,-0.0006897464773489
Polly,random,150,-0.000715052629704
Polly,random,160,-0.0005398271582184
Polly,random,170,-0.0005933798422319
Polly,random,180,-0.0003054945022547
Polly,random,190,-0.0004709999961897
Polly,random,200,-0.0002508382793842
Polly,random,210,-0.0004770188627799
Polly,random,220,-0.0002654954895803
Polly,random,230,-0.0001496551656548
Polly,random,240,-0.0002757685873619
Polly,random,250,-0.0003117460230662
Polly,random,260,-0.00040053943044
Polly,random,270,-0.0004148627341641
Polly,random,280,-0.0002472340303589
Polly,random,290,-0.0003073424522054
Polly,random,300,-0.000178741706856
