Case Study,Sampling Strategy,Sample Set Size,Area
Polly,solverBased,10,-0.3438246666666661
Polly,solverBased,20,-0.2618981212121167
Polly,solverBased,30,-0.248707999999985
Polly,solverBased,40,-0.2425784761904406
Polly,solverBased,50,-0.2417845641024947
Polly,solverBased,60,-0.2407349677418155
Polly,solverBased,70,-0.2397004444442539
Polly,solverBased,80,-0.240342878048496
Polly,solverBased,90,-0.2398917681155371
Polly,solverBased,100,-0.239662078430817
Polly,solverBased,110,-0.2393160952373558
Polly,solverBased,120,-0.2396072786875646
Polly,solverBased,130,-0.2396255757563553
Polly,solverBased,140,-0.2389424131440155
Polly,solverBased,150,-0.2392317192963707
Polly,solverBased,160,-0.2387198271582184
Polly,solverBased,170,-0.2371307131755653
Polly,solverBased,180,-0.2368501611689214
Polly,solverBased,190,-0.2357249999961897
Polly,solverBased,200,-0.2355528382793842
Polly,solverBased,210,-0.2346250188627799
Polly,solverBased,220,-0.234568162156247
Polly,solverBased,230,-0.2346916551656549
Polly,solverBased,240,-0.234831768587362
Polly,solverBased,250,-0.2347924126897329
Polly,solverBased,260,-0.2347952060971067
Polly,solverBased,270,-0.2347361960674974
Polly,solverBased,280,-0.2337365673636922
Polly,solverBased,290,-0.2335573424522054
Polly,solverBased,300,-0.2336180750401894
