Case Study,Sampling Strategy,Sample Set Size,Area
BerkeleyDBC,divDistBased,2,-0.48615933333333333
BerkeleyDBC,divDistBased,7,-0.186188222222222
BerkeleyDBC,divDistBased,12,-0.16230876190476096
BerkeleyDBC,divDistBased,17,-0.16373175438596219
BerkeleyDBC,divDistBased,22,-0.17258266666666078
BerkeleyDBC,divDistBased,27,-0.17291924137929943
BerkeleyDBC,divDistBased,32,-0.1587395686274328
BerkeleyDBC,divDistBased,37,-0.11830497435894625
BerkeleyDBC,divDistBased,42,-0.10093206060601947
BerkeleyDBC,divDistBased,47,-0.060719836734636226
BerkeleyDBC,divDistBased,52,-0.026624814814736726
BerkeleyDBC,divDistBased,57,-0.007264847457524265
BerkeleyDBC,divDistBased,62,-0.0014823333332009627
BerkeleyDBC,divDistBased,67,-0.0013825797099778743
BerkeleyDBC,divDistBased,72,-0.0019011531529458333
BerkeleyDBC,divDistBased,77,-0.0023504388183118144
BerkeleyDBC,divDistBased,82,-0.0031039047615984924
BerkeleyDBC,divDistBased,87,-0.0037727116101211058
BerkeleyDBC,divDistBased,92,-0.00437036879389369
BerkeleyDBC,divDistBased,97,-0.0049076565651495815
