Case Study,Sampling Strategy,Sample Set Size,Area
Polly,SRSSampling,10,0.0006960000000005
Polly,SRSSampling,20,0.0002825454545498
Polly,SRSSampling,30,-0.0003066666666516
Polly,SRSSampling,40,0.0021135238095593
Polly,SRSSampling,50,0.0010567692308386
Polly,SRSSampling,60,0.0027190322581844
Polly,SRSSampling,70,0.001959555555746
Polly,SRSSampling,80,0.0019017886181705
Polly,SRSSampling,90,0.0016028985511295
Polly,SRSSampling,100,0.0019372549025162
Polly,SRSSampling,110,0.0022599047626441
Polly,SRSSampling,120,0.0021800546457686
Polly,SRSSampling,130,0.001593757576978
Polly,SRSSampling,140,0.001276253522651
Polly,SRSSampling,150,0.0012976140369625
Polly,SRSSampling,160,0.0015968395084482
Polly,SRSSampling,170,0.001792620157768
Polly,SRSSampling,180,0.0015631721644119
Polly,SRSSampling,190,0.0012970000038102
Polly,SRSSampling,200,0.0012258283872824
Polly,SRSSampling,210,0.0011663144705534
Polly,SRSSampling,220,0.0011925045104196
Polly,SRSSampling,230,0.0011056781676784
Polly,SRSSampling,240,0.000998231412638
Polly,SRSSampling,250,0.001017587310267
Polly,SRSSampling,260,0.0009167939028933
Polly,SRSSampling,270,0.0008704705991692
Polly,SRSSampling,280,0.0008260993029744
Polly,SRSSampling,290,0.0007206575477945
Polly,SRSSampling,300,0.0006719249598106
Polly,SRSSampling,310,0.00069846155501
Polly,SRSSampling,320,0.0007489234136472
Polly,SRSSampling,330,0.0007340482127333
Polly,SRSSampling,340,0.0006853099633528
Polly,SRSSampling,350,0.0006282424480582
Polly,SRSSampling,360,0.0006177642984757
Polly,SRSSampling,370,0.0005508387378132
Polly,SRSSampling,380,0.0005684677442661
Polly,SRSSampling,390,0.0005436871077788
Polly,SRSSampling,400,0.0005555622246033
Polly,SRSSampling,410,0.000581184504301
Polly,SRSSampling,420,0.00053700162093
Polly,SRSSampling,430,0.0004914815256421
Polly,SRSSampling,440,0.0004624434862274
Polly,SRSSampling,450,0.0004263894311436
Polly,SRSSampling,460,0.0004538355518973
Polly,SRSSampling,470,0.0004273107921274
Polly,SRSSampling,480,0.0004280221914368
Polly,SRSSampling,490,0.0003911870572117
Polly,SRSSampling,500,0.0003946986086003
Polly,SRSSampling,510,0.0003557917403388
Polly,SRSSampling,520,0.0003183755570175
Polly,SRSSampling,530,0.000327699330802
Polly,SRSSampling,540,0.0004236852043007
Polly,SRSSampling,550,0.0004069276286291
Polly,SRSSampling,560,0.000405359528133
Polly,SRSSampling,570,0.0003895851844303
Polly,SRSSampling,580,0.0004215465001047
Polly,SRSSampling,590,0.0004231893032414
Polly,SRSSampling,600,0.000413129688055
Polly,SRSSampling,610,0.000390653720816
Polly,SRSSampling,620,0.000409050507478
Polly,SRSSampling,630,0.0003949452865288
Polly,SRSSampling,640,0.0003916325443186
Polly,SRSSampling,650,0.0003924091504479
Polly,SRSSampling,660,0.000371240844431
Polly,SRSSampling,670,0.0003767620717635
Polly,SRSSampling,680,0.0003549425010793
Polly,SRSSampling,690,0.0003737535542709
Polly,SRSSampling,700,0.0003531682816129
Polly,SRSSampling,710,0.0003378279140764
Polly,SRSSampling,720,0.0003183750918124
Polly,SRSSampling,730,0.0003194537678966
Polly,SRSSampling,740,0.0003083757865237
Polly,SRSSampling,750,0.000290454134928
Polly,SRSSampling,760,0.0002983362017139
Polly,SRSSampling,770,0.000281337041016
Polly,SRSSampling,780,0.0002694393086332
Polly,SRSSampling,790,0.0002706265363342
Polly,SRSSampling,800,0.0002748830772462
Polly,SRSSampling,810,0.0002715273886115
Polly,SRSSampling,820,0.0002792119849036
Polly,SRSSampling,830,0.0002785900609899
Polly,SRSSampling,840,0.0003003154517284
Polly,SRSSampling,850,0.000376375927743
Polly,SRSSampling,860,0.0003627598271461
Polly,SRSSampling,870,0.000366122689666
Polly,SRSSampling,880,0.0003631205596542
