Case Study,Sampling Strategy,Sample Set Size,Area
Polly,solverBased,10,-0.3438246666666661
Polly,solverBased,20,-0.2618981212121167
Polly,solverBased,30,-0.248707999999985
Polly,solverBased,40,-0.2425784761904406
Polly,solverBased,50,-0.2417845641024947
Polly,solverBased,60,-0.2407349677418155
Polly,solverBased,70,-0.2397004444442539
Polly,solverBased,80,-0.240342878048496
Polly,solverBased,90,-0.2398917681155371
Polly,solverBased,100,-0.239662078430817
Polly,solverBased,110,-0.2393160952373558
Polly,solverBased,120,-0.2396072786875646
Polly,solverBased,130,-0.2396255757563553
Polly,solverBased,140,-0.2389424131440155
Polly,solverBased,150,-0.2392317192963707
Polly,solverBased,160,-0.2387198271582184
Polly,solverBased,170,-0.2371307131755653
Polly,solverBased,180,-0.2368501611689214
Polly,solverBased,190,-0.2357249999961897
Polly,solverBased,200,-0.2355528382793842
Polly,solverBased,210,-0.2346250188627799
Polly,solverBased,220,-0.234568162156247
Polly,solverBased,230,-0.2346916551656549
Polly,solverBased,240,-0.234831768587362
Polly,solverBased,250,-0.2347924126897329
Polly,solverBased,260,-0.2347952060971067
Polly,solverBased,270,-0.2347361960674974
Polly,solverBased,280,-0.2337365673636922
Polly,solverBased,290,-0.2335573424522054
Polly,solverBased,300,-0.2336180750401894
Polly,solverBased,310,-0.2322815384449899
Polly,solverBased,320,-0.232378409919686
Polly,solverBased,330,-0.2322872851205999
Polly,solverBased,340,-0.2322880233699804
Polly,solverBased,350,-0.2322777575519417
Polly,solverBased,360,-0.2322789023681909
Polly,solverBased,370,-0.2320918279288534
Polly,solverBased,380,-0.2320801989224005
Polly,solverBased,390,-0.2320716462255545
Polly,solverBased,400,-0.2320577711087299
Polly,solverBased,410,-0.2319888154956989
Polly,solverBased,420,-0.2319723317124032
Polly,solverBased,430,-0.2320038518076911
Polly,solverBased,440,-0.2319568898471059
Polly,solverBased,450,-0.231696277235523
Polly,solverBased,460,-0.2316061644481026
Polly,solverBased,470,-0.2315740225412058
Polly,solverBased,480,-0.2315686444752297
Polly,solverBased,490,-0.2313474796094549
Polly,solverBased,500,-0.2313553013913996
Polly,solverBased,510,-0.2292995415929945
Polly,solverBased,520,-0.2292736244429824
Polly,solverBased,530,-0.2281789673358646
Polly,solverBased,540,-0.2274163147956992
Polly,solverBased,550,-0.2266804057047041
Polly,solverBased,560,-0.2266993071385336
Polly,solverBased,570,-0.2266724148155696
Polly,solverBased,580,-0.2266611201665618
Polly,solverBased,590,-0.2266428106967585
Polly,solverBased,600,-0.2266455369786116
Polly,solverBased,610,-0.2265373462791839
Polly,solverBased,620,-0.2265636161591886
Polly,solverBased,630,-0.2265770547134711
Polly,solverBased,640,-0.2266017007890146
Polly,solverBased,650,-0.226599590849552
Polly,solverBased,660,-0.2266167591555689
Polly,solverBased,670,-0.2266132379282364
Polly,solverBased,680,-0.2266177241655873
Polly,solverBased,690,-0.225534246445729
Polly,solverBased,700,-0.224472831718387
Polly,solverBased,710,-0.2224355054192569
Polly,solverBased,720,-0.2223649582415208
Polly,solverBased,730,-0.2223838795654367
Polly,solverBased,740,-0.2220976242134762
Polly,solverBased,750,-0.220717545865072
Polly,solverBased,760,-0.2207349971316194
Polly,solverBased,770,-0.2197199962923173
Polly,solverBased,780,-0.2197365606913667
Polly,solverBased,790,-0.2174700401303324
Polly,solverBased,800,-0.2164571169227537
Polly,solverBased,810,-0.2164578059447217
Polly,solverBased,820,-0.216421454681763
Polly,solverBased,830,-0.2164200766056767
Polly,solverBased,840,-0.2158496845482715
Polly,solverBased,850,-0.2122562907389236
Polly,solverBased,860,-0.2096119068395205
Polly,solverBased,870,-0.2096252106436672
Polly,solverBased,880,-0.2095082127736791
Polly,solverBased,890,-0.2094369233755341
Polly,solverBased,900,-0.206904685478611
Polly,solverBased,910,-0.2042128416870232
Polly,solverBased,920,-0.2017567342026809
Polly,solverBased,930,-0.2017683715135355
Polly,solverBased,940,-0.2017590950804485
Polly,solverBased,950,-0.200458246022789
Polly,solverBased,960,-0.200439165136182
Polly,solverBased,970,-0.1984238595758289
Polly,solverBased,980,-0.19834366953881
Polly,solverBased,990,-0.197979268278775
Polly,solverBased,1000,-0.1979893287864197
Polly,solverBased,1010,-0.1979991904691452
Polly,solverBased,1020,-0.1965548591632864
Polly,solverBased,1030,-0.1964170071456301
Polly,solverBased,1040,-0.1964263064776034
Polly,solverBased,1050,-0.1953814290155094
Polly,solverBased,1060,-0.1953817130868508
Polly,solverBased,1070,-0.1953904968327811
Polly,solverBased,1080,-0.1953991182167151
Polly,solverBased,1090,-0.1918189150324675
Polly,solverBased,1100,-0.1889798915786145
Polly,solverBased,1110,-0.1870173853324407
Polly,solverBased,1120,-0.1860927336234959
Polly,solverBased,1130,-0.1774926069734543
Polly,solverBased,1140,-0.1754856757689631
Polly,solverBased,1150,-0.1750859436008372
Polly,solverBased,1160,-0.1740660806029494
Polly,solverBased,1170,-0.1740027567908383
Polly,solverBased,1180,-0.1736319754000463
Polly,solverBased,1190,-0.1725657395575405
Polly,solverBased,1200,-0.1716067189528961
Polly,solverBased,1210,-0.1714922498425883
Polly,solverBased,1220,-0.1687970017207423
Polly,solverBased,1230,-0.1684836439896821
Polly,solverBased,1240,-0.1658121792969604
Polly,solverBased,1250,-0.1655439435388765
Polly,solverBased,1260,-0.1655362725304946
Polly,solverBased,1270,-0.1652711686755037
Polly,solverBased,1280,-0.1646299676359279
Polly,solverBased,1290,-0.1596973383350289
Polly,solverBased,1300,-0.1597032829600744
Polly,solverBased,1310,-0.1586138036316473
Polly,solverBased,1320,-0.1586195690728339
Polly,solverBased,1330,-0.1585572479449664
Polly,solverBased,1340,-0.1572188421832563
Polly,solverBased,1350,-0.1561776869989939
Polly,solverBased,1360,-0.1520951175483164
Polly,solverBased,1370,-0.1496458022675511
Polly,solverBased,1380,-0.1479630762084718
Polly,solverBased,1390,-0.144547607706805
Polly,solverBased,1400,-0.1438280650506578
Polly,solverBased,1410,-0.1418971164822039
Polly,solverBased,1420,-0.1397120968659655
Polly,solverBased,1430,-0.1380756743570276
Polly,solverBased,1440,-0.1352865170691872
Polly,solverBased,1450,-0.1336586264097091
