Case Study,Sampling Strategy,Robustness,Posterior Confidence,Prior Confidence
7z,SRSSampling,0.0,0.0,0.0
7z,SRSSampling,0.0001,0.44,0.058332468064285
7z,SRSSampling,0.0002,0.62,0.1132675896419451
7z,SRSSampling,0.0003,0.75,0.1650029193877912
7z,SRSSampling,0.0004,0.8,0.2137245422734565
7z,SRSSampling,0.0005,0.81,0.2596077384487596
7z,SRSSampling,0.0006,0.83,0.3028176096239992
7z,SRSSampling,0.0007,0.84,0.3435096691963718
7z,SRSSampling,0.0008,0.85,0.3818303982164237
7z,SRSSampling,0.0009,0.85,0.4179177691678838
7z,SRSSampling,0.001,0.85,0.4519017394219888
7z,SRSSampling,0.0011,0.86,0.4839047161190275
7z,SRSSampling,0.0012,0.87,0.5140419941290021
7z,SRSSampling,0.0013,0.88,0.5424221686479054
7z,SRSSampling,0.0014,0.89,0.5691475238962662
7z,SRSSampling,0.0015,0.9,0.5943143993019406
7z,SRSSampling,0.0016,0.9,0.61801353446936
7z,SRSSampling,0.0017,0.92,0.6403303941620775
7z,SRSSampling,0.0018,0.93,0.6613454744551405
7z,SRSSampling,0.0019,0.93,0.6811345911461271
7z,SRSSampling,0.002,0.93,0.6997691514516922
7z,SRSSampling,0.0021,0.93,0.7173164099566111
7z,SRSSampling,0.0022,0.93,0.733839709726626
7z,SRSSampling,0.0023,0.93,0.7493987094437259
7z,SRSSampling,0.0024,0.93,0.7640495973728678
7z,SRSSampling,0.0025,0.93,0.7778452929224102
7z,SRSSampling,0.0026,0.94,0.7908356365164743
7z,SRSSampling,0.0027,0.94,0.8030675684558507
7z,SRSSampling,0.0028,0.94,0.8145852974052452
7z,SRSSampling,0.0029,0.94,0.8254304591072954
7z,SRSSampling,0.003,0.94,0.8356422658895719
7z,SRSSampling,0.0031,0.94,0.845257647497736
7z,SRSSampling,0.0032,0.95,0.8543113837572986
7z,SRSSampling,0.0033,0.95,0.8628362295373501
7z,SRSSampling,0.0034,0.96,0.8708630324622519
7z,SRSSampling,0.0035,0.96,0.8784208437914853
7z,SRSSampling,0.0036,0.97,0.8855370228635476
7z,SRSSampling,0.0037,0.97,0.8922373354768333
7z,SRSSampling,0.0038,0.97,0.8985460465590159
7z,SRSSampling,0.0039,0.97,0.9044860074558396
7z,SRSSampling,0.004,0.97,0.9100787381513464
7z,SRSSampling,0.0041,0.97,0.9153445047133428
7z,SRSSampling,0.0042,0.97,0.9203023922409624
7z,SRSSampling,0.0043,0.97,0.9249703735751388
7z,SRSSampling,0.0044,0.97,0.9293653740177084
7z,SRSSampling,0.0045,0.98,0.933503332290637
7z,SRSSampling,0.0046,0.98,0.9373992579534546
7z,SRSSampling,0.0047,0.98,0.9410672854843362
7z,SRSSampling,0.0048,0.98,0.9445207252184448
7z,SRSSampling,0.0049,0.98,0.947772111325799
7z,SRSSampling,0.005,0.98,0.9508332470005116
7z,SRSSampling,0.0051,0.98,0.9537152470232036
7z,SRSSampling,0.0052,0.98,0.9564285778490522
7z,SRSSampling,0.0053,0.98,0.9589830953650932
7z,SRSSampling,0.0054,0.98,0.9613880804520738
7z,SRSSampling,0.0055,0.98,0.9636522724783128
7z,SRSSampling,0.0056,0.98,0.9657839008456368
7z,SRSSampling,0.0057,0.98,0.9677907147004884
7z,SRSSampling,0.0058,0.98,0.96968001091679
7z,SRSSampling,0.0059,0.98,0.97145866045089
7z,SRSSampling,0.006,0.99,0.9731331331631784
7z,SRSSampling,0.0061,0.99,0.9747095211954312
7z,SRSSampling,0.0062,0.99,0.9761935609877818
7z,SRSSampling,0.0063,1.0,0.9775906540143648
7z,SRSSampling,0.0064,1.0,0.9789058863120792
7z,SRSSampling,0.0065,1.0,0.9801440468726073
7z,SRSSampling,0.0066,1.0,0.9813096449637504
7z,SRSSampling,0.0067,1.0,0.9824069264423114
