Case Study,Sampling Strategy,Robustness,Posterior Confidence,Prior Confidence
7z,solverBased,0.0,0.0,0.0
7z,solverBased,0.001,0.25,0.4519017394219888
7z,solverBased,0.002,0.29,0.6997691514516922
7z,solverBased,0.003,0.43,0.8356422658895719
7z,solverBased,0.004,0.45,0.9100787381513464
7z,solverBased,0.005,0.46,0.9508332470005116
7z,solverBased,0.006,0.47,0.9731331331631784
7z,solverBased,0.007,0.48,0.9853276950194682
7z,solverBased,0.008,0.48,0.9919921677905597
7z,solverBased,0.009,0.48,0.9956321637768456
7z,solverBased,0.01,0.48,0.997619040801602
