Case Study,Sampling Strategy,Robustness,Posterior Confidence,Prior Confidence
BerkeleyDBC,divDistBased,0.0,0.0,0.0
BerkeleyDBC,divDistBased,0.001,0.02,0.0933955505919242
BerkeleyDBC,divDistBased,0.002,0.02,0.1781490790313817
BerkeleyDBC,divDistBased,0.003,0.47,0.2550527615546916
BerkeleyDBC,divDistBased,0.004,0.47,0.3248268462679574
BerkeleyDBC,divDistBased,0.005,0.48,0.3881261215719522
BerkeleyDBC,divDistBased,0.006,0.48,0.4455458085208361
BerkeleyDBC,divDistBased,0.007,0.48,0.4976269279154968
BerkeleyDBC,divDistBased,0.008,0.61,0.5448611884968069
BerkeleyDBC,divDistBased,0.009,0.62,0.5876954385519864
BerkeleyDBC,divDistBased,0.01,0.62,0.6265357195457308
BerkeleyDBC,divDistBased,0.011,0.62,0.6617509570068023
BerkeleyDBC,divDistBased,0.012,0.62,0.6936763208128897
BerkeleyDBC,divDistBased,0.013,0.62,0.7226162841965951
BerkeleyDBC,divDistBased,0.014,0.62,0.7488474082203623
BerkeleyDBC,divDistBased,0.015,0.62,0.7726208761169963
BerkeleyDBC,divDistBased,0.016,0.62,0.7941647997458495
BerkeleyDBC,divDistBased,0.017,0.63,0.813686318455154
BerkeleyDBC,divDistBased,0.018,0.63,0.8313735088522378
BerkeleyDBC,divDistBased,0.019,0.63,0.8473971223507297
BerkeleyDBC,divDistBased,0.02,0.63,0.8619121658738516
BerkeleyDBC,divDistBased,0.021,0.63,0.8750593397331726
BerkeleyDBC,divDistBased,0.022,0.68,0.8869663454614984
BerkeleyDBC,divDistBased,0.023,0.68,0.8977490752465626
BerkeleyDBC,divDistBased,0.024,0.68,0.9075126935794554
BerkeleyDBC,divDistBased,0.025,0.68,0.916352620789658
BerkeleyDBC,divDistBased,0.026,0.69,0.924355427279247
BerkeleyDBC,divDistBased,0.027,0.73,0.9315996464851302
BerkeleyDBC,divDistBased,0.028,0.73,0.9381565138834472
BerkeleyDBC,divDistBased,0.029,0.73,0.9440906386985504
BerkeleyDBC,divDistBased,0.03,0.74,0.949460614384732
BerkeleyDBC,divDistBased,0.031,0.74,0.954319573407104
BerkeleyDBC,divDistBased,0.032,0.74,0.9587156913541482
BerkeleyDBC,divDistBased,0.033,0.74,0.962692644964275
BerkeleyDBC,divDistBased,0.034,0.74,0.9662900282384002
BerkeleyDBC,divDistBased,0.035,0.74,0.9695437304366152
BerkeleyDBC,divDistBased,0.036,0.74,0.9724862794162552
BerkeleyDBC,divDistBased,0.037,0.74,0.97514715345818
BerkeleyDBC,divDistBased,0.038,0.74,0.9775530644451876
BerkeleyDBC,divDistBased,0.039,0.96,0.9797282149987744
BerkeleyDBC,divDistBased,0.04,0.96,0.9816945319456928
BerkeleyDBC,divDistBased,0.041,1.0,0.9834718782719496
BerkeleyDBC,divDistBased,0.042,1.0,0.9850782455271389
BerkeleyDBC,divDistBased,0.043,1.0,0.9865299284646818
BerkeleyDBC,divDistBased,0.044,1.0,0.9878416835420656
BerkeleyDBC,divDistBased,0.045,1.0,0.989026872758158
BerkeleyDBC,divDistBased,0.046,1.0,0.9900975941708334
BerkeleyDBC,divDistBased,0.047,1.0,0.9910648003163058
BerkeleyDBC,divDistBased,0.048,1.0,0.9919384056406798
BerkeleyDBC,divDistBased,0.049,1.0,0.9927273839532916
