Case Study,Sampling Strategy,Robustness,Posterior Confidence,Prior Confidence
Polly,SRSSampling,0.0,0.0,0.0
Polly,SRSSampling,0.001,0.01,0.01588055818436
Polly,SRSSampling,0.002,0.02,0.0315244510192649
Polly,SRSSampling,0.003,0.04,0.0469349736356111
Polly,SRSSampling,0.004,0.05,0.0621153785202178
Polly,SRSSampling,0.005,0.05,0.0770688760257638
Polly,SRSSampling,0.006,0.05,0.0917986348751278
Polly,SRSSampling,0.007,0.05,0.1063077826601904
Polly,SRSSampling,0.008,0.08,0.1205994063351519
Polly,SRSSampling,0.009,0.08,0.1346765527044201
Polly,SRSSampling,0.01,0.09,0.1485422289051244
Polly,SRSSampling,0.011,0.12,0.1621994028843089
Polly,SRSSampling,0.012,0.12,0.1756510038708568
Polly,SRSSampling,0.013,0.14,0.1888999228422024
Polly,SRSSampling,0.014,0.15,0.2019490129858789
Polly,SRSSampling,0.015,0.18,0.2148010901559572
Polly,SRSSampling,0.016,0.21,0.2274589333244252
Polly,SRSSampling,0.017,0.24,0.2399252850275607
Polly,SRSSampling,0.018,0.26,0.2522028518073456
Polly,SRSSampling,0.019,0.26,0.2642943046479743
Polly,SRSSampling,0.02,0.26,0.2762022794075044
Polly,SRSSampling,0.021,0.29,0.2879293772446984
Polly,SRSSampling,0.022,0.29,0.2994781650411077
Polly,SRSSampling,0.023,0.29,0.3108511758184434
Polly,SRSSampling,0.024,0.31,0.3220509091512853
Polly,SRSSampling,0.025,0.32,0.3330798315751746
Polly,SRSSampling,0.026,0.32,0.343940376990137
Polly,SRSSampling,0.027,0.33,0.3546349470596849
Polly,SRSSampling,0.028,0.34,0.3651659116053417
Polly,SRSSampling,0.029,0.35,0.3755356089967367
Polly,SRSSampling,0.03,0.36,0.3857463465373145
Polly,SRSSampling,0.031,0.36,0.3958004008457039
Polly,SRSSampling,0.032,0.38,0.4057000182327902
Polly,SRSSampling,0.033,0.38,0.4154474150745375
Polly,SRSSampling,0.034,0.4,0.4250447781806001
Polly,SRSSampling,0.035,0.4,0.4344942651587713
Polly,SRSSampling,0.036,0.4,0.4437980047753082
Polly,SRSSampling,0.037,0.41,0.4529580973111773
Polly,SRSSampling,0.038,0.43,0.4619766149142633
Polly,SRSSampling,0.039,0.44,0.47085560194758
Polly,SRSSampling,0.04,0.44,0.4795970753335276
Polly,SRSSampling,0.041,0.48,0.4882030248942358
Polly,SRSSampling,0.042,0.48,0.4966754136880332
Polly,SRSSampling,0.043,0.51,0.5050161783420835
Polly,SRSSampling,0.044,0.51,0.5132272293812279
Polly,SRSSampling,0.045,0.52,0.5213104515530737
Polly,SRSSampling,0.046,0.52,0.5292677041493669
Polly,SRSSampling,0.047,0.52,0.5371008213236892
Polly,SRSSampling,0.048,0.54,0.5448116124055158
