Case Study,Sampling Strategy,Robustness,Posterior Confidence,Prior Confidence
Polly,solverBased,0.0,0.0,0.0
Polly,solverBased,0.001,0.0,0.01588055818436
Polly,solverBased,0.002,0.0,0.0315244510192649
Polly,solverBased,0.003,0.0,0.0469349736356111
Polly,solverBased,0.004,0.0,0.0621153785202178
Polly,solverBased,0.005,0.0,0.0770688760257638
Polly,solverBased,0.006,0.0,0.0917986348751278
Polly,solverBased,0.007,0.0,0.1063077826601904
Polly,solverBased,0.008,0.0,0.1205994063351519
Polly,solverBased,0.009,0.0,0.1346765527044201
Polly,solverBased,0.01,0.0,0.1485422289051244
Polly,solverBased,0.011,0.0,0.1621994028843089
Polly,solverBased,0.012,0.0,0.1756510038708568
Polly,solverBased,0.013,0.0,0.1888999228422024
Polly,solverBased,0.014,0.0,0.2019490129858789
Polly,solverBased,0.015,0.0,0.2148010901559572
Polly,solverBased,0.016,0.0,0.2274589333244252
Polly,solverBased,0.017,0.0,0.2399252850275607
Polly,solverBased,0.018,0.0,0.2522028518073456
Polly,solverBased,0.019,0.0,0.2642943046479743
Polly,solverBased,0.02,0.0,0.2762022794075044
Polly,solverBased,0.021,0.0,0.2879293772446984
Polly,solverBased,0.022,0.0,0.2994781650411077
Polly,solverBased,0.023,0.0,0.3108511758184434
Polly,solverBased,0.024,0.0,0.3220509091512853
Polly,solverBased,0.025,0.0,0.3330798315751746
Polly,solverBased,0.026,0.0,0.343940376990137
Polly,solverBased,0.027,0.0,0.3546349470596849
Polly,solverBased,0.028,0.0,0.3651659116053417
Polly,solverBased,0.029,0.0,0.3755356089967367
Polly,solverBased,0.03,0.0,0.3857463465373145
Polly,solverBased,0.031,0.0,0.3958004008457039
Polly,solverBased,0.032,0.01,0.4057000182327902
Polly,solverBased,0.033,0.01,0.4154474150745375
Polly,solverBased,0.034,0.01,0.4250447781806001
Polly,solverBased,0.035,0.01,0.4344942651587713
Polly,solverBased,0.036,0.01,0.4437980047753082
Polly,solverBased,0.037,0.01,0.4529580973111773
Polly,solverBased,0.038,0.01,0.4619766149142633
Polly,solverBased,0.039,0.01,0.47085560194758
Polly,solverBased,0.04,0.01,0.4795970753335276
Polly,solverBased,0.041,0.01,0.4882030248942358
Polly,solverBased,0.042,0.01,0.4966754136880332
Polly,solverBased,0.043,0.01,0.5050161783420835
Polly,solverBased,0.044,0.01,0.5132272293812279
Polly,solverBased,0.045,0.01,0.5213104515530737
Polly,solverBased,0.046,0.01,0.5292677041493669
Polly,solverBased,0.047,0.01,0.5371008213236892
Polly,solverBased,0.048,0.01,0.5448116124055158
Polly,solverBased,0.049,0.01,0.5524018622106734
Polly,solverBased,0.05,0.01,0.5598733313482347
Polly,solverBased,0.051,0.01,0.5672277565238879
Polly,solverBased,0.052,0.01,0.5744668508398173
Polly,solverBased,0.053,0.02,0.5815923040911315
Polly,solverBased,0.054,0.02,0.5886057830588756
Polly,solverBased,0.055,0.02,0.5955089317996625
Polly,solverBased,0.056,0.02,0.6023033719319608
Polly,solverBased,0.057,0.02,0.6089907029190722
Polly,solverBased,0.058,0.03,0.6155725023488335
Polly,solverBased,0.059,0.03,0.6220503262100789
Polly,solverBased,0.06,0.03,0.6284257091658993
Polly,solverBased,0.061,0.03,0.6347001648237192
Polly,solverBased,0.062,0.03,0.640875186002251
Polly,solverBased,0.063,0.03,0.6469522449953247
Polly,solverBased,0.064,0.03,0.6529327938326646
Polly,solverBased,0.065,0.06,0.6588182645376057
Polly,solverBased,0.066,0.06,0.6646100693818232
Polly,solverBased,0.067,0.06,0.670309601137064
Polly,solverBased,0.068,0.06,0.675918233323956
Polly,solverBased,0.069,0.06,0.681437320457883
Polly,solverBased,0.07,0.07,0.6868681982919992
Polly,solverBased,0.071,0.07,0.6922121840573703
Polly,solverBased,0.072,0.07,0.6974705767003151
Polly,solverBased,0.073,0.07,0.7026446571169397
Polly,solverBased,0.074,0.07,0.7077356883849205
Polly,solverBased,0.075,0.07,0.712744915992553
Polly,solverBased,0.076,0.07,0.7176735680650985
Polly,solverBased,0.077,0.07,0.7225228555884593
Polly,solverBased,0.078,0.07,0.7272939726302078
Polly,solverBased,0.079,0.07,0.7319880965580018
Polly,solverBased,0.08,0.07,0.7366063882554112
Polly,solverBased,0.081,0.07,0.7411499923351854
Polly,solverBased,0.082,0.07,0.7456200373499884
Polly,solverBased,0.083,0.07,0.7500176360006297
Polly,solverBased,0.084,0.07,0.7543438853418173
Polly,solverBased,0.085,0.07,0.7585998669854602
Polly,solverBased,0.086,0.07,0.7627866473015467
Polly,solverBased,0.087,0.07,0.7669052776166244
Polly,solverBased,0.088,0.07,0.7709567944099094
Polly,solverBased,0.089,0.07,0.7749422195070483
Polly,solverBased,0.09,0.07,0.7788625602715604
Polly,solverBased,0.091,0.07,0.7827188097939851
Polly,solverBased,0.092,0.07,0.7865119470787578
Polly,solverBased,0.093,0.07,0.7902429372288423
Polly,solverBased,0.094,0.07,0.7939127316281406
Polly,solverBased,0.095,0.07,0.7975222681217076
Polly,solverBased,0.096,0.07,0.8010724711937927
Polly,solverBased,0.097,0.07,0.8045642521437331
Polly,solverBased,0.098,0.07,0.8079985092597216
Polly,solverBased,0.099,0.07,0.8113761279904739
Polly,solverBased,0.1,0.07,0.8146979811148158
Polly,solverBased,0.101,0.07,0.8179649289092168
Polly,solverBased,0.102,0.07,0.8211778193132888
Polly,solverBased,0.103,0.07,0.8243374880932758
Polly,solverBased,0.104,0.07,0.8274447590035546
Polly,solverBased,0.105,0.07,0.8305004439461698
Polly,solverBased,0.106,0.07,0.833505343128424
Polly,solverBased,0.107,0.07,0.8364602452185448
Polly,solverBased,0.108,0.07,0.8393659274994516
Polly,solverBased,0.109,0.07,0.8422231560206406
Polly,solverBased,0.11,0.07,0.8450326857482107
Polly,solverBased,0.111,0.07,0.8477952607130512
Polly,solverBased,0.112,0.07,0.8505116141572113
Polly,solverBased,0.113,0.07,0.8531824686784707
Polly,solverBased,0.114,0.07,0.8558085363731334
Polly,solverBased,0.115,0.07,0.8583905189770628
Polly,solverBased,0.116,0.07,0.8609291080049797
Polly,solverBased,0.117,0.07,0.8634249848880405
Polly,solverBased,0.118,0.07,0.8658788211097161
Polly,solverBased,0.119,0.07,0.8682912783399911
