Case Study,Sampling Strategy,Robustness,Confidence Difference
7z,SRSSampling,0.0,0.0
7z,SRSSampling,0.0001,0.3816675319357149
7z,SRSSampling,0.0002,0.5067324103580548
7z,SRSSampling,0.0003,0.5849970806122088
7z,SRSSampling,0.0004,0.5862754577265435
7z,SRSSampling,0.0005,0.5503922615512404
7z,SRSSampling,0.0006,0.5271823903760008
7z,SRSSampling,0.0007,0.4964903308036281
7z,SRSSampling,0.0008,0.4681696017835762
7z,SRSSampling,0.0009,0.4320822308321161
7z,SRSSampling,0.001,0.3980982605780111
7z,SRSSampling,0.0011,0.3760952838809724
7z,SRSSampling,0.0012,0.3559580058709979
7z,SRSSampling,0.0013,0.3375778313520946
7z,SRSSampling,0.0014,0.3208524761037338
7z,SRSSampling,0.0015,0.3056856006980594
7z,SRSSampling,0.0016,0.28198646553064
7z,SRSSampling,0.0017,0.2796696058379225
7z,SRSSampling,0.0018,0.2686545255448596
7z,SRSSampling,0.0019,0.2488654088538729
7z,SRSSampling,0.002,0.2302308485483079
7z,SRSSampling,0.0021,0.212683590043389
7z,SRSSampling,0.0022,0.196160290273374
7z,SRSSampling,0.0023,0.1806012905562741
7z,SRSSampling,0.0024,0.1659504026271322
7z,SRSSampling,0.0025,0.1521547070775898
7z,SRSSampling,0.0026,0.1491643634835256
7z,SRSSampling,0.0027,0.1369324315441492
7z,SRSSampling,0.0028,0.1254147025947547
7z,SRSSampling,0.0029,0.1145695408927045
7z,SRSSampling,0.003,0.104357734110428
7z,SRSSampling,0.0031,0.0947423525022639
7z,SRSSampling,0.0032,0.0956886162427013
7z,SRSSampling,0.0033,0.0871637704626498
7z,SRSSampling,0.0034,0.089136967537748
7z,SRSSampling,0.0035,0.0815791562085146
7z,SRSSampling,0.0036,0.0844629771364523
7z,SRSSampling,0.0037,0.0777626645231667
7z,SRSSampling,0.0038,0.071453953440984
7z,SRSSampling,0.0039,0.0655139925441602
7z,SRSSampling,0.004,0.0599212618486535
7z,SRSSampling,0.0041,0.0546554952866571
7z,SRSSampling,0.0042,0.0496976077590375
7z,SRSSampling,0.0043,0.0450296264248613
7z,SRSSampling,0.0044,0.0406346259822915
7z,SRSSampling,0.0045,0.046496667709363
7z,SRSSampling,0.0046,0.0426007420465454
7z,SRSSampling,0.0047,0.0389327145156638
7z,SRSSampling,0.0048,0.0354792747815553
7z,SRSSampling,0.0049,0.032227888674201
7z,SRSSampling,0.005,0.0291667529994883
7z,SRSSampling,0.0051,0.0262847529767963
7z,SRSSampling,0.0052,0.0235714221509477
7z,SRSSampling,0.0053,0.0210169046349067
7z,SRSSampling,0.0054,0.0186119195479261
7z,SRSSampling,0.0055,0.0163477275216872
7z,SRSSampling,0.0056,0.0142160991543631
7z,SRSSampling,0.0057,0.0122092852995114
7z,SRSSampling,0.0058,0.0103199890832098
7z,SRSSampling,0.0059,0.00854133954911
7z,SRSSampling,0.006,0.0168668668368215
7z,SRSSampling,0.0061,0.0152904788045687
7z,SRSSampling,0.0062,0.0138064390122182
7z,SRSSampling,0.0063,0.0224093459856352
7z,SRSSampling,0.0064,0.0210941136879206
7z,SRSSampling,0.0065,0.0198559531273928
7z,SRSSampling,0.0066,0.0186903550362496
7z,SRSSampling,0.0067,0.0175930735576885
7z,SRSSampling,0.0068,0.0165601108828453
7z,SRSSampling,0.0069,0.0155877027823586
7z,SRSSampling,0.007,0.0146723049805318
7z,SRSSampling,0.0071,0.0138105803231027
7z,SRSSampling,0.0072,0.012999386692474
7z,SRSSampling,0.0073,0.0122357656269322
7z,SRSSampling,0.0074,0.0115169316029124
7z,SRSSampling,0.0075,0.010840261941737
7z,SRSSampling,0.0076,0.010203287304504
7z,SRSSampling,0.0077,0.0096036827409076
7z,SRSSampling,0.0078,0.0090392592597514
7z,SRSSampling,0.0079,0.0085079558908112
7z,SRSSampling,0.008,0.0080078322094403
7z,SRSSampling,0.0081,0.0075370612969911
7z,SRSSampling,0.0082,0.0070939231116825
7z,SRSSampling,0.0083,0.0066767982460205
7z,SRSSampling,0.0084,0.0062841620482679
7z,SRSSampling,0.0085,0.0059145790867646
7z,SRSSampling,0.0086,0.0055666979371354
7z,SRSSampling,0.0087,0.0052392462735835
7z,SRSSampling,0.0088,0.0049310262465516
7z,SRSSampling,0.0089,0.0046409101300819
7z,SRSSampling,0.009,0.0043678362231542
7z,SRSSampling,0.0091,0.0041108049902102
7z,SRSSampling,0.0092,0.0038688754269271
7z,SRSSampling,0.0093,0.0036411616381155
7z,SRSSampling,0.0094,0.0034268296153785
7z,SRSSampling,0.0095,0.0032250942028906
7z,SRSSampling,0.0096,0.0030352162403316
7z,SRSSampling,0.0097,0.0028564998726481
7z,SRSSampling,0.0098,0.0026882900169157
7z,SRSSampling,0.0099,0.0025299699771442
7z,SRSSampling,0.01,0.0023809591983979
7z,SRSSampling,0.0101,0.0022407111521072
7z,SRSSampling,0.0102,0.002108711344919
7z,SRSSampling,0.0103,0.0019844754438828
7z,SRSSampling,0.0104,0.0018675475111827
7z,SRSSampling,0.0105,0.0017574983420279
7z,SRSSampling,0.0106,0.0016539238996804
7z,SRSSampling,0.0107,0.0015564438419538
7z,SRSSampling,0.0108,0.0014647001338436
7z,SRSSampling,0.0109,0.0013783557412638
