Case Study,Sampling Strategy,Robustness,Confidence Difference
7z,divDistBased,0.0,0.0
7z,divDistBased,0.0001,-0.048332468064285
7z,divDistBased,0.0002,-0.0532675896419451
7z,divDistBased,0.0003,-0.0850029193877912
7z,divDistBased,0.0004,-0.1137245422734564
7z,divDistBased,0.0005,-0.1196077384487596
7z,divDistBased,0.0006,-0.1628176096239991
7z,divDistBased,0.0007,-0.1835096691963718
7z,divDistBased,0.0008,-0.2118303982164237
7z,divDistBased,0.0009,-0.2279177691678838
7z,divDistBased,0.001,-0.2419017394219888
7z,divDistBased,0.0011,-0.2339047161190275
7z,divDistBased,0.0012,-0.2640419941290021
7z,divDistBased,0.0013,-0.2524221686479054
7z,divDistBased,0.0014,-0.2491475238962662
7z,divDistBased,0.0015,-0.2643143993019406
7z,divDistBased,0.0016,-0.24801353446936
7z,divDistBased,0.0017,-0.2703303941620775
7z,divDistBased,0.0018,-0.2513454744551405
7z,divDistBased,0.0019,-0.2511345911461271
7z,divDistBased,0.002,-0.2497691514516921
7z,divDistBased,0.0021,-0.237316409956611
7z,divDistBased,0.0022,-0.253839709726626
7z,divDistBased,0.0023,-0.2693987094437259
7z,divDistBased,0.0024,-0.2540495973728678
7z,divDistBased,0.0025,-0.2578452929224102
7z,divDistBased,0.0026,-0.2308356365164742
7z,divDistBased,0.0027,-0.2430675684558506
7z,divDistBased,0.0028,-0.1545852974052451
7z,divDistBased,0.0029,-0.1654304591072953
7z,divDistBased,0.003,-0.1756422658895718
7z,divDistBased,0.0031,-0.185257647497736
7z,divDistBased,0.0032,-0.1843113837572986
7z,divDistBased,0.0033,-0.19283622953735
7z,divDistBased,0.0034,-0.2008630324622519
7z,divDistBased,0.0035,-0.1984208437914852
7z,divDistBased,0.0036,-0.1855370228635476
7z,divDistBased,0.0037,-0.1822373354768333
7z,divDistBased,0.0038,-0.1785460465590159
7z,divDistBased,0.0039,-0.1744860074558397
7z,divDistBased,0.004,-0.1800787381513464
7z,divDistBased,0.0041,-0.1653445047133428
7z,divDistBased,0.0042,-0.1503023922409624
7z,divDistBased,0.0043,-0.1549703735751386
7z,divDistBased,0.0044,-0.1593653740177084
7z,divDistBased,0.0045,-0.113503332290637
7z,divDistBased,0.0046,-0.1173992579534546
7z,divDistBased,0.0047,-0.1210672854843362
7z,divDistBased,0.0048,-0.1045207252184446
7z,divDistBased,0.0049,-0.107772111325799
7z,divDistBased,0.005,-0.1108332470005116
7z,divDistBased,0.0051,-0.1137152470232036
7z,divDistBased,0.0052,-0.1164285778490522
7z,divDistBased,0.0053,-0.1189830953650932
7z,divDistBased,0.0054,-0.1013880804520738
7z,divDistBased,0.0055,-0.1036522724783127
7z,divDistBased,0.0056,-0.1057839008456368
7z,divDistBased,0.0057,-0.0777907147004884
7z,divDistBased,0.0058,-0.0796800109167901
7z,divDistBased,0.0059,-0.0814586604508899
7z,divDistBased,0.006,-0.0631331331631783
7z,divDistBased,0.0061,-0.0647095211954311
7z,divDistBased,0.0062,-0.0661935609877817
7z,divDistBased,0.0063,-0.0575906540143646
7z,divDistBased,0.0064,-0.0589058863120792
7z,divDistBased,0.0065,-0.0601440468726071
7z,divDistBased,0.0066,-0.0613096449637503
7z,divDistBased,0.0067,-0.0524069264423113
7z,divDistBased,0.0068,-0.0534398891171545
7z,divDistBased,0.0069,-0.0544122972176412
7z,divDistBased,0.007,-0.0553276950194681
7z,divDistBased,0.0071,-0.0561894196768971
7z,divDistBased,0.0072,-0.0570006133075259
7z,divDistBased,0.0073,-0.0577642343730676
7z,divDistBased,0.0074,-0.0584830683970875
7z,divDistBased,0.0075,-0.0591597380582629
7z,divDistBased,0.0076,-0.049796712695496
7z,divDistBased,0.0077,-0.0503963172590924
7z,divDistBased,0.0078,-0.0509607407402485
7z,divDistBased,0.0079,-0.0514920441091888
7z,divDistBased,0.008,-0.0519921677905597
7z,divDistBased,0.0081,-0.0424629387030088
7z,divDistBased,0.0082,-0.0429060768883174
7z,divDistBased,0.0083,-0.0433232017539795
7z,divDistBased,0.0084,-0.043715837951732
7z,divDistBased,0.0085,-0.0340854209132354
7z,divDistBased,0.0086,-0.0344333020628645
7z,divDistBased,0.0087,-0.0347607537264165
7z,divDistBased,0.0088,-0.0350689737534484
7z,divDistBased,0.0089,-0.035359089869918
7z,divDistBased,0.009,-0.0356321637768457
7z,divDistBased,0.0091,-0.0358891950097898
7z,divDistBased,0.0092,-0.0261311245730728
7z,divDistBased,0.0093,-0.0263588383618844
7z,divDistBased,0.0094,-0.0265731703846214
7z,divDistBased,0.0095,-0.0267749057971093
7z,divDistBased,0.0096,-0.0269647837596683
7z,divDistBased,0.0097,-0.0271435001273518
7z,divDistBased,0.0098,-0.0273117099830842
7z,divDistBased,0.0099,-0.0274700300228557
7z,divDistBased,0.01,-0.027619040801602
7z,divDistBased,0.0101,-0.0177592888478927
7z,divDistBased,0.0102,-0.0178912886550809
7z,divDistBased,0.0103,-0.0180155245561172
7z,divDistBased,0.0104,-0.0181324524888172
7z,divDistBased,0.0105,-0.018242501657972
7z,divDistBased,0.0106,-0.0183460761003195
7z,divDistBased,0.0107,-0.0184435561580461
7z,divDistBased,0.0108,-0.0185352998661563
7z,divDistBased,0.0109,-0.0186216442587361
