Case Study,Sampling Strategy,Robustness,Confidence Difference
7z,random,0.0,0.0
7z,random,0.0001,0.0416675319357149
7z,random,0.0002,0.0167324103580548
7z,random,0.0003,0.0549970806122087
7z,random,0.0004,0.0462754577265435
7z,random,0.0005,0.0103922615512404
7z,random,0.0006,0.0171823903760008
7z,random,0.0007,0.0064903308036281
7z,random,0.0008,0.0281696017835762
7z,random,0.0009,0.0420822308321162
7z,random,0.001,0.0280982605780111
7z,random,0.0011,0.0360952838809724
7z,random,0.0012,0.0359580058709979
7z,random,0.0013,0.0275778313520945
7z,random,0.0014,0.0008524761037337
7z,random,0.0015,-0.0043143993019406
7z,random,0.0016,-0.00801353446936
7z,random,0.0017,-0.0303303941620775
7z,random,0.0018,-0.0513454744551404
7z,random,0.0019,-0.061134591146127
7z,random,0.002,-0.0497691514516921
7z,random,0.0021,-0.0273164099566111
7z,random,0.0022,-0.013839709726626
7z,random,0.0023,-0.0093987094437258
7z,random,0.0024,-0.0040495973728678
7z,random,0.0025,0.0021547070775898
7z,random,0.0026,0.0291643634835256
7z,random,0.0027,0.0169324315441492
7z,random,0.0028,0.0154147025947547
7z,random,0.0029,0.0245695408927045
7z,random,0.003,0.024357734110428
7z,random,0.0031,0.0147423525022639
7z,random,0.0032,0.0256886162427013
7z,random,0.0033,0.0271637704626499
7z,random,0.0034,0.029136967537748
7z,random,0.0035,0.0315791562085147
7z,random,0.0036,0.0244629771364524
7z,random,0.0037,0.0177626645231667
7z,random,0.0038,0.0214539534409841
7z,random,0.0039,0.0155139925441603
7z,random,0.004,0.0099212618486536
7z,random,0.0041,0.0246554952866571
7z,random,0.0042,0.0396976077590375
7z,random,0.0043,0.0350296264248612
7z,random,0.0044,0.0306346259822914
7z,random,0.0045,0.0264966677093629
7z,random,0.0046,0.0226007420465453
7z,random,0.0047,0.0189327145156638
7z,random,0.0048,0.0154792747815553
7z,random,0.0049,0.0122278886742009
7z,random,0.005,0.0091667529994883
7z,random,0.0051,0.0062847529767963
7z,random,0.0052,0.0035714221509477
7z,random,0.0053,0.0010169046349067
7z,random,0.0054,-0.0013880804520738
7z,random,0.0055,-0.0036522724783127
7z,random,0.0056,-0.0057839008456368
7z,random,0.0057,0.0122092852995114
7z,random,0.0058,0.0103199890832098
7z,random,0.0059,0.00854133954911
7z,random,0.006,0.0068668668368215
7z,random,0.0061,0.0052904788045687
7z,random,0.0062,0.0038064390122182
7z,random,0.0063,0.0024093459856352
7z,random,0.0064,0.0010941136879206
7z,random,0.0065,-0.0001440468726071
7z,random,0.0066,-0.0013096449637504
7z,random,0.0067,-0.0024069264423114
7z,random,0.0068,-0.0034398891171546
7z,random,0.0069,-0.0044122972176413
7z,random,0.007,-0.0053276950194681
7z,random,0.0071,-0.0061894196768972
7z,random,0.0072,-0.0070006133075259
7z,random,0.0073,-0.0077642343730677
7z,random,0.0074,-0.0084830683970875
7z,random,0.0075,-0.0091597380582629
7z,random,0.0076,-0.0097967126954959
7z,random,0.0077,-0.0103963172590924
7z,random,0.0078,-0.0109607407402485
7z,random,0.0079,-0.0114920441091888
7z,random,0.008,-0.0119921677905596
7z,random,0.0081,-0.0124629387030088
7z,random,0.0082,-0.0129060768883174
7z,random,0.0083,-0.0133232017539794
7z,random,0.0084,-0.013715837951732
7z,random,0.0085,-0.0040854209132353
7z,random,0.0086,-0.0044333020628645
7z,random,0.0087,-0.0047607537264164
7z,random,0.0088,-0.0050689737534483
7z,random,0.0089,-0.005359089869918
7z,random,0.009,-0.0056321637768457
7z,random,0.0091,-0.0058891950097897
7z,random,0.0092,-0.0061311245730728
7z,random,0.0093,-0.0063588383618844
7z,random,0.0094,-0.0065731703846214
7z,random,0.0095,-0.0067749057971093
7z,random,0.0096,-0.0069647837596683
7z,random,0.0097,-0.0071435001273518
7z,random,0.0098,-0.0073117099830842
7z,random,0.0099,-0.0074700300228557
7z,random,0.01,-0.007619040801602
7z,random,0.0101,-0.0077592888478927
7z,random,0.0102,-0.0078912886550809
7z,random,0.0103,-0.0080155245561172
7z,random,0.0104,-0.0081324524888172
7z,random,0.0105,-0.008242501657972
7z,random,0.0106,-0.0083460761003195
7z,random,0.0107,-0.0084435561580461
7z,random,0.0108,-0.0085352998661563
7z,random,0.0109,-0.0086216442587361
