Case Study,Sampling Strategy,Robustness,Confidence Difference
7z,solverBased,0.0,0.0
7z,solverBased,0.0001,-0.008332468064285
7z,solverBased,0.0002,-0.0332675896419451
7z,solverBased,0.0003,-0.0550029193877912
7z,solverBased,0.0004,-0.0537245422734564
7z,solverBased,0.0005,-0.0496077384487596
7z,solverBased,0.0006,-0.0928176096239991
7z,solverBased,0.0007,-0.1135096691963718
7z,solverBased,0.0008,-0.1418303982164237
7z,solverBased,0.0009,-0.1779177691678838
7z,solverBased,0.001,-0.2019017394219888
7z,solverBased,0.0011,-0.2139047161190275
7z,solverBased,0.0012,-0.244041994129002
7z,solverBased,0.0013,-0.2624221686479053
7z,solverBased,0.0014,-0.2891475238962662
7z,solverBased,0.0015,-0.3143143993019406
7z,solverBased,0.0016,-0.33801353446936
7z,solverBased,0.0017,-0.3603303941620774
7z,solverBased,0.0018,-0.3713454744551405
7z,solverBased,0.0019,-0.3911345911461271
7z,solverBased,0.002,-0.4097691514516922
7z,solverBased,0.0021,-0.417316409956611
7z,solverBased,0.0022,-0.423839709726626
7z,solverBased,0.0023,-0.4393987094437259
7z,solverBased,0.0024,-0.4040495973728678
7z,solverBased,0.0025,-0.4078452929224102
7z,solverBased,0.0026,-0.4208356365164742
7z,solverBased,0.0027,-0.4330675684558507
7z,solverBased,0.0028,-0.3845852974052452
7z,solverBased,0.0029,-0.3954304591072954
7z,solverBased,0.003,-0.4056422658895719
7z,solverBased,0.0031,-0.415257647497736
7z,solverBased,0.0032,-0.4243113837572986
7z,solverBased,0.0033,-0.43283622953735
7z,solverBased,0.0034,-0.4308630324622519
7z,solverBased,0.0035,-0.4384208437914853
7z,solverBased,0.0036,-0.4455370228635476
7z,solverBased,0.0037,-0.4522373354768332
7z,solverBased,0.0038,-0.4585460465590159
7z,solverBased,0.0039,-0.4544860074558397
7z,solverBased,0.004,-0.4600787381513464
7z,solverBased,0.0041,-0.4653445047133428
7z,solverBased,0.0042,-0.4603023922409624
7z,solverBased,0.0043,-0.4649703735751386
7z,solverBased,0.0044,-0.4693653740177084
7z,solverBased,0.0045,-0.4735033322906369
7z,solverBased,0.0046,-0.4773992579534545
7z,solverBased,0.0047,-0.4810672854843361
7z,solverBased,0.0048,-0.4845207252184446
7z,solverBased,0.0049,-0.4877721113257989
7z,solverBased,0.005,-0.4908332470005116
7z,solverBased,0.0051,-0.4937152470232036
7z,solverBased,0.0052,-0.4864285778490522
7z,solverBased,0.0053,-0.4889830953650932
7z,solverBased,0.0054,-0.4913880804520738
7z,solverBased,0.0055,-0.4936522724783128
7z,solverBased,0.0056,-0.4957839008456368
7z,solverBased,0.0057,-0.4977907147004885
7z,solverBased,0.0058,-0.4996800109167901
7z,solverBased,0.0059,-0.5014586604508899
7z,solverBased,0.006,-0.5031331331631784
7z,solverBased,0.0061,-0.5047095211954312
7z,solverBased,0.0062,-0.5061935609877818
7z,solverBased,0.0063,-0.4975906540143647
7z,solverBased,0.0064,-0.4989058863120793
7z,solverBased,0.0065,-0.5001440468726072
7z,solverBased,0.0066,-0.5013096449637504
7z,solverBased,0.0067,-0.5024069264423114
7z,solverBased,0.0068,-0.5034398891171546
7z,solverBased,0.0069,-0.5044122972176414
7z,solverBased,0.007,-0.5053276950194682
7z,solverBased,0.0071,-0.5061894196768972
7z,solverBased,0.0072,-0.507000613307526
7z,solverBased,0.0073,-0.5077642343730677
7z,solverBased,0.0074,-0.5084830683970876
7z,solverBased,0.0075,-0.509159738058263
7z,solverBased,0.0076,-0.509796712695496
7z,solverBased,0.0077,-0.5103963172590924
7z,solverBased,0.0078,-0.5109607407402486
7z,solverBased,0.0079,-0.5114920441091888
7z,solverBased,0.008,-0.5119921677905597
7z,solverBased,0.0081,-0.5124629387030089
7z,solverBased,0.0082,-0.5129060768883175
7z,solverBased,0.0083,-0.5133232017539795
7z,solverBased,0.0084,-0.513715837951732
7z,solverBased,0.0085,-0.5140854209132354
7z,solverBased,0.0086,-0.5144333020628645
7z,solverBased,0.0087,-0.5147607537264165
7z,solverBased,0.0088,-0.5150689737534484
7z,solverBased,0.0089,-0.5153590898699181
7z,solverBased,0.009,-0.5156321637768457
7z,solverBased,0.0091,-0.5158891950097898
7z,solverBased,0.0092,-0.5161311245730729
7z,solverBased,0.0093,-0.5163588383618845
7z,solverBased,0.0094,-0.5165731703846215
7z,solverBased,0.0095,-0.5167749057971094
7z,solverBased,0.0096,-0.5169647837596684
7z,solverBased,0.0097,-0.5171435001273519
7z,solverBased,0.0098,-0.5173117099830843
7z,solverBased,0.0099,-0.5174700300228557
7z,solverBased,0.01,-0.517619040801602
7z,solverBased,0.0101,-0.5177592888478928
7z,solverBased,0.0102,-0.5178912886550809
7z,solverBased,0.0103,-0.5180155245561172
7z,solverBased,0.0104,-0.5181324524888172
7z,solverBased,0.0105,-0.518242501657972
7z,solverBased,0.0106,-0.5183460761003196
7z,solverBased,0.0107,-0.5184435561580462
7z,solverBased,0.0108,-0.5185352998661563
7z,solverBased,0.0109,-0.5186216442587361
