Case Study,Sampling Strategy,Robustness,Confidence Difference
7z,solverBased,0.0,0.0
7z,solverBased,0.01,-0.517619040801602
7z,solverBased,0.02,-0.4999946682289627
7z,solverBased,0.03,-0.4999999887846639
7z,solverBased,0.04,-0.4599999999778684
7z,solverBased,0.05,-0.449999999999959
7z,solverBased,0.06,-0.4499999999999998
7z,solverBased,0.07,-0.31
7z,solverBased,0.08,-0.17
7z,solverBased,0.09,-0.17
7z,solverBased,0.1,-0.0799999999999999
7z,solverBased,0.11,-0.0699999999999999
7z,solverBased,0.12,-0.02
7z,solverBased,0.13,-0.01
7z,solverBased,0.14,0.0
