Case Study,Sampling Strategy,Robustness,Confidence Difference
BerkeleyDBC,SRSSampling,0.0,0.0
BerkeleyDBC,SRSSampling,0.0001,0.280247378264551
BerkeleyDBC,SRSSampling,0.0002,0.2705889089899858
BerkeleyDBC,SRSSampling,0.0003,0.261023692503212
BerkeleyDBC,SRSSampling,0.0004,0.4515508376392538
BerkeleyDBC,SRSSampling,0.0005,0.4421694616616303
BerkeleyDBC,SRSSampling,0.0006,0.4328786901834613
BerkeleyDBC,SRSSampling,0.0007,0.4236776570893551
BerkeleyDBC,SRSSampling,0.0008,0.4845655044579166
BerkeleyDBC,SRSSampling,0.0009,0.4755413824850756
BerkeleyDBC,SRSSampling,0.001,0.4666044494080757
BerkeleyDBC,SRSSampling,0.0011,0.4577538714301753
BerkeleyDBC,SRSSampling,0.0012,0.5389888226460479
BerkeleyDBC,SRSSampling,0.0013,0.5303084849678728
BerkeleyDBC,SRSSampling,0.0014,0.5217120480521115
BerkeleyDBC,SRSSampling,0.0015,0.513198709226962
BerkeleyDBC,SRSSampling,0.0016,0.5647676734204765
BerkeleyDBC,SRSSampling,0.0017,0.556418153089392
BerkeleyDBC,SRSSampling,0.0018,0.5481493681485279
BerkeleyDBC,SRSSampling,0.0019,0.5399605459009301
BerkeleyDBC,SRSSampling,0.002,0.5818509209686182
BerkeleyDBC,SRSSampling,0.0021,0.5738197352239827
BerkeleyDBC,SRSSampling,0.0022,0.5658662377218184
BerkeleyDBC,SRSSampling,0.0023,0.5579896846319902
BerkeleyDBC,SRSSampling,0.0024,0.5801893391727205
BerkeleyDBC,SRSSampling,0.0025,0.5724644715444981
BerkeleyDBC,SRSSampling,0.0026,0.5648143588645903
BerkeleyDBC,SRSSampling,0.0027,0.5572382851022059
BerkeleyDBC,SRSSampling,0.0028,0.5597355410141743
BerkeleyDBC,SRSSampling,0.0029,0.5523054240813073
BerkeleyDBC,SRSSampling,0.003,0.5449472384453085
BerkeleyDBC,SRSSampling,0.0031,0.5376602948462765
BerkeleyDBC,SRSSampling,0.0032,0.54044391056079
BerkeleyDBC,SRSSampling,0.0033,0.5332974093405651
BerkeleyDBC,SRSSampling,0.0034,0.526220121351685
BerkeleyDBC,SRSSampling,0.0035,0.519211383114392
BerkeleyDBC,SRSSampling,0.0036,0.5222705374434314
BerkeleyDBC,SRSSampling,0.0037,0.5153969333889896
BerkeleyDBC,SRSSampling,0.0038,0.5085899261781007
BerkeleyDBC,SRSSampling,0.0039,0.5018488771566779
BerkeleyDBC,SRSSampling,0.004,0.4951731537320425
BerkeleyDBC,SRSSampling,0.0041,0.4885621293159954
BerkeleyDBC,SRSSampling,0.0042,0.4820151832684186
BerkeleyDBC,SRSSampling,0.0043,0.4755317008413988
BerkeleyDBC,SRSSampling,0.0044,0.4691110731238727
BerkeleyDBC,SRSSampling,0.0045,0.4627526969867847
BerkeleyDBC,SRSSampling,0.0046,0.4564559750287492
BerkeleyDBC,SRSSampling,0.0047,0.5002203155222521
BerkeleyDBC,SRSSampling,0.0048,0.4940451323602827
BerkeleyDBC,SRSSampling,0.0049,0.4879298450035321
BerkeleyDBC,SRSSampling,0.005,0.4818738784280477
BerkeleyDBC,SRSSampling,0.0051,0.4758766630733816
BerkeleyDBC,SRSSampling,0.0052,0.4699376347912206
BerkeleyDBC,SRSSampling,0.0053,0.4640562347944955
BerkeleyDBC,SRSSampling,0.0054,0.4582319096069625
BerkeleyDBC,SRSSampling,0.0055,0.4524641110132547
BerkeleyDBC,SRSSampling,0.0056,0.4467522960093913
BerkeleyDBC,SRSSampling,0.0057,0.4410959267537805
BerkeleyDBC,SRSSampling,0.0058,0.4354944705186129
BerkeleyDBC,SRSSampling,0.0059,0.4299473996417726
BerkeleyDBC,SRSSampling,0.006,0.4244541914791638
BerkeleyDBC,SRSSampling,0.0061,0.4190143283574872
BerkeleyDBC,SRSSampling,0.0062,0.4136272975274562
BerkeleyDBC,SRSSampling,0.0063,0.4082925911174494
BerkeleyDBC,SRSSampling,0.0064,0.4030097060875941
BerkeleyDBC,SRSSampling,0.0065,0.397778144184278
BerkeleyDBC,SRSSampling,0.0066,0.3925974118950778
BerkeleyDBC,SRSSampling,0.0067,0.3974670204041383
BerkeleyDBC,SRSSampling,0.0068,0.3923864855479076
BerkeleyDBC,SRSSampling,0.0069,0.3873553277713446
BerkeleyDBC,SRSSampling,0.007,0.3823730720845032
BerkeleyDBC,SRSSampling,0.0071,0.3774392480195295
BerkeleyDBC,SRSSampling,0.0072,0.3725533895880576
BerkeleyDBC,SRSSampling,0.0073,0.3677150352390046
BerkeleyDBC,SRSSampling,0.0074,0.3629237278167568
BerkeleyDBC,SRSSampling,0.0075,0.3581790145197484
BerkeleyDBC,SRSSampling,0.0076,0.3534804468594182
BerkeleyDBC,SRSSampling,0.0077,0.3488275806195783
BerkeleyDBC,SRSSampling,0.0078,0.3442199758161067
BerkeleyDBC,SRSSampling,0.0079,0.3396571966570706
BerkeleyDBC,SRSSampling,0.008,0.3351388115031931
BerkeleyDBC,SRSSampling,0.0081,0.3306643928286962
BerkeleyDBC,SRSSampling,0.0082,0.3262335171825076
BerkeleyDBC,SRSSampling,0.0083,0.3218457651498299
BerkeleyDBC,SRSSampling,0.0084,0.3175007213140692
BerkeleyDBC,SRSSampling,0.0085,0.3131979742191181
BerkeleyDBC,SRSSampling,0.0086,0.3089371163319855
BerkeleyDBC,SRSSampling,0.0087,0.3047177440058012
BerkeleyDBC,SRSSampling,0.0088,0.3005394574431158
BerkeleyDBC,SRSSampling,0.0089,0.2964018606595925
BerkeleyDBC,SRSSampling,0.009,0.2923045614480136
BerkeleyDBC,SRSSampling,0.0091,0.2882471713426275
BerkeleyDBC,SRSSampling,0.0092,0.2842293055838297
BerkeleyDBC,SRSSampling,0.0093,0.2802505830831724
BerkeleyDBC,SRSSampling,0.0094,0.2963106263887022
BerkeleyDBC,SRSSampling,0.0095,0.2924090616506207
BerkeleyDBC,SRSSampling,0.0096,0.2885455185872626
BerkeleyDBC,SRSSampling,0.0097,0.2847196304514116
BerkeleyDBC,SRSSampling,0.0098,0.2809310339968903
BerkeleyDBC,SRSSampling,0.0099,0.2771793694455033
BerkeleyDBC,SRSSampling,0.01,0.2734642804542692
BerkeleyDBC,SRSSampling,0.0101,0.2697854140829621
BerkeleyDBC,SRSSampling,0.0102,0.2661424207619578
BerkeleyDBC,SRSSampling,0.0103,0.2625349542603797
BerkeleyDBC,SRSSampling,0.0104,0.2589626716545428
BerkeleyDBC,SRSSampling,0.0105,0.2554252332966925
BerkeleyDBC,SRSSampling,0.0106,0.2519223027840331
BerkeleyDBC,SRSSampling,0.0107,0.2484535469280637
BerkeleyDBC,SRSSampling,0.0108,0.2450186357241636
BerkeleyDBC,SRSSampling,0.0109,0.2416172423214996
