Case Study,Sampling Strategy,Robustness,Confidence Difference
BerkeleyDBC,divDistBased,0.0,0.0
BerkeleyDBC,divDistBased,0.001,-0.0733955505919242
BerkeleyDBC,divDistBased,0.002,-0.1581490790313817
BerkeleyDBC,divDistBased,0.003,0.2149472384453084
BerkeleyDBC,divDistBased,0.004,0.1451731537320425
BerkeleyDBC,divDistBased,0.005,0.0918738784280477
BerkeleyDBC,divDistBased,0.006,0.0344541914791638
BerkeleyDBC,divDistBased,0.007,-0.0176269279154968
BerkeleyDBC,divDistBased,0.008,0.0651388115031931
BerkeleyDBC,divDistBased,0.009,0.0323045614480136
BerkeleyDBC,divDistBased,0.01,-0.0065357195457308
BerkeleyDBC,divDistBased,0.011,-0.0417509570068023
BerkeleyDBC,divDistBased,0.012,-0.0736763208128896
BerkeleyDBC,divDistBased,0.013,-0.102616284196595
BerkeleyDBC,divDistBased,0.014,-0.1288474082203623
BerkeleyDBC,divDistBased,0.015,-0.1526208761169962
BerkeleyDBC,divDistBased,0.016,-0.1741647997458495
BerkeleyDBC,divDistBased,0.017,-0.183686318455154
BerkeleyDBC,divDistBased,0.018,-0.2013735088522378
BerkeleyDBC,divDistBased,0.019,-0.2173971223507297
BerkeleyDBC,divDistBased,0.02,-0.2319121658738515
BerkeleyDBC,divDistBased,0.021,-0.2450593397331726
BerkeleyDBC,divDistBased,0.022,-0.2069663454614984
BerkeleyDBC,divDistBased,0.023,-0.2177490752465625
BerkeleyDBC,divDistBased,0.024,-0.2275126935794553
BerkeleyDBC,divDistBased,0.025,-0.2363526207896579
BerkeleyDBC,divDistBased,0.026,-0.234355427279247
BerkeleyDBC,divDistBased,0.027,-0.2015996464851301
BerkeleyDBC,divDistBased,0.028,-0.2081565138834471
BerkeleyDBC,divDistBased,0.029,-0.2140906386985502
BerkeleyDBC,divDistBased,0.03,-0.209460614384732
BerkeleyDBC,divDistBased,0.031,-0.2143195734071039
BerkeleyDBC,divDistBased,0.032,-0.2187156913541482
BerkeleyDBC,divDistBased,0.033,-0.222692644964275
BerkeleyDBC,divDistBased,0.034,-0.2262900282384001
BerkeleyDBC,divDistBased,0.035,-0.2295437304366151
BerkeleyDBC,divDistBased,0.036,-0.2324862794162552
BerkeleyDBC,divDistBased,0.037,-0.2351471534581799
BerkeleyDBC,divDistBased,0.038,-0.2375530644451877
BerkeleyDBC,divDistBased,0.039,-0.0197282149987743
