Case Study,Sampling Strategy,Robustness,Confidence Difference
BerkeleyDBC,random,0.0,0.0
BerkeleyDBC,random,0.0001,0.000247378264551
BerkeleyDBC,random,0.0002,-0.0094110910100141
BerkeleyDBC,random,0.0003,-0.0189763074967879
BerkeleyDBC,random,0.0004,-0.0084491623607461
BerkeleyDBC,random,0.0005,-0.0178305383383697
BerkeleyDBC,random,0.0006,-0.0271213098165386
BerkeleyDBC,random,0.0007,-0.0363223429106448
BerkeleyDBC,random,0.0008,0.0045655044579165
BerkeleyDBC,random,0.0009,-0.0044586175149244
BerkeleyDBC,random,0.001,-0.0133955505919242
BerkeleyDBC,random,0.0011,-0.0222461285698247
BerkeleyDBC,random,0.0012,0.0289888226460478
BerkeleyDBC,random,0.0013,0.0203084849678727
BerkeleyDBC,random,0.0014,0.0117120480521114
BerkeleyDBC,random,0.0015,0.0031987092269619
BerkeleyDBC,random,0.0016,0.0247676734204765
BerkeleyDBC,random,0.0017,0.016418153089392
BerkeleyDBC,random,0.0018,0.0081493681485279
BerkeleyDBC,random,0.0019,-3.945409906983e-05
BerkeleyDBC,random,0.002,0.0218509209686182
BerkeleyDBC,random,0.0021,0.0138197352239826
BerkeleyDBC,random,0.0022,0.0058662377218184
BerkeleyDBC,random,0.0023,-0.0020103153680098
BerkeleyDBC,random,0.0024,0.0201893391727205
BerkeleyDBC,random,0.0025,0.012464471544498
BerkeleyDBC,random,0.0026,0.0048143588645902
BerkeleyDBC,random,0.0027,-0.0027617148977941
BerkeleyDBC,random,0.0028,0.0297355410141743
BerkeleyDBC,random,0.0029,0.0223054240813073
BerkeleyDBC,random,0.003,0.0149472384453084
BerkeleyDBC,random,0.0031,0.0076602948462765
BerkeleyDBC,random,0.0032,0.0204439105607899
BerkeleyDBC,random,0.0033,0.013297409340565
BerkeleyDBC,random,0.0034,0.0062201213516849
BerkeleyDBC,random,0.0035,-0.0007886168856081
BerkeleyDBC,random,0.0036,0.0222705374434314
BerkeleyDBC,random,0.0037,0.0153969333889896
BerkeleyDBC,random,0.0038,0.0085899261781007
BerkeleyDBC,random,0.0039,0.0018488771566779
BerkeleyDBC,random,0.004,0.0151731537320425
BerkeleyDBC,random,0.0041,0.0085621293159954
BerkeleyDBC,random,0.0042,0.0020151832684187
BerkeleyDBC,random,0.0043,0.0155317008413988
BerkeleyDBC,random,0.0044,0.0091110731238727
BerkeleyDBC,random,0.0045,0.0027526969867847
BerkeleyDBC,random,0.0046,-0.0035440249712507
BerkeleyDBC,random,0.0047,0.0202203155222521
BerkeleyDBC,random,0.0048,0.0140451323602827
BerkeleyDBC,random,0.0049,0.0079298450035321
BerkeleyDBC,random,0.005,0.0018738784280477
BerkeleyDBC,random,0.0051,0.0158766630733815
BerkeleyDBC,random,0.0052,0.0099376347912206
BerkeleyDBC,random,0.0053,0.0040562347944955
BerkeleyDBC,random,0.0054,-0.0017680903930375
BerkeleyDBC,random,0.0055,0.0024641110132546
BerkeleyDBC,random,0.0056,-0.0032477039906086
BerkeleyDBC,random,0.0057,-0.0089040732462195
BerkeleyDBC,random,0.0058,-0.0145055294813871
BerkeleyDBC,random,0.0059,-5.260035822735043e-05
BerkeleyDBC,random,0.006,-0.0055458085208361
BerkeleyDBC,random,0.0061,-0.0109856716425127
BerkeleyDBC,random,0.0062,-0.0163727024725438
BerkeleyDBC,random,0.0063,0.0182925911174494
BerkeleyDBC,random,0.0064,0.0130097060875941
BerkeleyDBC,random,0.0065,0.007778144184278
BerkeleyDBC,random,0.0066,0.0025974118950777
BerkeleyDBC,random,0.0067,-0.0025329795958617
BerkeleyDBC,random,0.0068,-0.0076135144520923
BerkeleyDBC,random,0.0069,-0.0126446722286553
BerkeleyDBC,random,0.007,-0.0176269279154968
BerkeleyDBC,random,0.0071,0.0174392480195295
BerkeleyDBC,random,0.0072,0.0125533895880576
BerkeleyDBC,random,0.0073,0.0077150352390046
BerkeleyDBC,random,0.0074,0.0029237278167568
BerkeleyDBC,random,0.0075,0.0081790145197484
BerkeleyDBC,random,0.0076,0.0034804468594182
BerkeleyDBC,random,0.0077,-0.0011724193804216
BerkeleyDBC,random,0.0078,-0.0057800241838932
BerkeleyDBC,random,0.0079,-0.0003428033429293
BerkeleyDBC,random,0.008,-0.0048611884968068
BerkeleyDBC,random,0.0081,-0.0093356071713037
BerkeleyDBC,random,0.0082,-0.0137664828174923
BerkeleyDBC,random,0.0083,-0.00815423485017
BerkeleyDBC,random,0.0084,-0.0124992786859307
BerkeleyDBC,random,0.0085,-0.0168020257808818
BerkeleyDBC,random,0.0086,-0.0210628836680144
BerkeleyDBC,random,0.0087,-0.0252822559941987
BerkeleyDBC,random,0.0088,-0.0294605425568841
BerkeleyDBC,random,0.0089,-0.0335981393404074
BerkeleyDBC,random,0.009,-0.0276954385519863
BerkeleyDBC,random,0.0091,-0.0317528286573723
BerkeleyDBC,random,0.0092,-0.0357706944161702
BerkeleyDBC,random,0.0093,-0.0397494169168275
BerkeleyDBC,random,0.0094,-0.0336893736112978
BerkeleyDBC,random,0.0095,-0.0375909383493793
BerkeleyDBC,random,0.0096,-0.0414544814127374
BerkeleyDBC,random,0.0097,-0.0452803695485884
BerkeleyDBC,random,0.0098,-0.0290689660031097
BerkeleyDBC,random,0.0099,-0.0328206305544966
BerkeleyDBC,random,0.01,-0.0365357195457308
BerkeleyDBC,random,0.0101,-0.0402145859170379
BerkeleyDBC,random,0.0102,-0.0338575792380422
BerkeleyDBC,random,0.0103,-0.0374650457396202
BerkeleyDBC,random,0.0104,-0.0410373283454572
BerkeleyDBC,random,0.0105,-0.0445747667033075
BerkeleyDBC,random,0.0106,-0.0180776972159668
BerkeleyDBC,random,0.0107,-0.0215464530719362
BerkeleyDBC,random,0.0108,-0.0249813642758364
BerkeleyDBC,random,0.0109,-0.0283827576785004
