Case Study,Sampling Strategy,Robustness,Confidence Difference
BerkeleyDBC,solverBased,0.0,0.0
BerkeleyDBC,solverBased,0.0001,-0.0097526217354489
BerkeleyDBC,solverBased,0.0002,-0.0194110910100141
BerkeleyDBC,solverBased,0.0003,-0.0289763074967879
BerkeleyDBC,solverBased,0.0004,-0.0384491623607461
BerkeleyDBC,solverBased,0.0005,-0.0478305383383697
BerkeleyDBC,solverBased,0.0006,-0.0571213098165386
BerkeleyDBC,solverBased,0.0007,-0.0663223429106448
BerkeleyDBC,solverBased,0.0008,-0.0754344955420834
BerkeleyDBC,solverBased,0.0009,-0.0844586175149244
BerkeleyDBC,solverBased,0.001,-0.0933955505919242
BerkeleyDBC,solverBased,0.0011,-0.1022461285698247
BerkeleyDBC,solverBased,0.0012,-0.1110111773539521
BerkeleyDBC,solverBased,0.0013,-0.1196915150321272
BerkeleyDBC,solverBased,0.0014,-0.1282879519478885
BerkeleyDBC,solverBased,0.0015,-0.136801290773038
BerkeleyDBC,solverBased,0.0016,-0.1452323265795234
BerkeleyDBC,solverBased,0.0017,-0.1535818469106079
BerkeleyDBC,solverBased,0.0018,-0.161850631851472
BerkeleyDBC,solverBased,0.0019,-0.1700394540990698
BerkeleyDBC,solverBased,0.002,-0.1781490790313817
BerkeleyDBC,solverBased,0.0021,-0.1861802647760173
BerkeleyDBC,solverBased,0.0022,-0.1941337622781815
BerkeleyDBC,solverBased,0.0023,-0.2020103153680098
BerkeleyDBC,solverBased,0.0024,-0.2098106608272795
BerkeleyDBC,solverBased,0.0025,-0.2175355284555019
BerkeleyDBC,solverBased,0.0026,-0.2251856411354097
BerkeleyDBC,solverBased,0.0027,-0.2327617148977941
BerkeleyDBC,solverBased,0.0028,-0.2402644589858257
BerkeleyDBC,solverBased,0.0029,-0.2476945759186927
BerkeleyDBC,solverBased,0.003,-0.2550527615546916
BerkeleyDBC,solverBased,0.0031,-0.2623397051537235
BerkeleyDBC,solverBased,0.0032,-0.26955608943921
BerkeleyDBC,solverBased,0.0033,-0.2767025906594349
BerkeleyDBC,solverBased,0.0034,-0.283779878648315
BerkeleyDBC,solverBased,0.0035,-0.2907886168856081
BerkeleyDBC,solverBased,0.0036,-0.2977294625565685
BerkeleyDBC,solverBased,0.0037,-0.3046030666110103
BerkeleyDBC,solverBased,0.0038,-0.3114100738218992
BerkeleyDBC,solverBased,0.0039,-0.318151122843322
BerkeleyDBC,solverBased,0.004,-0.3248268462679574
BerkeleyDBC,solverBased,0.0041,-0.3314378706840045
BerkeleyDBC,solverBased,0.0042,-0.3379848167315813
BerkeleyDBC,solverBased,0.0043,-0.3444682991586011
BerkeleyDBC,solverBased,0.0044,-0.3508889268761272
BerkeleyDBC,solverBased,0.0045,-0.3572473030132153
BerkeleyDBC,solverBased,0.0046,-0.3635440249712507
BerkeleyDBC,solverBased,0.0047,-0.3697796844777479
BerkeleyDBC,solverBased,0.0048,-0.3759548676397173
BerkeleyDBC,solverBased,0.0049,-0.3820701549964679
BerkeleyDBC,solverBased,0.005,-0.3881261215719522
BerkeleyDBC,solverBased,0.0051,-0.3941233369266184
BerkeleyDBC,solverBased,0.0052,-0.4000623652087793
BerkeleyDBC,solverBased,0.0053,-0.4059437652055044
BerkeleyDBC,solverBased,0.0054,-0.4117680903930375
BerkeleyDBC,solverBased,0.0055,-0.4175358889867453
BerkeleyDBC,solverBased,0.0056,-0.4232477039906086
BerkeleyDBC,solverBased,0.0057,-0.4289040732462195
BerkeleyDBC,solverBased,0.0058,-0.4345055294813871
BerkeleyDBC,solverBased,0.0059,-0.4400526003582273
BerkeleyDBC,solverBased,0.006,-0.4455458085208361
BerkeleyDBC,solverBased,0.0061,-0.4509856716425128
BerkeleyDBC,solverBased,0.0062,-0.4563727024725438
BerkeleyDBC,solverBased,0.0063,-0.4617074088825506
BerkeleyDBC,solverBased,0.0064,-0.4669902939124059
BerkeleyDBC,solverBased,0.0065,-0.4722218558157219
BerkeleyDBC,solverBased,0.0066,-0.4774025881049222
BerkeleyDBC,solverBased,0.0067,-0.4825329795958617
BerkeleyDBC,solverBased,0.0068,-0.4876135144520923
BerkeleyDBC,solverBased,0.0069,-0.4926446722286554
BerkeleyDBC,solverBased,0.007,-0.4976269279154968
BerkeleyDBC,solverBased,0.0071,-0.5025607519804705
BerkeleyDBC,solverBased,0.0072,-0.5074466104119424
BerkeleyDBC,solverBased,0.0073,-0.5122849647609954
BerkeleyDBC,solverBased,0.0074,-0.5170762721832431
BerkeleyDBC,solverBased,0.0075,-0.5218209854802516
BerkeleyDBC,solverBased,0.0076,-0.5265195531405817
BerkeleyDBC,solverBased,0.0077,-0.5311724193804217
BerkeleyDBC,solverBased,0.0078,-0.5357800241838933
BerkeleyDBC,solverBased,0.0079,-0.5403428033429294
BerkeleyDBC,solverBased,0.008,-0.5448611884968069
BerkeleyDBC,solverBased,0.0081,-0.5493356071713038
BerkeleyDBC,solverBased,0.0082,-0.5537664828174924
BerkeleyDBC,solverBased,0.0083,-0.5581542348501701
BerkeleyDBC,solverBased,0.0084,-0.5624992786859307
BerkeleyDBC,solverBased,0.0085,-0.5668020257808819
BerkeleyDBC,solverBased,0.0086,-0.5710628836680145
BerkeleyDBC,solverBased,0.0087,-0.5752822559941988
BerkeleyDBC,solverBased,0.0088,-0.5794605425568842
BerkeleyDBC,solverBased,0.0089,-0.5835981393404075
BerkeleyDBC,solverBased,0.009,-0.5876954385519864
BerkeleyDBC,solverBased,0.0091,-0.5917528286573724
BerkeleyDBC,solverBased,0.0092,-0.5957706944161703
BerkeleyDBC,solverBased,0.0093,-0.5997494169168276
BerkeleyDBC,solverBased,0.0094,-0.6036893736112978
BerkeleyDBC,solverBased,0.0095,-0.6075909383493793
BerkeleyDBC,solverBased,0.0096,-0.6114544814127374
BerkeleyDBC,solverBased,0.0097,-0.6152803695485884
BerkeleyDBC,solverBased,0.0098,-0.6190689660031097
BerkeleyDBC,solverBased,0.0099,-0.6228206305544967
BerkeleyDBC,solverBased,0.01,-0.6265357195457308
BerkeleyDBC,solverBased,0.0101,-0.6302145859170379
BerkeleyDBC,solverBased,0.0102,-0.6338575792380422
BerkeleyDBC,solverBased,0.0103,-0.6374650457396203
BerkeleyDBC,solverBased,0.0104,-0.6410373283454572
BerkeleyDBC,solverBased,0.0105,-0.6445747667033075
BerkeleyDBC,solverBased,0.0106,-0.6480776972159669
BerkeleyDBC,solverBased,0.0107,-0.6515464530719363
BerkeleyDBC,solverBased,0.0108,-0.6549813642758364
BerkeleyDBC,solverBased,0.0109,-0.6583827576785004
