Case Study,Sampling Strategy,Robustness,Confidence Difference
BerkeleyDBC,solverBased,0.0,0.0
BerkeleyDBC,solverBased,0.01,-0.6265357195457308
BerkeleyDBC,solverBased,0.02,-0.8619121658738516
BerkeleyDBC,solverBased,0.03,-0.949460614384732
BerkeleyDBC,solverBased,0.04,-0.9816945319456928
BerkeleyDBC,solverBased,0.05,-0.9934398568195744
BerkeleyDBC,solverBased,0.06,-0.997674428734129
BerkeleyDBC,solverBased,0.07,-0.999184678380826
BerkeleyDBC,solverBased,0.08,-0.9997173772747436
BerkeleyDBC,solverBased,0.09,-0.9999031596283552
BerkeleyDBC,solverBased,0.1,-0.9999672081495214
BerkeleyDBC,solverBased,0.11,-0.9999890296457664
BerkeleyDBC,solverBased,0.12,-0.999996375051251
BerkeleyDBC,solverBased,0.13,-0.9999988172668852
BerkeleyDBC,solverBased,0.14,-0.999999619067329
