Case Study,Sampling Strategy,Robustness,Confidence Difference
Dune,SRSSampling,0.0,0.0
Dune,SRSSampling,0.0001,0.3337493687263649
Dune,SRSSampling,0.0002,0.3081853104141897
Dune,SRSSampling,0.0003,0.2832899340619431
Dune,SRSSampling,0.0004,0.2590458131591915
Dune,SRSSampling,0.0005,0.4654359736720179
Dune,SRSSampling,0.0006,0.4424438823380301
Dune,SRSSampling,0.0007,0.4200534352631618
Dune,SRSSampling,0.0008,0.3982489468121396
Dune,SRSSampling,0.0009,0.4370151387855785
Dune,SRSSampling,0.001,0.4163371298759676
Dune,SRSSampling,0.0011,0.3962004253955339
Dune,SRSSampling,0.0012,0.376590907268975
Dune,SRSSampling,0.0013,0.3574948242842568
Dune,SRSSampling,0.0014,0.4288987825948466
Dune,SRSSampling,0.0015,0.4107897364669206
Dune,SRSSampling,0.0016,0.3931549792652316
Dune,SRSSampling,0.0017,0.3759821346716192
Dune,SRSSampling,0.0018,0.3992591481298945
Dune,SRSSampling,0.0019,0.3829742785116653
Dune,SRSSampling,0.002,0.3671160899971338
Dune,SRSSampling,0.0021,0.3516734441654551
Dune,SRSSampling,0.0022,0.3766354922892487
Dune,SRSSampling,0.0023,0.3619916678280154
Dune,SRSSampling,0.0024,0.3477316791153403
Dune,SRSSampling,0.0025,0.3338455022349026
Dune,SRSSampling,0.0026,0.3203233740804176
Dune,SRSSampling,0.0027,0.3471557855948696
Dune,SRSSampling,0.0028,0.3343334751841994
Dune,SRSSampling,0.0029,0.3218474223012574
Dune,SRSSampling,0.003,0.3096888411954137
Dune,SRSSampling,0.0031,0.3078491748236561
Dune,SRSSampling,0.0032,0.2963200889190011
Dune,SRSSampling,0.0033,0.285093466212171
Dune,SRSSampling,0.0034,0.2741614008025904
Dune,SRSSampling,0.0035,0.283516192674858
Dune,SRSSampling,0.0036,0.2731503423569387
Dune,SRSSampling,0.0037,0.26305654571649
Dune,SRSSampling,0.0038,0.2532276888916024
Dune,SRSSampling,0.0039,0.2436568433527103
Dune,SRSSampling,0.004,0.2443372610921335
Dune,SRSSampling,0.0041,0.2352623699380214
Dune,SRSSampling,0.0042,0.2264257689894898
Dune,SRSSampling,0.0043,0.2178212241698242
Dune,SRSSampling,0.0044,0.2494426638947078
Dune,SRSSampling,0.0045,0.2412841748525125
Dune,SRSSampling,0.0046,0.2333399978937518
Dune,SRSSampling,0.0047,0.2256045240269372
Dune,SRSSampling,0.0048,0.2280722905179641
Dune,SRSSampling,0.0049,0.2207379770905319
Dune,SRSSampling,0.005,0.2135964022248613
Dune,SRSSampling,0.0051,0.2066425195522302
Dune,SRSSampling,0.0052,0.1998714143428441
Dune,SRSSampling,0.0053,0.1932783000846367
Dune,SRSSampling,0.0054,0.1868585151506543
Dune,SRSSampling,0.0055,0.1806075195527388
Dune,SRSSampling,0.0056,0.1745208917792768
Dune,SRSSampling,0.0057,0.1785943257148854
Dune,SRSSampling,0.0058,0.1728236276398196
Dune,SRSSampling,0.0059,0.1672047133071799
Dune,SRSSampling,0.006,0.161733605095809
Dune,SRSSampling,0.0061,0.1664064292369661
Dune,SRSSampling,0.0062,0.1612194131128669
Dune,SRSSampling,0.0063,0.1561688826252337
Dune,SRSSampling,0.0064,0.1512512596320493
Dune,SRSSampling,0.0065,0.1464630594507511
Dune,SRSSampling,0.0066,0.1418008884261478
Dune,SRSSampling,0.0067,0.1372614415614146
Dune,SRSSampling,0.0068,0.1328415002104636
Dune,SRSSampling,0.0069,0.1285379298302036
Dune,SRSSampling,0.007,0.1343476777910683
Dune,SRSSampling,0.0071,0.1302677712443356
Dune,SRSSampling,0.0072,0.1262953150447666
Dune,SRSSampling,0.0073,0.1224274897271352
Dune,SRSSampling,0.0074,0.1186615495352536
Dune,SRSSampling,0.0075,0.1149948205021393
Dune,SRSSampling,0.0076,0.1114246985799962
Dune,SRSSampling,0.0077,0.1079486478187451
Dune,SRSSampling,0.0078,0.1045641985917905
Dune,SRSSampling,0.0079,0.1012689458678813
Dune,SRSSampling,0.008,0.0980605475278126
Dune,SRSSampling,0.0081,0.0949367227248338
Dune,SRSSampling,0.0082,0.0918952502876286
Dune,SRSSampling,0.0083,0.0889339671647653
Dune,SRSSampling,0.0084,0.086050766909544
Dune,SRSSampling,0.0085,0.0832435982041976
Dune,SRSSampling,0.0086,0.0805104634224221
Dune,SRSSampling,0.0087,0.0778494172292654
Dune,SRSSampling,0.0088,0.07525856521736
Dune,SRSSampling,0.0089,0.0727360625786223
Dune,SRSSampling,0.009,0.0702801128104509
Dune,SRSSampling,0.0091,0.0678889664555539
Dune,SRSSampling,0.0092,0.0655609198745259
Dune,SRSSampling,0.0093,0.0632943140503329
Dune,SRSSampling,0.0094,0.0610875334238726
Dune,SRSSampling,0.0095,0.0589390047598106
Dune,SRSSampling,0.0096,0.0568471960419021
Dune,SRSSampling,0.0097,0.0548106153970514
Dune,SRSSampling,0.0098,0.0528278100473295
Dune,SRSSampling,0.0099,0.0508973652892706
Dune,SRSSampling,0.01,0.0490179034997088
Dune,SRSSampling,0.0101,0.0471880831674766
Dune,SRSSampling,0.0102,0.045406597950298
Dune,SRSSampling,0.0103,0.0436721757562178
Dune,SRSSampling,0.0104,0.0419835778489359
Dune,SRSSampling,0.0105,0.0403395979764233
Dune,SRSSampling,0.0106,0.0387390615222164
Dune,SRSSampling,0.0107,0.0371808246788106
Dune,SRSSampling,0.0108,0.0356637736425564
Dune,SRSSampling,0.0109,0.0341868238295316
