Case Study,Sampling Strategy,Robustness,Confidence Difference
Dune,divDistBased,0.0,0.0
Dune,divDistBased,0.001,0.0663371298759675
Dune,divDistBased,0.002,0.0271160899971338
Dune,divDistBased,0.003,0.0296888411954137
Dune,divDistBased,0.004,0.0543372610921334
Dune,divDistBased,0.005,-0.0064035977751386
Dune,divDistBased,0.006,-0.0382663949041909
Dune,divDistBased,0.007,0.0443476777910684
Dune,divDistBased,0.008,0.1080605475278126
Dune,divDistBased,0.009,0.090280112810451
Dune,divDistBased,0.01,0.0690179034997088
