Case Study,Sampling Strategy,Robustness,Confidence Difference
Dune,random,0.0,0.0
Dune,random,0.0001,0.1837493687263649
Dune,random,0.0002,0.1581853104141897
Dune,random,0.0003,0.1332899340619431
Dune,random,0.0004,0.1090458131591915
Dune,random,0.0005,0.1254359736720179
Dune,random,0.0006,0.1024438823380301
Dune,random,0.0007,0.0800534352631618
Dune,random,0.0008,0.0582489468121396
Dune,random,0.0009,0.1170151387855785
Dune,random,0.001,0.0963371298759676
Dune,random,0.0011,0.0762004253955339
Dune,random,0.0012,0.056590907268975
Dune,random,0.0013,0.0374948242842568
Dune,random,0.0014,0.0788987825948466
Dune,random,0.0015,0.0607897364669206
Dune,random,0.0016,0.0431549792652316
Dune,random,0.0017,0.0259821346716192
Dune,random,0.0018,0.0892591481298944
Dune,random,0.0019,0.0729742785116652
Dune,random,0.002,0.0571160899971338
Dune,random,0.0021,0.041673444165455
Dune,random,0.0022,0.0766354922892488
Dune,random,0.0023,0.0619916678280154
Dune,random,0.0024,0.0477316791153403
Dune,random,0.0025,0.0338455022349026
Dune,random,0.0026,0.0203233740804177
Dune,random,0.0027,0.0671557855948695
Dune,random,0.0028,0.0543334751841994
Dune,random,0.0029,0.0418474223012573
Dune,random,0.003,0.0296888411954137
Dune,random,0.0031,0.0478491748236561
Dune,random,0.0032,0.036320088919001
Dune,random,0.0033,0.025093466212171
Dune,random,0.0034,0.0141614008025904
Dune,random,0.0035,0.013516192674858
Dune,random,0.0036,0.0031503423569386
Dune,random,0.0037,-0.0069434542835099
Dune,random,0.0038,-0.0167723111083976
Dune,random,0.0039,-0.0263431566472897
Dune,random,0.004,-0.0156627389078665
Dune,random,0.0041,-0.0247376300619786
Dune,random,0.0042,-0.0335742310105101
Dune,random,0.0043,-0.0421787758301758
Dune,random,0.0044,-0.010557336105292
Dune,random,0.0045,-0.0187158251474873
Dune,random,0.0046,-0.026660002106248
Dune,random,0.0047,-0.0343954759730626
Dune,random,0.0048,-0.0319277094820358
Dune,random,0.0049,-0.0392620229094681
Dune,random,0.005,-0.0464035977751386
Dune,random,0.0051,-0.0533574804477697
Dune,random,0.0052,-0.0601285856571558
Dune,random,0.0053,-0.0267216999153632
Dune,random,0.0054,-0.0331414848493456
Dune,random,0.0055,-0.0393924804472611
Dune,random,0.0056,-0.0454791082207231
Dune,random,0.0057,-0.0314056742851145
Dune,random,0.0058,-0.0371763723601803
Dune,random,0.0059,-0.04279528669282
Dune,random,0.006,-0.0482663949041909
Dune,random,0.0061,-0.0335935707630338
Dune,random,0.0062,-0.038780586887133
Dune,random,0.0063,-0.0438311173747661
Dune,random,0.0064,-0.0487487403679506
Dune,random,0.0065,-0.0535369405492488
Dune,random,0.0066,-0.0181991115738521
Dune,random,0.0067,-0.0227385584385853
Dune,random,0.0068,-0.0271584997895363
Dune,random,0.0069,-0.0314620701697963
Dune,random,0.007,-0.0056523222089316
Dune,random,0.0071,-0.0097322287556643
Dune,random,0.0072,-0.0137046849552333
Dune,random,0.0073,-0.0175725102728647
Dune,random,0.0074,-0.0113384504647463
Dune,random,0.0075,-0.0150051794978606
Dune,random,0.0076,-0.0185753014200037
Dune,random,0.0077,-0.0220513521812548
Dune,random,0.0078,-0.0254358014082094
Dune,random,0.0079,0.0012689458678813
Dune,random,0.008,-0.0019394524721872
Dune,random,0.0081,-0.005063277275166
Dune,random,0.0082,-0.0081047497123712
Dune,random,0.0083,0.0189339671647653
Dune,random,0.0084,0.0160507669095441
Dune,random,0.0085,0.0132435982041977
Dune,random,0.0086,0.0105104634224222
Dune,random,0.0087,0.0078494172292654
Dune,random,0.0088,0.0052585652173601
Dune,random,0.0089,0.0027360625786223
Dune,random,0.009,0.000280112810451
Dune,random,0.0091,-0.0021110335444459
Dune,random,0.0092,-0.004439080125474
Dune,random,0.0093,-0.006705685949667
Dune,random,0.0094,-0.0089124665761273
Dune,random,0.0095,-0.0110609952401893
Dune,random,0.0096,-0.0031528039580978
Dune,random,0.0097,-0.0051893846029484
Dune,random,0.0098,-0.0071721899526704
Dune,random,0.0099,-0.0091026347107292
Dune,random,0.01,-0.0009820965002911
Dune,random,0.0101,-0.0028119168325232
Dune,random,0.0102,-0.0045934020497019
Dune,random,0.0103,-0.006327824243782
Dune,random,0.0104,-0.008016422151064
Dune,random,0.0105,0.0003395979764233
Dune,random,0.0106,-0.0012609384777836
Dune,random,0.0107,-0.0028191753211893
Dune,random,0.0108,-0.0043362263574435
Dune,random,0.0109,0.0041868238295316
