Case Study,Sampling Strategy,Robustness,Confidence Difference
Dune,solverBased,0.0,0.0
Dune,solverBased,0.001,-0.0836628701240324
Dune,solverBased,0.002,-0.2528839100028661
Dune,solverBased,0.003,-0.3203111588045862
Dune,solverBased,0.004,-0.4156627389078665
Dune,solverBased,0.005,-0.2764035977751386
Dune,solverBased,0.006,-0.3082663949041909
Dune,solverBased,0.007,-0.3056523222089315
Dune,solverBased,0.008,0.0580605475278126
Dune,solverBased,0.009,0.0302801128104509
Dune,solverBased,0.01,0.0290179034997087
