Case Study,Sampling Strategy,Robustness,Confidence Difference
Dune,solverBased,0.0,0.0
Dune,solverBased,0.001,-0.0836628701240324
Dune,solverBased,0.002,-0.2528839100028661
Dune,solverBased,0.003,-0.3203111588045862
Dune,solverBased,0.004,-0.4156627389078665
Dune,solverBased,0.005,-0.2764035977751386
Dune,solverBased,0.006,-0.3082663949041909
Dune,solverBased,0.007,-0.3056523222089315
Dune,solverBased,0.008,0.0580605475278126
Dune,solverBased,0.009,0.0302801128104509
Dune,solverBased,0.01,0.0290179034997087
Dune,solverBased,0.011,0.0127489191118225
Dune,solverBased,0.012,0.0003039174194561
Dune,solverBased,0.013,-0.0092133375442842
Dune,solverBased,0.014,-0.0164896348520056
Dune,solverBased,0.015,-0.0220511217219276
Dune,solverBased,0.016,-0.0263007691950593
Dune,solverBased,0.017,-0.0295471253272754
Dune,solverBased,0.018,-0.0320263760205541
Dune,solverBased,0.019,-0.0339192665974656
Dune,solverBased,0.02,-0.0353640778514883
Dune,solverBased,0.021,-0.0264665738433691
Dune,solverBased,0.022,-0.0273076260896586
Dune,solverBased,0.023,-0.0279490553064718
Dune,solverBased,0.024,-0.0284381062058307
Dune,solverBased,0.025,-0.0288108742715221
Dune,solverBased,0.026,-0.0290949292498278
Dune,solverBased,0.027,-0.029311323107121
Dune,solverBased,0.028,-0.0294761264516831
Dune,solverBased,0.029,-0.029601603829204
Dune,solverBased,0.03,-0.0296971125249594
Dune,solverBased,0.031,-0.0297697897293123
Dune,solverBased,0.032,-0.029825077754408
Dune,solverBased,0.033,-0.0298671253584126
Dune,solverBased,0.034,0.0001009056830383
Dune,solverBased,0.035,7.660645214724315e-05
Dune,solverBased,0.036,5.814214075361423e-05
Dune,solverBased,0.037,4.411561877648573e-05
Dune,solverBased,0.038,3.346333044740302e-05
Dune,solverBased,0.039,2.5375880463140987e-05
Dune,solverBased,0.04,1.9237471459487843e-05
Dune,solverBased,0.041,1.457973087215514e-05
Dune,solverBased,0.042,1.1046518262669558e-05
Dune,solverBased,0.043,8.36710942342389e-06
Dune,solverBased,0.044,6.335769157650439e-06
Dune,solverBased,0.045,4.79619510251883e-06
Dune,solverBased,0.046,3.6296744242436674e-06
Dune,solverBased,0.047,2.7460697860082206e-06
Dune,solverBased,0.048,2.0769606584591926e-06
Dune,solverBased,0.049,1.5704261031590503e-06
Dune,solverBased,0.05,1.1870773181099636e-06
Dune,solverBased,0.051,8.970414386855197e-07
Dune,solverBased,0.052,6.77669175774831e-07
Dune,solverBased,0.053,5.117930863551834e-07
Dune,solverBased,0.054,3.864045955426221e-07
Dune,solverBased,0.055,2.916493839766332e-07
Dune,solverBased,0.056,2.200647503114439e-07
Dune,solverBased,0.057,1.6600083330153836e-07
Dune,solverBased,0.058,1.2518149761220346e-07
Dune,solverBased,0.059,9.437127701517056e-08
Dune,solverBased,0.06,7.112283462173964e-08
Dune,solverBased,0.061,5.3585531456512576e-08
Dune,solverBased,0.062,4.0360357944635445e-08
Dune,solverBased,0.063,3.0390033267657663e-08
Dune,solverBased,0.064,2.2875772276442777e-08
Dune,solverBased,0.065,1.721426534651016e-08
Dune,solverBased,0.066,1.2949979422138824e-08
Dune,solverBased,0.067,9.739064332769942e-09
Dune,solverBased,0.068,7.322049966340671e-09
Dune,solverBased,0.069,5.503198008405263e-09
