Case Study,Sampling Strategy,Robustness,Confidence Difference
Hipacc,SRSSampling,0.0,0.0
Hipacc,SRSSampling,0.001,0.3698055931223125
Hipacc,SRSSampling,0.002,0.1645766870211478
Hipacc,SRSSampling,0.003,0.0791978906968355
Hipacc,SRSSampling,0.004,0.0339532717648259
Hipacc,SRSSampling,0.005,0.0145438755398982
Hipacc,SRSSampling,0.006,0.0062245567575356
Hipacc,SRSSampling,0.007,0.002661740606625
Hipacc,SRSSampling,0.008,0.0011372378303791
Hipacc,SRSSampling,0.009,0.0004854722223388
Hipacc,SRSSampling,0.01,0.0002070638288379
