Case Study,Sampling Strategy,Robustness,Confidence Difference
Hipacc,divDistBased,0.0,0.0
Hipacc,divDistBased,0.0001,0.2090596784387802
Hipacc,divDistBased,0.0002,0.4546635621153919
Hipacc,divDistBased,0.0003,0.5362831140849529
Hipacc,divDistBased,0.0004,0.5634324376419101
Hipacc,divDistBased,0.0005,0.5156648400352325
Hipacc,divDistBased,0.0006,0.5325696728033669
Hipacc,divDistBased,0.0007,0.5137694264858863
Hipacc,divDistBased,0.0008,0.4689170592542115
Hipacc,divDistBased,0.0009,0.447693540649142
Hipacc,divDistBased,0.001,0.4098055931223126
Hipacc,divDistBased,0.0011,0.3749836154701012
Hipacc,divDistBased,0.0012,0.3529797735266671
Hipacc,divDistBased,0.0013,0.3235662446588231
Hipacc,divDistBased,0.0014,0.2965336036869948
Hipacc,divDistBased,0.0015,0.2716893388512541
Hipacc,divDistBased,0.0016,0.2488564873562487
Hipacc,divDistBased,0.0017,0.2378723808704261
Hipacc,divDistBased,0.0018,0.2185874921282601
Hipacc,divDistBased,0.0019,0.2008643744967571
Hipacc,divDistBased,0.002,0.1845766870211478
Hipacc,divDistBased,0.0021,0.1696082980671607
Hipacc,divDistBased,0.0022,0.1558524612306804
Hipacc,divDistBased,0.0023,0.1432110576947303
Hipacc,divDistBased,0.0024,0.1315938996819263
Hipacc,divDistBased,0.0025,0.1209180900811304
Hipacc,divDistBased,0.0026,0.1111074337229912
Hipacc,divDistBased,0.0027,0.1020918961432949
Hipacc,divDistBased,0.0028,0.0938071060076938
Hipacc,divDistBased,0.0029,0.0861938976797236
Hipacc,divDistBased,0.003,0.0791978906968355
Hipacc,divDistBased,0.0031,0.0727691031798284
Hipacc,divDistBased,0.0032,0.06686159644048
Hipacc,divDistBased,0.0033,0.0614331482724112
Hipacc,divDistBased,0.0034,0.0564449526127335
Hipacc,divDistBased,0.0035,0.0518613434482578
Hipacc,divDistBased,0.0036,0.04764954101128
Hipacc,divDistBased,0.0037,0.0437794184674609
Hipacc,divDistBased,0.0038,0.0402232874430212
Hipacc,divDistBased,0.0039,0.036955700871779
Hipacc,divDistBased,0.004,0.0339532717648259
Hipacc,divDistBased,0.0041,0.0311945066183205
Hipacc,divDistBased,0.0042,0.028659652278353
Hipacc,divDistBased,0.0043,0.0263305551770327
Hipacc,divDistBased,0.0044,0.0241905319414652
Hipacc,divDistBased,0.0045,0.0222242504577651
Hipacc,divDistBased,0.0046,0.0204176205462384
Hipacc,divDistBased,0.0047,0.0187576934719257
Hipacc,divDistBased,0.0048,0.017232569577204
Hipacc,divDistBased,0.0049,0.0158313133807399
Hipacc,divDistBased,0.005,0.0145438755398982
Hipacc,divDistBased,0.0051,0.0133610211223782
Hipacc,divDistBased,0.0052,0.0122742636775426
Hipacc,divDistBased,0.0053,0.0112758046390096
Hipacc,divDistBased,0.0054,0.0103584776278736
Hipacc,divDistBased,0.0055,0.0095156972606648
Hipacc,divDistBased,0.0056,0.0087414120981033
Hipacc,divDistBased,0.0057,0.0080300614000824
Hipacc,divDistBased,0.0058,0.0073765353792978
Hipacc,divDistBased,0.0059,0.0067761386707996
Hipacc,divDistBased,0.006,0.0062245567575356
Hipacc,divDistBased,0.0061,0.0057178251129584
Hipacc,divDistBased,0.0062,0.0052523008410529
Hipacc,divDistBased,0.0063,0.0048246366118793
Hipacc,divDistBased,0.0064,0.0044317567070315
Hipacc,divDistBased,0.0065,0.0040708350043997
Hipacc,divDistBased,0.0066,0.0037392747454072
Hipacc,divDistBased,0.0067,0.0034346899405635
Hipacc,divDistBased,0.0068,0.0031548882808125
Hipacc,divDistBased,0.0069,0.0028978554328767
Hipacc,divDistBased,0.007,0.002661740606625
Hipacc,divDistBased,0.0071,0.0024448432915503
Hipacc,divDistBased,0.0072,0.0022456010677569
Hipacc,divDistBased,0.0073,0.002062578404504
Hipacc,divDistBased,0.0074,0.0018944563663809
Hipacc,divDistBased,0.0075,0.0017400231536514
Hipacc,divDistBased,0.0076,0.0015981654092426
Hipacc,divDistBased,0.0077,0.0014678602303169
Hipacc,divDistBased,0.0078,0.0013481678273783
Hipacc,divDistBased,0.0079,0.0012382247784854
Hipacc,divDistBased,0.008,0.0011372378303791
Hipacc,divDistBased,0.0081,0.0010444782022311
Hipacc,divDistBased,0.0082,0.0009592763513065
Hipacc,divDistBased,0.0083,0.0008810171631215
Hipacc,divDistBased,0.0084,0.0008091355317114
Hipacc,divDistBased,0.0085,0.0007431122984001
Hipacc,divDistBased,0.0086,0.0006824705200253
Hipacc,divDistBased,0.0087,0.0006267720399215
Hipacc,divDistBased,0.0088,0.0005756143371258
Hipacc,divDistBased,0.0089,0.0005286276312561
