Case Study,Sampling Strategy,Robustness,Confidence Difference
Hipacc,random,0.0,0.0
Hipacc,random,0.0001,0.0490596784387802
Hipacc,random,0.0002,0.0046635621153919
Hipacc,random,0.0003,0.0462831140849528
Hipacc,random,0.0004,0.0234324376419101
Hipacc,random,0.0005,-0.0043351599647674
Hipacc,random,0.0006,0.0025696728033668
Hipacc,random,0.0007,0.0237694264858863
Hipacc,random,0.0008,-0.0010829407457884
Hipacc,random,0.0009,-0.0123064593508579
Hipacc,random,0.001,-0.0401944068776873
Hipacc,random,0.0011,-0.0250163845298988
Hipacc,random,0.0012,0.0029797735266671
Hipacc,random,0.0013,-0.0064337553411768
Hipacc,random,0.0014,-0.0234663963130051
Hipacc,random,0.0015,-0.0283106611487459
Hipacc,random,0.0016,0.0188564873562487
Hipacc,random,0.0017,-0.0021276191295738
Hipacc,random,0.0018,0.0085874921282601
Hipacc,random,0.0019,0.0008643744967571
Hipacc,random,0.002,-0.0154233129788521
Hipacc,random,0.0021,-0.0103917019328393
Hipacc,random,0.0022,-0.0041475387693196
Hipacc,random,0.0023,0.0132110576947303
Hipacc,random,0.0024,0.0015938996819263
Hipacc,random,0.0025,0.0109180900811304
Hipacc,random,0.0026,0.0011074337229912
Hipacc,random,0.0027,-0.007908103856705
Hipacc,random,0.0028,-0.0161928939923061
Hipacc,random,0.0029,0.0061938976797236
Hipacc,random,0.003,-0.0008021093031643
Hipacc,random,0.0031,-0.0072308968201715
Hipacc,random,0.0032,0.00686159644048
Hipacc,random,0.0033,0.0014331482724111
Hipacc,random,0.0034,-0.0035550473872665
Hipacc,random,0.0035,0.0018613434482578
Hipacc,random,0.0036,0.00764954101128
Hipacc,random,0.0037,0.0137794184674608
Hipacc,random,0.0038,0.0102232874430212
Hipacc,random,0.0039,0.0069557008717789
Hipacc,random,0.004,0.0139532717648259
Hipacc,random,0.0041,0.0111945066183205
Hipacc,random,0.0042,0.008659652278353
Hipacc,random,0.0043,0.0063305551770327
Hipacc,random,0.0044,0.0041905319414652
Hipacc,random,0.0045,0.002224250457765
Hipacc,random,0.0046,0.0004176205462383
Hipacc,random,0.0047,-0.0012423065280742
Hipacc,random,0.0048,-0.0027674304227959
Hipacc,random,0.0049,-0.00416868661926
Hipacc,random,0.005,-0.0054561244601017
Hipacc,random,0.0051,0.0033610211223782
Hipacc,random,0.0052,0.0022742636775426
Hipacc,random,0.0053,0.0012758046390096
Hipacc,random,0.0054,0.0003584776278736
Hipacc,random,0.0055,-0.0004843027393351
Hipacc,random,0.0056,-0.0012585879018967
Hipacc,random,0.0057,-0.0019699385999175
Hipacc,random,0.0058,-0.0026234646207021
Hipacc,random,0.0059,-0.0032238613292003
Hipacc,random,0.006,-0.0037754432424643
Hipacc,random,0.0061,-0.0042821748870415
Hipacc,random,0.0062,-0.004747699158947
Hipacc,random,0.0063,-0.0051753633881206
Hipacc,random,0.0064,0.0044317567070315
Hipacc,random,0.0065,0.0040708350043997
Hipacc,random,0.0066,0.0037392747454072
Hipacc,random,0.0067,0.0034346899405635
Hipacc,random,0.0068,0.0031548882808125
Hipacc,random,0.0069,0.0028978554328767
Hipacc,random,0.007,0.002661740606625
Hipacc,random,0.0071,0.0024448432915503
Hipacc,random,0.0072,0.0022456010677569
Hipacc,random,0.0073,0.002062578404504
Hipacc,random,0.0074,0.0018944563663809
Hipacc,random,0.0075,0.0017400231536514
Hipacc,random,0.0076,0.0015981654092426
Hipacc,random,0.0077,0.0014678602303169
Hipacc,random,0.0078,0.0013481678273783
Hipacc,random,0.0079,0.0012382247784854
Hipacc,random,0.008,0.0011372378303791
Hipacc,random,0.0081,0.0010444782022311
Hipacc,random,0.0082,0.0009592763513065
Hipacc,random,0.0083,0.0008810171631215
Hipacc,random,0.0084,0.0008091355317114
Hipacc,random,0.0085,0.0007431122984001
Hipacc,random,0.0086,0.0006824705200253
Hipacc,random,0.0087,0.0006267720399215
Hipacc,random,0.0088,0.0005756143371258
Hipacc,random,0.0089,0.0005286276312561
Hipacc,random,0.009,0.0004854722223388
Hipacc,random,0.0091,0.0004458360465383
Hipacc,random,0.0092,0.0004094324302866
Hipacc,random,0.0093,0.0003759980267247
Hipacc,random,0.0094,0.0003452909196743
Hipacc,random,0.0095,0.0003170888815525
Hipacc,random,0.0096,0.0002911877727448
Hipacc,random,0.0097,0.000267400070962
Hipacc,random,0.0098,0.0002455535200374
Hipacc,random,0.0099,0.0002254898884742
Hipacc,random,0.01,0.0002070638288379
Hipacc,random,0.0101,0.000190141829812
Hipacc,random,0.0102,0.000174601253396
Hipacc,random,0.0103,0.0001603294503371
Hipacc,random,0.0104,0.000147222947444
Hipacc,random,0.0105,0.0001351867009494
Hipacc,random,0.0106,0.000124133410558
Hipacc,random,0.0107,0.000113982889254
Hipacc,random,0.0108,0.0001046614843389
Hipacc,random,0.0109,9.610154554218207e-05
