Case Study,Sampling Strategy,Robustness,Confidence Difference
Hipacc,solverBased,0.0,0.0
Hipacc,solverBased,0.0001,0.5990596784387803
Hipacc,solverBased,0.0002,0.5446635621153919
Hipacc,solverBased,0.0003,0.5462831140849529
Hipacc,solverBased,0.0004,0.5234324376419102
Hipacc,solverBased,0.0005,0.4856648400352324
Hipacc,solverBased,0.0006,0.4425696728033668
Hipacc,solverBased,0.0007,0.3937694264858863
Hipacc,solverBased,0.0008,0.3789170592542116
Hipacc,solverBased,0.0009,0.347693540649142
Hipacc,solverBased,0.001,0.3298055931223126
Hipacc,solverBased,0.0011,0.2949836154701012
Hipacc,solverBased,0.0012,0.2629797735266671
Hipacc,solverBased,0.0013,0.2435662446588231
Hipacc,solverBased,0.0014,0.2165336036869948
Hipacc,solverBased,0.0015,0.1916893388512541
Hipacc,solverBased,0.0016,0.1688564873562488
Hipacc,solverBased,0.0017,0.1578723808704262
Hipacc,solverBased,0.0018,0.1485874921282601
Hipacc,solverBased,0.0019,0.1308643744967571
Hipacc,solverBased,0.002,0.1145766870211478
Hipacc,solverBased,0.0021,0.0996082980671607
Hipacc,solverBased,0.0022,0.0958524612306803
Hipacc,solverBased,0.0023,0.0832110576947302
Hipacc,solverBased,0.0024,0.0715938996819263
Hipacc,solverBased,0.0025,0.0609180900811303
Hipacc,solverBased,0.0026,0.0511074337229912
Hipacc,solverBased,0.0027,0.0420918961432948
Hipacc,solverBased,0.0028,0.0338071060076937
Hipacc,solverBased,0.0029,0.0361938976797235
Hipacc,solverBased,0.003,0.0291978906968355
Hipacc,solverBased,0.0031,0.0227691031798283
Hipacc,solverBased,0.0032,0.01686159644048
Hipacc,solverBased,0.0033,0.0114331482724111
Hipacc,solverBased,0.0034,0.0064449526127334
Hipacc,solverBased,0.0035,0.0018613434482578
Hipacc,solverBased,0.0036,-0.0023504589887199
Hipacc,solverBased,0.0037,-0.0062205815325391
Hipacc,solverBased,0.0038,-0.0097767125569787
Hipacc,solverBased,0.0039,-0.013044299128221
Hipacc,solverBased,0.004,-0.016046728235174
Hipacc,solverBased,0.0041,-0.0188054933816794
Hipacc,solverBased,0.0042,-0.0213403477216469
Hipacc,solverBased,0.0043,-0.0236694448229672
Hipacc,solverBased,0.0044,-0.0258094680585347
Hipacc,solverBased,0.0045,-0.0277757495422349
Hipacc,solverBased,0.0046,-0.0295823794537616
Hipacc,solverBased,0.0047,-0.0312423065280742
Hipacc,solverBased,0.0048,-0.0327674304227959
Hipacc,solverBased,0.0049,-0.03416868661926
Hipacc,solverBased,0.005,-0.0354561244601018
Hipacc,solverBased,0.0051,-0.0266389788776217
Hipacc,solverBased,0.0052,-0.0277257363224573
Hipacc,solverBased,0.0053,-0.0287241953609903
Hipacc,solverBased,0.0054,-0.0296415223721263
Hipacc,solverBased,0.0055,-0.0304843027393352
Hipacc,solverBased,0.0056,-0.0312585879018967
Hipacc,solverBased,0.0057,-0.0319699385999175
Hipacc,solverBased,0.0058,-0.0326234646207022
Hipacc,solverBased,0.0059,-0.0332238613292004
Hipacc,solverBased,0.006,-0.0337754432424644
Hipacc,solverBased,0.0061,-0.0342821748870415
Hipacc,solverBased,0.0062,-0.034747699158947
Hipacc,solverBased,0.0063,-0.0351753633881206
