Case Study,Sampling Strategy,Robustness,Confidence Difference
Hipacc,solverBased,0.0,0.0
Hipacc,solverBased,0.01,-0.009792936171162
Hipacc,solverBased,0.02,3.9337602175670845e-08
Hipacc,solverBased,0.03,6.84452494681409e-12
Hipacc,solverBased,0.04,1.1102230246251563e-15
Hipacc,solverBased,0.05,0.0
Hipacc,solverBased,0.06,0.0
Hipacc,solverBased,0.07,0.0
Hipacc,solverBased,0.08,0.0
Hipacc,solverBased,0.09,0.0
Hipacc,solverBased,0.1,0.0
Hipacc,solverBased,0.11,0.0
Hipacc,solverBased,0.12,0.0
Hipacc,solverBased,0.13,0.0
Hipacc,solverBased,0.14,0.0
