Case Study,Sampling Strategy,Robustness,Confidence Difference
JavaGC,SRSSampling,0.0,0.0
JavaGC,SRSSampling,0.001,0.4254807928315232
JavaGC,SRSSampling,0.002,0.2910424126825141
JavaGC,SRSSampling,0.003,0.1543595114467678
JavaGC,SRSSampling,0.004,0.0926264211141022
JavaGC,SRSSampling,0.005,0.0752850727176832
JavaGC,SRSSampling,0.006,0.0494585456691831
JavaGC,SRSSampling,0.007,0.0370849368946334
JavaGC,SRSSampling,0.008,0.0231192765671212
JavaGC,SRSSampling,0.009,0.0144060180169767
JavaGC,SRSSampling,0.01,0.0089723512340459
