Case Study,Sampling Strategy,Robustness,Confidence Difference
JavaGC,divDistBased,0.0,0.0
JavaGC,divDistBased,0.001,0.0654807928315231
JavaGC,divDistBased,0.002,0.021042412682514
JavaGC,divDistBased,0.003,0.0043595114467678
JavaGC,divDistBased,0.004,0.0226264211141022
JavaGC,divDistBased,0.005,-0.0047149272823167
JavaGC,divDistBased,0.006,-0.0005414543308168
JavaGC,divDistBased,0.007,0.0170849368946334
JavaGC,divDistBased,0.008,0.0031192765671211
JavaGC,divDistBased,0.009,0.0044060180169767
JavaGC,divDistBased,0.01,-0.001027648765954
