Case Study,Sampling Strategy,Robustness,Confidence Difference
JavaGC,random,0.0,0.0
JavaGC,random,0.0001,-0.0358194266045187
JavaGC,random,0.0002,-0.0495437042588724
JavaGC,random,0.0003,-0.081268440863733
JavaGC,random,0.0004,-0.071084890361139
JavaGC,random,0.0005,-0.0490801506065478
JavaGC,random,0.0006,-0.0453373522667983
JavaGC,random,0.0007,-0.0499358391499157
JavaGC,random,0.0008,-0.05295134035518
JavaGC,random,0.0009,-0.044456134612957
JavaGC,random,0.001,-0.0445192071684768
JavaGC,random,0.0011,-0.0332063995469155
JavaGC,random,0.0012,-0.0405805525221677
JavaGC,random,0.0013,-0.0467016425970919
JavaGC,random,0.0014,-0.0616269122890985
JavaGC,random,0.0015,-0.0554109945016697
JavaGC,random,0.0016,-0.0581060312497418
JavaGC,random,0.0017,-0.0497617869945958
JavaGC,random,0.0018,-0.0604257568328597
JavaGC,random,0.0019,-0.0601432697723093
JavaGC,random,0.002,-0.0289575873174859
JavaGC,random,0.0021,-0.046909997577556
JavaGC,random,0.0022,-0.0340399050993935
JavaGC,random,0.0023,-0.030384916619668
JavaGC,random,0.0024,-0.0159809229209465
JavaGC,random,0.0025,-0.0008621769684571
JavaGC,random,0.0026,-0.0150613684961745
JavaGC,random,0.0027,-0.0286096952031571
JavaGC,random,0.0028,0.0084630692859004
JavaGC,random,0.0029,0.0261285105494399
JavaGC,random,0.003,0.0243595114467678
JavaGC,random,0.0031,0.0131301930110505
JavaGC,random,0.0032,0.0224158580298287
JavaGC,random,0.0033,0.0221929371911042
JavaGC,random,0.0034,0.0124389376785759
JavaGC,random,0.0035,0.0131323941048705
JavaGC,random,0.0036,0.0142528216766425
JavaGC,random,0.0037,0.0057806714902873
JavaGC,random,0.0038,0.0176972878614019
JavaGC,random,0.0039,0.0099848675958459
JavaGC,random,0.004,0.0026264211141022
JavaGC,random,0.0041,-0.0043942646551696
JavaGC,random,0.0042,-0.0110926616927418
JavaGC,random,0.0043,-0.0174835346942957
JavaGC,random,0.0044,-0.0135809733369992
JavaGC,random,0.0045,-0.009398423077093
JavaGC,random,0.0046,-0.0049487145452322
JavaGC,random,0.0047,-0.0002440916032629
JavaGC,random,0.0048,0.0047037618766494
JavaGC,random,0.0049,-0.0001163035474026
JavaGC,random,0.005,-0.0047149272823167
JavaGC,random,0.0051,0.0008977380160691
JavaGC,random,0.0052,-0.0032879957802053
JavaGC,random,0.0053,-0.0072813734818613
JavaGC,random,0.0054,-0.0010912168265153
JavaGC,random,0.0055,-0.004725943800261
JavaGC,random,0.0056,-0.0081935870786551
JavaGC,random,0.0057,-0.0115018116271392
JavaGC,random,0.0058,-0.0146579314991861
JavaGC,random,0.0059,-0.0176689258685922
JavaGC,random,0.006,-0.0205414543308167
JavaGC,random,0.0061,-0.0232818715066014
JavaGC,random,0.0062,-0.0158962409796259
JavaGC,random,0.0063,-0.0183903485985043
JavaGC,random,0.0064,-0.0107697151720557
JavaGC,random,0.0065,-0.0130396085854636
JavaGC,random,0.0066,-0.0152050553636917
JavaGC,random,0.0067,-0.0172708517073038
JavaGC,random,0.0068,-0.0192415740247466
JavaGC,random,0.0069,-0.0211215889839787
JavaGC,random,0.007,-0.0229150631053666
JavaGC,random,0.0071,-0.0246259719167305
JavaGC,random,0.0072,-0.0262581086904836
JavaGC,random,0.0073,-0.0178150927819018
JavaGC,random,0.0074,-0.0093003775866979
JavaGC,random,0.0075,-0.0107172581352431
JavaGC,random,0.0076,-0.0020688783399959
JavaGC,random,0.0077,-0.0033582379119334
JavaGC,random,0.0078,-0.0045881989610924
JavaGC,random,0.0079,-0.0057614922955877
JavaGC,random,0.008,0.0031192765671211
JavaGC,random,0.0081,0.0020516216636102
JavaGC,random,0.0082,0.0010331711099904
JavaGC,random,0.0083,6.166187757672414e-05
JavaGC,random,0.0084,-0.000865065192684
JavaGC,random,0.0085,-0.0017490701479129
JavaGC,random,0.0086,-0.0025923184635235
JavaGC,random,0.0087,0.0066033146241142
JavaGC,random,0.0088,0.0058360399830903
JavaGC,random,0.0089,0.0051041506404279
JavaGC,random,0.009,0.0044060180169767
JavaGC,random,0.0091,0.003740088334497
JavaGC,random,0.0092,0.0031048791870742
JavaGC,random,0.0093,0.0024989762693654
JavaGC,random,0.0094,0.0019210302545161
JavaGC,random,0.0095,0.0013697538149167
JavaGC,random,0.0096,0.0008439187792751
JavaGC,random,0.0097,0.000342353419785
JavaGC,random,0.0098,-0.0001360601365593
JavaGC,random,0.0099,-0.0005923883781617
JavaGC,random,0.01,-0.001027648765954
JavaGC,random,0.0101,-0.0014428119826218
JavaGC,random,0.0102,-0.0018388040788532
JavaGC,random,0.0103,-0.0022165085213181
JavaGC,random,0.0104,-0.0025767681468654
JavaGC,random,0.0105,-0.0029203870272271
JavaGC,random,0.0106,-0.0032481322483164
JavaGC,random,0.0107,-0.003560735608023
JavaGC,random,0.0108,-0.0038588952362375
JavaGC,random,0.0109,-0.0041432771406497
